DateTime,AddedIPs,RemovedIPs
1556100668,3,7
1556104288,3,4
1556107895,6,3
1556111476,3,1
1556115063,2,2
1556118682,2,2
1556122300,2,3
1556125858,4,3
1556129468,1,8
1556133097,5,6
1556136661,7,1
1556140293,1,2
1556143907,3,4
1556147476,2,2
1556151147,8,4
1556154736,40,3
1556158299,4,3
1556161869,2,8
1556165500,5,29
1556169110,13,7
1556172690,4,5
1556176281,5,1
1556179920,3,1
1556183505,1,3
1556187072,2,3
1556190681,3,2
1556194301,2,1
1556197880,3,4
1556201482,5,2
1556205123,2,2
1556208693,2,3
1556212304,2,4
1556215857,3,1
1556219492,0,2
1556223065,0,1
1556226709,0,2
1556230341,3,1
1556237522,6,1
1556241071,8,2
1556244694,0,10
1556248279,4,12
1556251887,11,23
1556255475,3,3
1556259074,7,0
1556262707,3,18
1556266287,4,3
1556269882,1,1
1556273499,4,2
1556277056,1,3
1556280677,3,4
1556284297,4,3
1556287897,2,3
1556291496,4,3
1556295081,2,1
1556298680,1,3
1556302253,2,3
1556305858,2,3
1556309491,2,1
1556313089,0,2
1556316699,1,3
1556320266,5,2
1556323890,5,2
1556327478,15,2
1556331099,4,2
1556334667,1,6
1556338303,4,21
1556341869,1,4
1556345470,1,2
1556349081,1,2
1556352690,3,0
1556356275,2,1
1556359851,2,2
1556363501,0,1
1556367089,1,3
1556370677,3,3
1556374298,2,2
1556377888,2,1
1556381474,2,3
1556385075,1,2
1556388669,2,2
1556392278,3,1
1556395895,3,2
1556399500,2,1
1556403113,3,5
1556406692,3,7
1556410295,11,2
1556413932,36,0
1556417492,7,1
1556421102,3,6
1556424719,2,19
1556428341,0,5
1556431913,1,1
1556435497,0,8
1556439095,2,8
1556442722,3,4
1556446309,3,4
1556449908,5,4
1556453491,8,1
1556457080,5,3
1556460712,2,0
1556464320,3,5
1556467931,1,3
1556471509,3,2
1556475134,3,2
1556478707,1,4
1556482343,3,2
1556485894,4,1
1556489521,2,2
1556493106,2,0
1556496691,5,2
1556500347,13,2
1556503884,5,1
1556507527,3,4
