DateTime,AddedIPs,RemovedIPs
1555776438,1,2
1555780048,0,1
1555783633,0,1
1555787242,1,0
1555790853,2,0
1555794447,1,0
1555798054,0,2
1555801635,0,1
1555805232,0,1
1555808861,1,0
1555812457,2,0
1555816068,1,1
1555819655,2,2
1555823248,0,1
1555826855,2,1
1555830447,0,1
1555837649,0,1
1555841254,2,0
1555844846,1,2
1555852056,2,2
1555859255,1,0
1555862836,1,1
1555866456,2,1
1555870049,0,1
1555873641,0,2
1555880852,1,0
1555888057,0,1
1555895248,2,0
1555898888,1,1
1555902465,1,1
1555906044,1,2
1555909638,2,1
1555913245,0,1
1555916840,1,1
1555920441,0,1
1555938450,2,0
1555942060,2,0
1555945656,1,2
1555949258,0,2
1555952853,2,2
1555956445,0,1
1555978052,2,1
1555981638,2,0
1555985231,2,1
1555988834,1,1
1555992446,1,2
1555996038,1,2
1555999643,2,1
1556003244,0,1
1556006842,2,2
1556010441,1,2
1556014041,1,1
1556017649,0,1
1556021251,3,1
1556024842,0,1
1556028435,1,1
1556032045,2,0
1556035664,1,1
1556039234,2,0
1556042838,1,2
1556046436,0,2
1556050051,1,1
1556053632,1,1
1556060831,0,1
1556064445,1,0
1556071645,2,2
1556075248,2,0
1556078841,2,1
1556082437,2,2
1556086027,1,1
1556089644,2,2
1556093248,1,1
1556096841,1,1
1556100444,1,2
1556104041,2,2
1556107639,2,2
1556111235,2,1
1556114843,1,1
1556118443,1,1
1556122039,1,1
1556125625,2,1
1556129241,0,2
1556132834,0,2
1556140046,0,1
1556143647,2,0
1556154462,0,1
1556158061,0,1
1556165237,2,0
1556168845,0,1
1556172437,2,2
1556176045,2,0
1556183249,1,2
1556186848,1,1
1556190447,1,0
1556194040,3,1
1556197650,2,2
1556201238,2,1
1556204844,1,3
1556208452,2,2
1556212040,1,2
1556215629,1,1
1556219239,0,2
1556222841,0,1
1556226449,0,1
1556230060,2,0
1556237266,1,0
1556244446,0,1
1556248053,2,2
1556251649,2,0
1556255241,2,2
1556258842,2,0
1556262447,2,2
1556266042,1,2
1556269643,0,1
1556273251,2,2
1556276830,1,0
1556280436,2,2
1556284035,2,2
1556287645,2,1
1556291243,2,2
1556294853,1,1
1556298445,0,1
1556302037,2,2
1556305635,2,2
1556309240,0,1
1556320045,1,2
1556323657,1,0
1556327248,1,1
1556330838,2,2
1556334445,0,1
1556338045,1,1
1556341640,1,2
1556348849,0,1
1556352445,1,0
1556356044,1,0
1556359647,1,0
1556363250,0,1
1556370428,0,1
1556377648,2,1
1556381250,0,1
1556388445,0,1
1556392048,2,0
1556395648,2,0
1556399243,1,1
1556402859,1,2
1556406453,1,2
1556410040,0,1
1556413672,1,0
