DateTime,AddedIPs,RemovedIPs
1556601878,0,1
1556607682,1,0
1556611518,0,1
1556615552,1,0
1556621305,142,2
1556623245,0,1
1556627052,1,1
1556630892,0,3
1556632851,1,0
1556642438,1,0
1556646263,2,1
1556648198,1,3
1556650095,0,2
1556652010,4,0
1556653931,1,1
1556657770,1,3
1556659690,3,0
1556661672,1,0
1556665487,0,2
1556668069,2,1
1556671957,1,1
1556673857,0,1
1556675797,2,1
1556677723,1,3
1556679736,0,2
1556681539,0,1
1556683456,1,2
1556689213,1,0
1556693073,0,1
1556694980,2,0
1556696903,1,0
1556702679,1,1
1556704589,1,0
1556706507,0,1
1556709526,2,2
1556713464,2,1
1556717563,1,0
1556719484,1,1
1556729077,0,1
1556732900,0,2
1556734819,1,1
1556736751,0,2
1556738660,0,2
1556740586,0,1
1556745384,1,3
1556747293,3,2
1556750437,1,0
1556752332,1,139
1556754294,0,2
1556758369,0,1
1556762205,1,2
1556764099,0,1
1556766078,1,0
1556767960,1,0
1556769905,1,0
1556773709,2,0
1556775614,3,1
1556779699,0,1
1556781645,0,2
1556783558,1,0
1556785476,1,1
1556789332,1,1
1556791284,2,1
1556793143,1,0
1556795080,1,2
1556798894,0,2
1556802742,0,1
1556804739,1,0
1556806583,0,1
1556808495,3,0
1556810430,1,0
1556812339,2,0
1556820276,0,1
1556822170,1,0
1556824118,2,0
1556826018,1,0
1556827932,1,0
1556831772,1,1
1556833707,0,3
1556835668,1,0
1556837532,2,2
1556839458,1,0
1556847155,2,0
1556849090,0,1
1556850996,1,0
1556852892,0,1
1556854818,1,1
1556856740,1,1
1556858685,0,1
1556860574,0,1
1556862507,0,3
1556868271,1,1
1556870212,1,0
1556872091,0,1
1556874096,1,0
1556875957,0,1
1556878835,4,3
1556880763,1,1
1556882660,1,0
1556890579,1,1
1556892773,1,0
1556894657,0,2
1556896604,1,1
1556898502,0,2
1556904257,1,0
1556906176,1,0
1556908128,0,1
1556910984,0,2
1556912893,0,2
1556916747,1,0
1556918670,0,1
1556920577,0,1
1556923166,1,0
1556925131,2,2
1556927078,1,1
1556930892,1,0
1556932824,0,1
1556934747,1,1
1556936654,0,1
1556938576,1,0
1556940487,0,1
1556942462,1,0
1556944360,0,1
1556946289,1,0
1556948419,1,0
1556950341,1,0
1556954184,0,1
1556956128,1,2
1556959938,0,1
1556961866,2,0
1556963776,0,2
1556965971,1,2
1556967911,0,1
1556969780,1,2
1556973612,1,0
1556977461,2,1
1556979388,0,1
1556983233,1,1
1556987055,1,0
1556990912,0,1
1556992884,1,1
1556996670,1,0
1556998583,2,0
1557004349,0,1
1557008201,0,1
1557012009,0,3
1557013954,2,0
1557015851,2,0
1557017781,1,1
1557019734,1,0
1557022575,1,1
1557024508,1,1
1557028370,5,1
