DateTime,AddedIPs,RemovedIPs
1556689467,2,0
1556691384,1,2
1556693302,1,0
1556695226,2,1
1556699058,16,0
1556700988,0,1
1556702890,2,1
1556706759,0,1
1556708689,1,1
1556710581,1,1
1556712511,2,2
1556714429,2,2
1556716347,3,1
1556718254,2,0
1556724045,1,1
1556725948,1,1
1556727868,0,1
1556729791,1,0
1556731691,1,0
1556733707,1,3
1556735554,2,1
1556737476,2,1
1556739379,1,2
1556741316,1,0
1556745143,3,0
1556747069,9,1
1556750439,1,1
1556752334,1,0
1556756184,6,1
1556758372,3,1
1556760261,2,1
1556762207,1,0
1556764101,0,1
1556766128,2,0
1556767962,1,0
1556771796,1,1
1556773724,2,1
1556775616,1,0
1556777801,1,1
1556779701,1,3
1556783560,2,0
1556785478,0,17
1556787386,2,0
1556789335,1,1
1556791329,0,2
1556793145,1,1
1556795088,1,1
1556796917,1,1
1556798895,0,1
1556800830,0,3
1556802744,2,2
1556808497,1,0
1556810431,0,1
1556812341,0,3
1556814279,1,0
1556816526,1,1
1556818344,0,1
1556820278,1,1
1556822172,1,1
1556824120,0,1
1556827933,2,1
1556829883,1,1
1556831774,1,2
1556833709,0,2
1556835669,2,0
1556837534,1,2
1556841390,1,1
1556843300,1,3
1556845354,2,0
1556847157,1,3
1556849092,0,2
1556850998,0,1
1556852894,0,2
1556856742,2,1
1556858687,1,2
1556862509,0,2
1556864441,1,2
1556866371,1,0
1556868273,0,2
1556870214,3,3
1556874133,0,2
1556875959,1,1
1556878849,1,0
1556880778,0,1
1556884609,1,1
1556888675,2,1
1556892775,2,1
1556894659,4,2
1556896606,0,1
1556898504,3,0
1556900415,1,1
1556902367,0,1
1556906178,3,0
1556910107,1,0
1556911973,0,1
1556915774,0,2
1556917721,1,1
1556919642,24,1
1556921538,9,2
1556925390,1,0
1556927300,1,0
1556929226,1,2
1556931156,2,0
1556933061,2,1
1556934985,2,0
1556936918,0,1
1556940036,0,2
1556941927,1,3
1556945792,1,0
1556952752,0,1
1556954680,0,2
1556956573,0,1
1556960459,1,0
1556962362,0,1
1556964273,0,1
1556966441,2,0
1556970501,0,1
1556972429,2,0
1556974333,1,0
1556976275,2,2
1556978187,0,3
