DateTime,AddedIPs,RemovedIPs
1556938930,30,12
1556940786,29,7
1556942697,11,14
1556944578,8,7
1556946533,6,5
1556948422,11,9
1556950343,14,5
1556952285,11,11
1556954188,14,14
1556956130,12,14
1556958043,12,10
1556959956,17,639
1556961868,11,9
1556963778,22,9
1556965973,10,7
1556967915,8,14
1556969782,10,6
1556971651,5,12
1556973615,359,10
1556975560,311,10
1556977463,11,12
1556979390,765,13
1556981300,995,17
1556983235,892,9
1556985170,849,11
1556987057,775,6
1556988985,920,7
1556990914,841,51
1556992913,845,6
1556994761,814,4
1556996673,817,10
1556998586,846,11
1557000520,591,22
1557002432,14,35
1557004351,12,21
1557006253,20,8
1557008203,14,10
1557010119,20,14
1557012012,9,7
1557013957,8,6
1557015854,8,5
1557017783,8,7
1557019736,24,8
1557022578,25,19
1557024510,12,16
1557026442,11,29
1557028373,13,9
1557030270,11,6
1557032193,37,82
1557034133,11,6
1557036104,5,12
1557037942,29,21
1557040126,25,56
1557042037,48,26
1557043964,32,11
1557045857,16,15
1557048065,16,14
1557049947,10,18
1557051861,9,10
1557053795,10,5
1557055701,228,9
1557057707,74,4
1557059543,3,10
1557061481,7,4
1557063384,9,12
1557065277,9,16
1557067221,16,13
1557069175,10,12
1557071110,8,8
1557072980,9,15
1557074911,14,15
1557076833,9,13
1557078759,18,25
1557080667,16,11
1557082601,12,16
1557084497,2381,8
1557086523,3666,8
1557088363,3,7
1557090321,3,4
1557092203,89,13
1557094111,3,11
1557096038,4,11
1557097964,4,3
1557099865,8,8
1557101784,10,6
1557103719,8,4
1557105647,5,7
1557107538,3,8
1557109465,8,8
1557111402,4,4
1557113317,5,5
1557115263,8,7
1557117144,9,8
1557119071,5,3
1557120972,4,7
1557122898,6,1
1557124840,71,58
1557126739,6,108
1557128671,5,190
1557130600,5,3
1557132509,35,5
1557134417,11,13
1557136362,8,2
1557138270,10,5
1557140220,9,6
1557142109,6,223
1557144983,17,837
1557146905,4,711
1557148846,4,624
1557150760,7,607
1557152678,11,628
1557154585,8,737
1557156527,6,619
1557158517,9,628
1557160365,8,661
1557162292,7,591
1557164199,2,720
1557166125,7,672
1557168045,8,189
1557169939,4,594
1557171874,9,5611
1557173781,15,2392
1557175699,12,12
1557177650,17,5
1557179543,18,325
1557181481,8,5
1557183402,12,15
1557185316,13,11
1557187370,10,17
1557189517,20,18
1557191563,20,7
1557194262,11,19
1557196381,11,12
1557198295,18,10
1557200175,23,6
1557202102,15,14
1557204023,8,30
1557205942,8,10
1557207874,6,10
1557209790,15,15
1557211965,13,90
1557213873,7,47
1557215781,12,9
1557217722,6,10
1557219723,13,16
1557221560,9,60
1557223483,10,13
1557225395,7,18
1557227335,101,20
1557229225,819,10
1557231168,359,14
1557233063,12,10
1557234979,9,7
1557236908,16,9
1557238852,12,14
1557240741,17,12
1557242667,150,11
1557244575,11,8
1557246494,10,14
1557248531,9,9
1557250369,9,6
1557252338,12,10
1557254183,1,10
1557256103,1,5
1557258017,10,12
1557259948,15,14
1557261858,11,8
1557263777,23,13
1557265711,67,11
1557267616,640,9
1557269557,5,7
1557271466,3,13
1557273377,6,6
1557275405,3,8
1557277306,10,17
1557279145,8,7
1557281067,7,9
1557282986,12,4
1557284898,23,12
1557286830,33,13
1557288765,19,13
1557290655,14,3
1557292590,8,5
1557294505,309,9
1557296433,7,8
1557298349,4,9
1557300276,12,7
1557302176,38,6
1557304096,19,3
1557307209,23,16
1557309170,16,6
1557311060,17,6
1557312971,13,12
1557314912,6,606
1557317798,18,599
1557319712,15,10
1557321618,12,8
1557323550,16,16
1557325631,14,10
1557327646,10,11
1557329549,8,139
1557331518,16,12
1557333382,8,8
1557335296,12,7
1557337214,11,8
1557339100,9,12
1557341056,11,1
1557343010,11,3
1557344924,11,13
1557346828,5,23
1557348778,18,18
1557350680,11,23
1557352572,14,68
1557355549,17,698
1557357389,11,3
1557359257,14,7
1557361317,17,5
1557363137,14,10
1557365071,11,7
1557367004,9,8
1557369152,10,18
1557371323,10,27
1557373239,7,33
1557375174,11,21
1557377084,15,16
1557378998,14,10
1557381153,17,328
1557383058,10,8
1557384973,28,72
1557386925,11,9
1557388984,19,118
1557390973,10,15
1557392917,5,13
1557394812,8,23
1557396996,8,21
1557398897,16,16
1557400841,14,9
1557402762,12,10
1557404659,12,10
1557406581,11,14
1557408693,13,11
1557410706,17,16
1557412585,83,16
1557414523,52,10
1557416418,792,14
1557418585,13,13
1557420496,13,9
1557422455,9,13
1557424331,12,10
1557426497,12,14
1557428479,19,9
1557430365,9,7
1557432271,14,9
1557434204,10,8
1557436130,10,15
1557438017,16,14
1557439940,20,15
1557442385,14,12
1557444281,8,14
1557446178,16,14
1557448115,7,12
1557450998,7102,13
1557452902,1386,4
1557454833,7,5
1557456736,8,7
1557458697,9,3
1557460579,4,2
1557462504,7,1
1557464489,8,9
1557466384,5,6
1557468296,9,3
1557470177,5,4
1557472135,7,13
1557474020,6,11
1557475941,2,5
1557477905,7,8
1557479781,5,1
1557481699,7,5
1557483642,15,6
1557485558,4,9
1557487470,6,3
1557489414,10,5
1557491300,3,5
1557493334,12,5
1557495408,5,4
1557497306,8,5
1557499245,4,10
1557501177,2,461
1557503334,6,74
1557505218,6,4
1557507136,4,6
1557509067,672,5
1557510976,2029,5
1557512895,2,2
1557514884,6,7
1557516743,6,4
1557518720,143,4
1557520587,19,3
1557522526,26,6
1557524444,8,7
1557526374,6,9
1557528361,1,5
1557530192,3,4
1557532104,0,8
1557534032,3,5
1557535937,5,4
1557537875,8,11
1557539784,9,4
1557541697,17,7
1557543671,17,4
1557545550,12,7
1557547467,8,4
1557549394,8,8
1557551334,10,6
1557553228,2,5
1557555140,5,6
1557557068,1,7
1557558979,10,6
1557560898,84,4
1557562850,372,2
1557564734,151,1
1557567012,9,3
1557568903,4,13
1557570770,5,7
1557572685,3,3
1557574588,10,6
1557576497,9,5
1557578417,4,555
1557580348,6,4128
1557582257,13,2242
1557584188,9,9
1557586099,6,5
1557588015,6,10
1557590064,8,10
1557592090,11,10
1557594347,14,9
1557596205,12,1701
1557598103,10,1601
1557600265,9,1353
1557602186,7,21
1557604134,11,20
1557606035,6,161
1557607940,20,58
1557609878,13,20
1557611780,368,9
1557613717,12,18
1557615710,21,3
1557617549,16,4
1557619490,13,7
1557621394,15,12
1557623315,10,7
1557625272,27,15
1557627163,19,26
1557629066,31,35
1557630999,22,21
1557632914,12,13
1557634824,16,13
1557636754,181,11
1557638663,4,12
1557640581,8,9
1557642800,4,12
1557644730,70,16
1557646829,6,17
1557648747,13,356
1557650693,17,298
1557652584,332,10
1557654505,13,15
1557656454,10,10
1557658379,14,10
1557660271,9,17
1557662181,18,19
1557664123,10,13
1557666057,241,11
1557667956,11,11
1557670138,20,13
1557672049,9,9
1557673952,11,9
1557675883,15,12
1557677817,23,8
1557679737,14,8
1557681630,17,19
1557683556,15,11
1557685474,7,5
1557687587,15,13
1557689590,18,8
1557691748,17,8
1557693621,13,15
1557695796,15,22
1557697705,28,272
1557699653,17,13
1557702951,758,32
1557704905,214,11
1557706837,13,12
1557708753,9,14
1557710664,8,11
1557712584,15,23
1557714750,18,25
1557716720,8,20
1557718585,9,13
1557720503,12,16
1557722439,11,70
