DateTime,AddedIPs,RemovedIPs
1556940488,31,9
1556942473,18,16
1556944360,9,8
1556946293,8,9
1556948422,13,10
1556950344,15,6
1556952285,13,12
1556954188,15,15
1556956131,13,16
1556958044,13,10
1556959957,17,641
1556961869,13,10
1556963778,24,8
1556965974,13,7
1556967916,11,16
1556969783,13,7
1556971651,5,12
1556973615,359,12
1556975560,310,11
1556977464,12,13
1556979391,768,14
1556981301,994,19
1556983236,891,9
1556985171,853,11
1556987057,775,7
1556988986,923,6
1556990915,840,53
1556992918,845,5
1556994761,810,4
1556996675,816,14
1556998587,847,15
1557000521,591,25
1557002433,16,37
1557004352,13,22
1557006254,19,8
1557008205,15,10
1557010120,21,15
1557012012,10,7
1557013957,9,7
1557015854,10,8
1557017784,9,7
1557019737,30,10
1557021654,21,13
1557023562,14,19
1557025482,18,18
1557027383,18,28
1557029311,8,8
1557031231,44,83
1557033144,8,7
1557035055,13,13
1557036995,11,9
1557038902,31,49
1557040809,48,99
1557042749,104,14
1557044658,9,12
1557046568,15,13
1557048498,17,19
1557050476,10,20
1557052362,12,8
1557054265,179,5
1557056193,59,11
1557058124,74,5
1557060049,8,10
1557061940,5,4
1557063853,9,12
1557065795,21,22
1557067704,7,14
1557069640,8,8
1557071532,11,15
1557073461,12,16
1557075391,13,18
1557077294,9,10
1557080174,29,34
1557082112,16,13
1557084011,1296,12
1557085940,3814,12
1557087853,924,4
1557089788,5,7
1557091706,49,13
1557093652,44,13
1557095556,5,11
1557097481,6,4
1557099390,9,9
1557101306,14,4
1557103211,7,8
1557105136,8,9
1557107081,8,10
1557108984,6,10
1557110896,6,11
1557112846,6,6
1557114750,7,7
1557116648,10,9
1557118574,10,5
1557120507,5,12
1557122471,5,2
1557124345,70,39
1557126280,7,99
1557128171,7,190
1557130101,7,33
1557132031,38,8
1557133948,13,10
1557135852,4,6
1557137774,12,5
1557139702,8,5
1557141614,11,223
1557143542,12,361
1557145458,12,672
1557147402,4,694
1557149292,4,571
1557152194,12,946
1557154127,10,729
1557156016,8,627
1557157953,8,641
1557159852,9,640
1557161769,7,626
1557163700,5,668
1557165661,8,741
1557167682,11,317
1557169695,5,6
1557171609,9,5413
1557173530,19,3164
1557175469,12,12
1557177382,17,7
1557179316,21,325
1557181210,10,12
1557183162,18,17
1557185068,19,12
1557186978,11,18
1557188795,19,16
1557190884,22,15
1557193234,15,18
1557195177,12,14
1557197089,15,12
1557199003,23,9
1557200922,22,11
1557202847,19,14
1557204891,7,36
1557206902,9,9
1557208866,13,14
1557210762,11,85
1557212658,13,15
1557214579,11,49
1557216524,10,13
1557218419,12,9
1557220349,11,68
1557222303,15,13
1557224177,7,19
1557226111,12,10
1557228019,445,23
1557229987,733,13
1557231893,96,18
1557233934,13,10
1557235954,17,8
1557237908,12,13
1557239812,13,14
1557241699,72,12
1557243614,95,10
1557245541,14,12
1557247452,12,9
1557249374,7,10
1557251301,12,9
1557253212,9,13
1557255131,1,8
1557257060,3,11
1557258972,14,14
1557260891,29,13
1557262871,23,15
1557264738,44,9
1557266681,55,10
1557268583,633,11
1557270494,1,12
1557272414,7,13
1557274354,8,7
1557276258,6,21
1557278181,10,12
1557280113,9,11
1557282032,11,6
1557283950,19,12
1557285867,33,14
1557287773,26,12
1557289696,21,28
1557291654,23,8
1557293536,136,8
1557295460,181,10
1557297380,7,7
1557299310,11,9
1557301232,9,10
1557303151,46,4
1557305075,17,7
1557306984,15,11
1557308920,19,7
1557310812,17,6
1557312733,15,11
1557314672,10,513
1557316581,13,668
1557318515,12,27
1557320462,15,12
1557322338,9,14
1557324315,18,12
1557326175,11,15
1557328221,12,32
1557330286,18,119
1557332172,12,9
1557334100,9,14
1557336009,17,9
1557339100,20,18
1557341057,12,1
1557343011,13,3
1557344925,10,14
1557346828,6,36
1557348778,19,24
1557350681,12,27
1557352574,14,70
1557355549,21,705
1557357389,11,5
1557359258,15,9
1557361317,17,6
1557363138,14,10
1557365072,12,9
1557367004,9,10
1557369153,13,20
1557371339,19,29
1557373239,8,36
1557375175,13,22
1557377085,16,16
1557378999,14,11
1557381153,18,329
1557383058,13,8
1557384974,28,74
1557386926,13,11
1557388986,21,119
1557390974,10,17
1557392917,8,15
1557394813,8,25
1557396997,9,22
1557398897,18,19
1557400842,14,11
1557402762,11,12
1557404659,13,11
1557406582,13,13
1557408694,17,11
1557410708,18,16
1557412585,83,16
1557414523,54,11
1557416418,789,15
1557418586,13,17
1557420497,14,10
1557422456,11,17
1557424331,13,12
1557426497,17,15
1557428487,20,11
1557430366,11,7
1557432289,14,10
1557434205,13,9
1557436130,10,18
1557438018,17,14
1557439940,21,16
1557442385,14,15
1557444281,10,14
1557446179,17,16
1557448116,7,12
1557450999,7094,14
1557452902,1383,4
1557454834,9,5
1557456737,9,15
1557458698,10,5
1557460580,7,4
1557462504,7,3
1557464495,8,9
1557466384,6,7
1557468297,9,3
1557470179,5,5
1557472137,8,13
1557474021,7,13
1557475941,3,4
1557477906,8,8
1557479781,5,3
1557481700,7,6
1557483643,15,6
1557485558,4,11
1557487470,7,3
1557489415,10,4
1557491301,5,5
1557493338,14,6
1557495408,5,7
1557497307,8,5
1557499247,4,11
1557501177,5,461
1557503335,6,73
1557505219,7,5
1557507137,5,8
1557509067,674,5
1557510977,2027,8
1557512897,4,4
1557514889,6,8
1557516743,7,6
1557518722,144,4
1557520588,20,7
1557522527,26,6
1557524445,10,7
1557526375,6,9
1557528363,2,5
1557530193,5,5
1557532104,0,9
1557534033,5,5
1557535939,6,4
1557537875,11,12
1557539785,11,5
1557541698,20,9
1557543678,17,5
1557545551,12,8
1557547468,8,8
1557549396,7,8
1557551340,10,8
1557553228,6,5
1557555141,6,6
1557557069,1,7
1557558980,10,8
1557560899,84,4
1557562851,373,3
1557564735,152,2
1557567013,10,3
1557568916,5,14
1557570772,5,7
1557572696,3,3
1557574589,11,8
1557576497,10,6
1557578419,5,555
1557580349,8,4118
1557582257,15,2239
1557584188,10,9
1557586100,8,6
1557588016,9,12
1557590065,8,10
1557592090,14,11
1557594348,15,10
1557596205,13,1701
1557598104,10,1597
1557600265,12,1343
1557602186,8,21
1557604135,12,25
1557606035,7,162
1557607941,22,59
1557609878,13,20
1557611780,368,11
1557613717,12,18
1557615720,21,6
1557617549,17,6
1557619491,16,7
1557621395,17,16
1557623315,10,10
1557625273,29,20
1557627164,19,26
1557629067,33,36
1557630999,23,21
1557632915,12,13
1557634826,17,14
1557636755,181,10
1557638664,5,12
1557640582,9,15
1557642801,4,14
1557644732,71,17
1557646829,8,17
1557648747,18,357
1557650694,19,301
1557652585,336,11
1557654506,17,17
1557656455,11,11
1557658380,14,11
1557660272,10,19
1557662181,18,24
1557664123,11,14
1557666058,242,12
1557667958,13,12
1557670138,22,16
1557672050,12,13
1557673952,11,12
1557675883,16,11
1557677818,25,11
1557679737,15,9
1557681631,20,21
1557683556,15,11
1557685475,10,6
1557687588,17,16
1557689591,19,8
1557691749,18,10
1557693621,16,14
1557695797,18,25
1557697706,29,273
1557699654,18,14
1557702952,755,32
1557704906,214,16
1557706838,15,13
1557708754,14,14
1557710665,11,12
1557712585,15,23
1557714751,18,25
1557716746,11,20
1557718586,9,13
1557720503,12,17
1557722440,11,70
1557724369,13,4
1557726260,12,7
1557728195,20,4
1557730123,15,51
1557732038,14,24
1557733941,64,8
1557735870,13,15
1557737773,9,16
1557739726,11,353
1557741665,18,11
1557743568,10,6
1557745517,13,12
1557747385,13,13
1557749306,14,13
1557751218,12,7
1557753157,13,246
1557755061,12,13
1557757005,14,20
1557758857,14,13
1557760837,20,9
1557762839,12,21
1557764670,10,21
1557766596,12,14
1557768513,14,22
1557770538,8,12
1557772350,6,12
1557774268,8,11
1557776182,7,16
1557778132,10,9
1557780017,7,19
1557781949,14,15
1557783759,10,28
1557785776,1127,16
1557787704,22,36
1557789617,99,690
1557791534,11,10
1557793464,9,11
1557795387,7,13
1557797571,12,21
1557799560,10,11
1557801401,12,17
1557803335,18,13
1557805224,22,10
1557807138,12,14
1557809089,9,11
1557811130,9,14
1557813164,14,11
1557815056,10,19
1557817001,6,18
1557818894,11,15
1557820913,10,22
1557822741,9,8
1557824737,14,12
1557826836,15,21
1557828739,15,10
1557830689,13,17
1557832574,16,16
1557834778,12,13
1557836660,16,13
1557838614,16,17
1557840504,15,10
1557842473,14,13
1557844340,196,10
1557846343,175,20
1557848452,12,15
1557850346,20,14
1557852298,6,10
1557854184,9,12
1557856348,1278,8
1557858266,8,12
1557860196,259,7
1557862099,11,7
1557864331,10,5
1557866226,17,8
1557868135,19,10
1557870028,11,9
1557871959,8,953
1557873889,15,14
1557875805,12,95
1557877732,15,12
1557879644,18,9
1557881573,11,7
1557883465,10,10
1557885377,16,11
1557887306,10,10
1557889273,18,15
1557891159,14,20
1557893162,11,15
1557894990,8,43
1557896940,12,10
1557898847,7,8
1557900784,468,12
1557902663,495,8
1557904610,9,6
1557906512,19,8
1557908447,11,8
1557910346,160,12
1557912274,309,13
1557914200,88,13
