DateTime,AddedIPs,RemovedIPs
1556729796,11,2
1556731696,9,6
1556733746,6,6
1556735559,9,6
1556737485,5,5
1556739384,9,8
1556741322,6,6
1556743174,5,13
1556745148,4,9
1556747074,7,7
1556750446,9,13
1556752338,4,8
1556754301,9,5
1556756188,5,8
1556758376,7,11
1556760265,7,7
1556762212,5,8
1556764106,4,6
1556766150,5,7
1556767968,3,10
1556769919,1,7
1556771800,7,7
1556773728,3,6
1556775620,4,8
1556777806,10,9
1556779706,8,9
1556781659,7,11
1556783575,2,7
1556785497,6,10
1556787404,3,8
1556789348,4,8
1556791377,3,4
1556793400,5,8
1556795295,7,7
1556797241,4,5
1556799149,4,7
1556801062,7,5
1556802982,8,8
1556805174,4,8
1556807059,5,10
1556810194,9,3
1556812103,5,6
1556814012,5,8
1556815950,2,9
1556817873,4,8
1556819778,7,9
1556821698,1,7
1556823680,4,4
1556825563,5,9
1556827496,5,7
1556829379,4,5
1556831321,5,4
1556833214,3,6
1556835675,5,6
1556837538,9,5
1556839464,8,8
1556841394,5,3
1556843304,6,5
1556845365,3,10
1556847379,3,7
1556849314,2,1
1556851231,7,6
1556853166,7,4
1556855058,6,3
1556856976,5,3
1556858916,3,4
1556860831,7,4
1556862742,3,5
1556864673,11,9
1556866574,8,10
1556868508,5,4
1556870491,6,8
1556872357,3,4
1556874532,6,5
1556876430,3,4
1556878357,6,1
1556880278,8,6
1556882188,3,6
1556884273,9,4
1556886285,3,7
1556888199,6,7
1556890099,3,9
1556892294,7,3
1556894173,6,8
1556896346,6,5
1556898263,2,5
1556900203,8,5
1556902093,5,3
1556904011,1,3
1556905958,7,8
1556907855,2,1
1556909770,3,3
1556911689,3,6
1556913670,3,4
1556915562,6,4
1556917480,4,6
1556919370,6,3
1556921299,5,2
1556923169,8,8
1556925135,7,9
1556927081,2,5
1556928996,7,8
1556930896,4,2
1556932828,3,4
1556934751,7,3
1556936657,9,3
1556938581,2,7
1556940490,6,6
1556942527,7,8
1556944363,10,2
1556946298,6,4
1556948426,4,6
1556950346,6,9
1556952288,5,6
1556954190,5,6
1556956133,7,6
1556958046,3,4
1556959960,6,7
1556961871,6,3
1556963781,4,3
1556965977,3,8
1556967921,4,3
1556969786,4,5
1556971653,5,8
1556973618,5,4
1556975563,6,4
1556977467,6,7
1556979394,9,3
1556981303,3,4
1556983239,3,6
1556985173,3,4
1556987060,9,6
1556988988,7,4
1556990917,6,6
1556992930,4,2
1556994764,7,2
1556996681,5,4
1556998591,6,1
1557000524,5,3
1557002435,6,6
1557004355,6,5
1557006256,9,7
1557008208,5,8
1557010123,4,9
1557012015,15,4
1557013960,10,6
1557015857,3,4
1557017786,10,3
1557019740,8,4
1557021735,7,7
1557023564,2,7
1557025489,5,3
1557027385,7,7
1557029316,4,7
1557031233,5,9
1557033147,4,6
1557035058,4,6
1557036998,6,4
1557038905,3,5
1557040812,6,4
1557042752,2,7
1557044661,3,4
1557046571,4,6
1557048500,5,6
1557050522,3,3
1557052364,4,4
1557054268,2,4
1557056196,6,4
1557058127,4,5
1557060052,1,6
1557061943,9,6
1557063856,5,6
1557065797,0,9
1557067706,3,3
1557069644,8,3
1557071535,4,3
1557073464,3,10
1557075394,9,7
1557077297,4,7
1557079282,0,4
1557081170,6,7
1557083146,5,5
1557085016,4,6
1557086926,6,5
1557088843,7,6
1557090768,4,6
