DateTime,AddedIPs,RemovedIPs
1556938592,53,75
1556940494,39,62
1556942555,58,63
1556944366,59,61
1556946301,50,70
1556948429,61,66
1556950349,66,139
1556952290,56,184
1556954193,64,230
1556956135,61,273
1556958050,43,261
1556959963,55,288
1556961874,62,227
1556963784,68,248
1556965988,81,247
1556967928,116,208
1556969788,118,203
1556971656,140,190
1556973621,161,211
1556975565,96,144
1556977470,155,96
1556979397,113,60
1556981309,62,58
1556983241,106,52
1556985176,78,59
1556987062,64,71
1556988991,57,75
1556990920,52,50
1556992933,59,62
1556994769,48,47
1556996685,62,60
1556998602,59,57
1557000527,79,66
1557002438,60,63
1557004358,56,60
1557006259,83,70
1557008220,77,60
1557010126,43,62
1557012019,63,53
1557013963,63,56
1557015860,68,69
1557017789,77,91
1557019743,87,77
1557021751,88,75
1557023567,70,56
1557025493,67,64
1557027389,60,50
1557029319,67,65
1557031235,71,49
1557033149,50,49
1557035060,63,50
1557037000,57,61
1557038907,58,54
1557040816,47,65
1557042755,41,59
1557044664,52,52
1557046574,67,57
1557048503,54,48
1557050538,64,56
1557052367,56,79
1557054270,90,110
1557056199,2063,99
1557058131,2524,131
1557060055,3306,139
1557061947,49,102
1557063860,57,146
1557065800,46,103
1557067709,70,70
1557069655,68,110
1557071538,111,70
1557073467,86,70
1557075397,71,62
1557077300,39,50
1557079316,63,58
1557081174,58,46
1557083151,70,66
1557085019,67,54
1557086931,71,62
1557088854,73,46
1557090772,73,57
1557092684,63,72
1557094599,55,67
1557096545,55,39
1557098441,51,53
1557100338,42,59
1557102292,66,65
1557104192,58,74
1557106099,66,72
1557108155,71,104
1557109972,43,58
1557111888,42,65
1557114057,51,59
1557115942,43,72
1557117868,44,58
1557119805,53,53
1557121698,56,52
1557123655,67,49
1557125567,49,46
1557127466,64,54
1557129380,44,43
1557131319,56,49
1557134201,73,77
1557136109,45,50
1557138041,55,53
1557139934,63,58
1557141882,59,759
1557143773,48,3003
1557145692,61,2691
1557147685,57,1543
1557149585,59,65
1557151749,90,54
1557153749,96,73
1557155574,73,57
1557157486,78,113
1557159408,87,85
1557161310,82,78
1557163225,59,51
1557165109,59,50
1557167078,70,75
1557168999,56,56
1557170923,67,91
1557172901,67,70
1557174774,135,72
1557176702,55,70
1557178581,78,56
1557180534,65,49
1557182457,71,53
1557184369,52,69
1557186648,68,64
1557188800,85,81
1557190969,67,79
1557193238,77,82
1557195193,60,65
1557197107,60,52
1557199008,69,50
1557200927,59,43
1557202854,65,44
1557204895,53,52
1557206907,66,59
1557208900,72,52
1557210767,142,60
1557212678,161,70
1557214595,150,57
1557216530,178,39
1557218432,163,60
1557220353,168,51
1557222320,285,54
1557224182,172,54
1557226143,179,65
1557228033,164,44
1557229991,168,49
1557231914,165,57
1557233940,167,66
1557235971,175,54
1557237952,166,74
1557239837,183,46
1557241706,128,83
1557243620,57,63
1557245547,89,67
1557247459,60,74
1557249382,43,67
1557251308,61,60
1557253218,70,67
1557255147,60,56
1557257066,66,68
1557258978,64,58
1557260896,67,140
1557262953,91,70
1557264979,77,76
1557266889,69,79
1557268810,62,101
1557270739,68,81
1557272671,57,83
1557274834,69,91
1557276739,60,73
1557278685,72,63
1557280575,63,55
1557282498,76,75
1557285401,131,106
1557287303,73,64
1557289215,95,61
1557291135,52,46
1557293075,65,49
1557294968,71,66
1557296888,71,145
1557298843,71,164
1557300738,59,163
1557302661,80,190
1557304598,109,170
1557306564,183,168
1557308426,154,288
1557310364,83,180
1557312256,77,167
1557314175,79,170
1557316121,196,167
1557318047,236,160
1557319929,165,165
1557321851,89,156
1557323776,60,168
1557325640,47,167
1557327654,60,167
1557329560,46,60
1557331532,77,55
1557333386,54,87
1557335307,57,52
1557337218,33,51
1557339109,53,66
1557341064,40,61
1557343018,192,63
