DateTime,Entries,UniqueIPs
1556938592,6909,6909
1556940494,6886,6886
1556942555,6881,6881
1556944366,6879,6879
1556946301,6859,6859
1556948429,6854,6854
1556950349,6781,6781
1556952290,6653,6653
1556954193,6487,6487
1556956135,6275,6275
1556958050,6057,6057
1556959963,5824,5824
1556961874,5659,5659
1556963784,5479,5479
1556965988,5313,5313
1556967928,5221,5221
1556969788,5136,5136
1556971656,5086,5086
1556973621,5036,5036
1556975565,4988,4988
1556977470,5047,5047
1556979397,5100,5100
1556981309,5104,5104
1556983241,5158,5158
1556985176,5177,5177
1556987062,5170,5170
1556988991,5152,5152
1556990920,5154,5154
1556992933,5151,5151
1556994769,5152,5152
1556996685,5154,5154
1556998602,5156,5156
1557000527,5169,5169
1557002438,5166,5166
1557004358,5162,5162
1557006259,5175,5175
1557008220,5192,5192
1557010126,5173,5173
1557012019,5183,5183
1557013963,5190,5190
1557015860,5189,5189
1557017789,5175,5175
1557019743,5185,5185
1557021751,5198,5198
1557023567,5212,5212
1557025493,5215,5215
1557027389,5225,5225
1557029319,5227,5227
1557031235,5249,5249
1557033149,5250,5250
1557035060,5263,5263
1557037000,5259,5259
1557038907,5263,5263
1557040816,5245,5245
1557042755,5227,5227
1557044664,5227,5227
1557046574,5237,5237
1557048503,5243,5243
1557050538,5251,5251
1557052367,5228,5228
1557054270,5208,5208
1557056199,7172,7172
1557058131,9565,9565
1557060055,12732,12732
1557061947,12679,12679
1557063860,12590,12590
1557065800,12533,12533
1557067709,12533,12533
1557069655,12491,12491
1557071538,12532,12532
1557073467,12548,12548
1557075397,12557,12557
1557077300,12546,12546
1557079316,12551,12551
1557081174,12563,12563
1557083151,12567,12567
1557085019,12580,12580
1557086931,12589,12589
1557088854,12616,12616
1557090772,12632,12632
1557092684,12623,12623
1557094599,12611,12611
1557096545,12627,12627
1557098441,12625,12625
1557100338,12608,12608
1557102292,12609,12609
1557104192,12593,12593
1557106099,12587,12587
1557108155,12554,12554
1557109972,12539,12539
1557111888,12516,12516
1557114057,12508,12508
1557115942,12479,12479
1557117868,12465,12465
1557119805,12465,12465
1557121698,12469,12469
1557123655,12487,12487
1557125567,12490,12490
1557127466,12500,12500
1557129380,12501,12501
1557131319,12508,12508
1557134201,12504,12504
1557136109,12499,12499
1557138041,12501,12501
1557139934,12506,12506
1557141882,11806,11806
1557143773,8851,8851
1557145692,6221,6221
1557147685,4735,4735
1557149585,4729,4729
1557151749,4765,4765
1557153749,4788,4788
1557155574,4804,4804
1557157486,4769,4769
1557159408,4771,4771
1557161310,4775,4775
1557163225,4783,4783
1557165109,4792,4792
1557167078,4787,4787
1557168999,4787,4787
1557170923,4763,4763
1557172901,4760,4760
1557174774,4823,4823
1557176702,4808,4808
1557178581,4830,4830
1557180534,4846,4846
1557182457,4864,4864
1557184369,4847,4847
1557186648,4851,4851
1557188800,4855,4855
1557190969,4843,4843
1557193238,4838,4838
1557195193,4833,4833
1557197107,4841,4841
1557199008,4860,4860
1557200927,4876,4876
1557202854,4897,4897
1557204895,4898,4898
1557206907,4905,4905
1557208900,4925,4925
1557210767,5007,5007
1557212678,5098,5098
1557214595,5191,5191
1557216530,5330,5330
1557218432,5433,5433
1557220353,5550,5550
1557222320,5781,5781
1557224182,5899,5899
1557226143,6013,6013
1557228033,6133,6133
1557229991,6252,6252
1557231914,6360,6360
1557233940,6461,6461
1557235971,6582,6582
1557237952,6674,6674
1557239837,6811,6811
1557241706,6856,6856
1557243620,6850,6850
1557245547,6872,6872
1557247459,6858,6858
1557249382,6834,6834
1557251308,6835,6835
1557253218,6838,6838
1557255147,6842,6842
1557257066,6840,6840
1557258978,6846,6846
1557260896,6773,6773
1557262953,6794,6794
1557264979,6795,6795
1557266889,6785,6785
1557268810,6746,6746
1557270739,6733,6733
1557272671,6707,6707
1557274834,6685,6685
1557276739,6672,6672
1557278685,6681,6681
1557280575,6689,6689
1557282498,6690,6690
1557285401,6715,6715
1557287303,6724,6724
1557289215,6758,6758
1557291135,6764,6764
1557293075,6780,6780
1557294968,6785,6785
1557296888,6711,6711
1557298843,6618,6618
1557300738,6514,6514
1557302661,6404,6404
1557304598,6343,6343
1557306564,6358,6358
1557308426,6224,6224
1557310364,6127,6127
1557312256,6037,6037
1557314175,5946,5946
1557316121,5975,5975
1557318047,6051,6051
1557319929,6051,6051
1557321851,5984,5984
1557323776,5876,5876
1557325640,5756,5756
1557327654,5649,5649
1557329560,5635,5635
1557331532,5657,5657
1557333386,5624,5624
1557335307,5629,5629
1557337218,5611,5611
1557339109,5598,5598
1557341064,5577,5577
1557343018,5706,5706
1557344935,5700,5700
1557346835,5658,5658
1557348786,5613,5613
1557350689,5594,5594
1557352582,5559,5559
1557355556,5519,5519
1557357396,5467,5467
1557359266,5420,5420
1557361326,5440,5440
1557363145,5421,5421
1557365079,5382,5382
1557367029,5401,5401
1557369176,5370,5370
1557371356,5340,5340
1557373263,5261,5261
1557375182,5205,5205
1557377100,5150,5150
1557379007,5082,5082
1557381160,4974,4974
1557383065,4934,4934
1557384989,4883,4883
1557386932,4857,4857
1557389004,4799,4799
1557390981,4697,4697
1557392924,4533,4533
1557394827,4392,4392
1557397004,4294,4294
1557398938,4258,4258
1557400848,4161,4161
1557402768,3971,3971
1557404666,3735,3735
1557406597,3667,3667
1557408708,3571,3571
1557410732,3506,3506
1557412591,3464,3464
1557414529,3401,3401
1557416441,3337,3337
1557418600,3229,3229
1557420503,3165,3165
1557422462,3103,3103
1557424338,3070,3070
1557426504,3028,3028
1557428538,2975,2975
1557430373,2893,2893
1557432311,2866,2866
1557434211,2844,2844
1557436140,2853,2853
1557438024,2847,2847
1557439946,2824,2824
1557442392,2823,2823
1557444287,2813,2813
1557446184,2738,2738
1557448121,2708,2708
1557450082,2697,2697
1557451947,3859,3859
1557454130,4959,4959
1557456026,5589,5589
1557458241,5524,5524
1557460155,5550,5550
1557462040,5559,5559
1557463956,5582,5582
1557465863,5571,5571
1557467778,5556,5556
1557469726,5552,5552
1557471768,5548,5548
1557473572,5546,5546
1557475569,5502,5502
1557477387,5483,5483
1557479337,5486,5486
1557481245,5472,5472
1557483161,5465,5465
1557485067,5443,5443
1557487242,5439,5439
1557489173,5533,5533
1557491085,5547,5547
1557493026,5467,5467
1557494916,5472,5472
1557496877,5466,5466
1557498750,5441,5441
1557500759,5414,5414
1557502858,5402,5402
1557504740,5404,5404
1557506652,5321,5321
1557508603,5249,5249
1557510530,5250,5250
1557512456,5245,5245
1557514337,5223,5223
1557516260,5220,5220
1557518175,5226,5226
1557520091,5226,5226
1557522055,5231,5231
1557523975,5215,5215
1557525881,5209,5209
1557528379,5212,5212
1557530200,5206,5206
1557532111,5210,5210
1557534047,5219,5219
1557535954,5246,5246
1557537902,4377,4377
1557539791,3183,3183
1557541705,2326,2326
1557544823,2315,2315
1557546738,2312,2312
1557548653,2316,2316
1557550576,2315,2315
1557552489,2344,2344
1557554450,2345,2345
1557556344,2362,2362
1557558517,2358,2358
1557560418,2346,2346
1557562607,2350,2350
1557564495,2373,2373
1557566443,2362,2362
1557568975,2367,2367
1557570788,2379,2379
1557572720,2388,2388
1557574596,2347,2347
1557576506,2282,2282
1557578428,2303,2303
1557580354,2311,2311
1557582263,2324,2324
1557584194,2334,2334
1557586105,2338,2338
1557588022,3013,3013
1557590074,3024,3024
1557592096,3024,3024
1557594364,3037,3037
1557596211,3054,3054
1557598111,3115,3115
1557600272,3155,3155
1557602208,3198,3198
1557604142,3225,3225
1557606041,3220,3220
1557607947,3208,3208
1557609885,3206,3206
1557611786,3226,3226
1557613723,3229,3229
1557615777,3265,3265
1557617789,3286,3286
1557619698,3293,3293
1557621622,3318,3318
1557623801,3287,3287
1557625724,3265,3265
1557627617,3253,3253
1557629545,3219,3219
1557631480,3201,3201
1557633400,3168,3168
1557635301,3153,3153
1557637284,3160,3160
1557639140,3158,3158
1557641074,3222,3222
1557643218,3394,3394
1557645136,3381,3381
