DateTime,AddedIPs,RemovedIPs
1556940495,15,17
1556942557,18,23
1556944367,16,18
1556946304,13,16
1556948432,22,19
1556950351,13,96
1556952291,19,155
1556954194,22,200
1556956137,15,262
1556958051,12,242
1556959968,17,275
1556961875,10,208
1556963789,15,203
1556965990,42,215
1556967929,93,179
1556969789,90,171
1556971657,105,165
1556973622,131,165
1556975566,83,117
1556977472,98,52
1556979401,64,32
1556981310,54,24
1556983245,88,25
1556985177,47,26
1556987063,42,28
1556988993,40,43
1556990921,24,25
1556992936,26,19
1556994771,15,14
1556996687,21,11
1556998603,29,24
1557000528,29,13
1557002440,26,21
1557004362,22,16
1557006261,42,28
1557008221,31,18
1557010128,15,22
1557012020,15,16
1557013964,28,16
1557015861,18,13
1557017791,41,29
1557019745,40,34
1557021756,28,26
1557023568,42,22
1557025495,19,26
1557027391,27,20
1557029320,24,20
1557031237,26,14
1557033152,21,15
1557035061,13,19
1557037001,13,16
1557038909,21,18
1557040820,16,22
1557042759,13,18
1557044666,13,8
1557046575,14,16
1557048505,22,7
1557050542,32,17
1557052368,19,39
1557054272,30,84
1557056200,15,95
1557058135,24,102
1557060056,23,124
1557061951,12,87
1557063861,17,102
1557065802,32,62
1557067711,50,55
1557069656,33,100
1557071539,61,41
1557073468,65,43
1557075398,48,39
1557077303,23,24
1557079346,40,24
1557081175,28,17
1557083153,45,25
1557085021,39,30
1557086933,43,28
1557088857,32,29
1557090774,35,21
1557092686,32,39
1557094604,17,34
1557096548,24,17
1557098443,19,15
1557100340,19,31
1557102294,47,22
1557104195,29,46
1557106102,38,39
1557108164,26,33
1557109974,15,45
1557111901,19,22
1557114059,19,29
1557115944,18,24
1557117871,11,24
1557119807,23,20
1557121701,16,11
1557123657,32,18
1557125570,13,16
1557127468,16,22
1557129382,16,12
1557131321,23,16
1557134204,26,35
1557136111,24,20
1557138043,20,23
1557139937,22,26
1557141884,25,20
1557143775,20,16
1557145694,29,27
1557147696,25,17
1557149587,37,18
1557151755,58,28
1557153752,48,48
1557155577,27,25
1557157489,29,58
1557159410,39,60
1557161313,37,45
1557163227,28,26
1557165114,30,33
1557167080,42,41
1557169002,25,28
1557170926,22,47
1557172935,33,38
1557174775,50,38
1557176703,24,32
1557178583,32,26
1557180535,43,21
1557182459,43,24
1557184372,35,16
1557186649,43,30
1557188801,40,44
1557190971,40,30
1557193240,51,44
1557195195,38,22
1557197115,35,19
1557199009,36,21
1557200929,27,17
1557202855,27,15
1557204896,23,16
1557206909,25,21
1557208920,22,29
1557210768,118,17
1557212685,131,19
1557214596,128,18
1557216540,134,19
1557218433,127,18
1557220355,125,19
1557222321,131,25
1557224192,115,18
1557226159,149,28
1557228050,137,22
1557229993,134,16
1557231926,120,25
1557233942,136,29
1557235973,123,41
1557237961,122,59
1557239843,117,35
1557241708,115,39
1557243622,13,25
1557245549,12,53
1557247461,24,37
1557249384,17,29
1557251315,17,29
1557253220,34,40
1557255149,38,27
1557257068,26,25
1557258981,29,31
1557260898,24,51
1557262974,41,28
1557264981,30,27
1557266899,22,36
1557268813,24,40
1557270741,45,38
1557272673,17,37
1557274836,33,35
1557276741,25,44
1557278689,25,45
1557280578,21,34
1557282501,43,37
1557285403,46,56
1557287305,35,27
1557289216,25,25
1557291137,36,22
1557293077,57,20
1557294971,40,14
1557296891,34,114
1557298856,26,140
1557300740,29,139
1557302666,54,136
1557304600,86,126
1557306576,139,128
1557308429,129,125
1557310366,44,116
1557312258,27,139
1557314177,34,142
1557316129,156,137
1557318074,140,119
1557319931,79,129
1557321854,21,119
1557323778,25,121
1557325642,27,111
1557327660,31,127
1557329562,22,36
1557331538,23,8
1557333389,24,20
1557335320,37,20
1557337220,38,14
1557339114,41,30
1557341067,29,44
1557343020,84,26
1557344940,38,30
1557346838,26,25
1557348788,35,35
1557350694,27,30
1557352584,30,27
1557355558,51,35
1557357398,37,43
1557359267,37,14
1557361328,93,29
1557363148,17,27
1557365083,21,27
1557367032,18,24
1557369178,20,43
1557371358,22,29
1557373265,20,42
1557375184,21,22
1557377103,12,26
1557379009,27,61
1557381165,23,50
1557383067,27,28
1557384991,35,30
1557386936,38,19
1557389006,44,54
1557390983,40,94
1557392942,25,133
1557394829,16,136
1557397006,13,51
1557398940,43,23
1557400850,29,45
1557402770,19,162
1557404668,21,134
1557406599,104,69
1557408710,14,30
1557410734,26,30
1557412593,29,23
1557414531,35,32
1557416443,27,19
1557418602,33,26
1557420504,17,27
1557422475,90,37
1557424356,15,35
1557426507,23,37
1557428539,17,55
1557430376,14,68
1557432316,21,35
1557434212,14,34
1557436142,23,27
1557438027,19,29
1557439947,21,24
1557442394,32,52
1557444289,18,39
1557446186,22,89
1557448123,25,26
1557450092,19,20
1557451949,13,15
1557454137,26,21
1557456028,15,17
1557458243,28,27
1557460160,30,19
1557462041,41,18
1557463958,40,17
1557465864,10,23
1557467779,10,22
1557469728,13,26
1557471776,22,34
1557473771,24,33
1557475571,7,42
1557477388,10,38
1557479339,17,27
1557481247,21,17
1557483163,12,14
1557485069,6,39
1557487244,11,37
1557489175,44,19
1557491087,16,21
1557493028,9,105
1557494918,14,16
1557496893,19,26
1557498752,14,29
1557500768,8,34
1557502860,12,30
1557504742,17,32
1557506653,18,19
1557508605,16,96
1557510535,18,23
1557512457,9,16
1557514339,5,25
1557516262,15,19
1557518177,26,15
1557520096,16,19
1557522059,42,26
1557523977,24,29
1557525883,23,17
1557528381,39,30
1557530201,22,21
1557532113,23,20
1557534049,23,20
1557535957,33,19
1557537904,31,12
1557539793,45,23
1557541709,48,22
1557543771,41,19
1557545771,43,32
1557547714,42,37
1557549612,30,42
1557551532,40,21
1557553461,25,13
1557555373,18,11
1557557299,17,14
1557559220,38,25
1557561161,17,18
1557563056,18,8
1557564984,27,13
1557567019,23,19
1557568977,20,17
1557570793,20,6
1557572725,26,11
1557574598,20,40
1557576508,22,13
1557578458,20,14
1557580356,21,6
1557582264,28,17
1557584196,18,12
1557586107,19,10
1557588025,691,7
1557590076,27,7
1557592097,24,13
1557594376,25,19
1557596213,26,8
1557598112,45,8
1557600274,42,8
1557602209,46,8
1557604144,39,24
1557606043,23,24
1557607949,14,28
1557609887,34,35
1557611787,26,19
1557613725,13,18
1557615779,27,33
1557617791,31,23
1557619699,28,22
1557621624,37,31
1557623802,38,37
1557625725,28,41
1557627619,36,46
1557629547,37,43
1557631481,26,43
1557633402,20,40
1557635303,19,37
1557637316,27,26
1557639144,23,37
1557641080,28,18
1557643220,18,20
1557645137,17,25
1557647085,26,21
1557648985,27,20
1557651166,27,29
1557653059,30,22
1557655010,31,17
1557656935,21,24
1557658922,18,28
1557660741,15,19
1557662713,21,21
1557664592,38,18
1557666504,21,27
1557668442,14,21
1557670351,20,18
1557672259,37,19
1557674460,30,726
1557676387,35,24
1557678291,35,20
1557680185,49,23
1557682116,38,26
1557684076,29,43
1557685971,17,34
1557687932,19,44
1557690052,19,40
1557692209,23,26
1557694121,16,21
1557696061,36,25
1557697938,24,34
1557699857,21,14
1557702961,68,29
1557704914,20,41
1557706863,14,33
1557708762,28,33
1557710673,21,32
1557712601,13,27
1557714759,28,51
1557716777,13,31
1557718607,27,17
1557720511,15,16
1557722451,25,31
1557724377,16,26
1557726268,20,30
1557728204,21,21
1557730131,38,14
1557732046,24,18
1557733949,21,20
1557735878,25,26
1557737800,26,29
1557739735,32,31
1557741693,17,35
1557743576,27,13
1557745529,16,20
1557747392,20,21
1557749314,26,15
1557751226,32,40
1557753165,25,19
1557755069,38,17
1557757013,35,25
1557758868,28,36
1557760849,29,24
1557762850,23,44
1557764678,14,34
1557766612,23,50
1557768534,17,41
1557770578,22,34
1557772599,11,21
1557774532,15,24
1557776418,17,15
1557778601,32,23
1557780500,24,21
1557782453,28,33
1557784337,30,22
1557786277,34,22
1557788204,22,38
1557790095,12,19
1557792071,15,12
1557793940,19,28
1557796129,19,32
1557798059,21,23
1557799966,23,28
1557801860,19,13
1557804064,29,31
1557805939,31,14
1557807865,35,25
1557809790,31,18
1557811733,35,16
1557813724,28,33
1557815562,25,23
1557817556,80,32
1557819643,36,25
1557821542,37,20
1557823760,30,25
1557825679,30,38
1557827559,27,15
1557829462,52,28
1557831422,33,16
1557833301,24,16
1557835261,17,27
1557837164,20,31
1557839088,19,23
1557840993,22,43
1557842928,26,33
1557845085,25,29
1557847008,19,23
1557848937,17,26
1557850844,18,17
1557852799,14,19
1557854661,16,17
1557856619,15,19
1557858511,28,16
1557860540,26,14
1557862388,16,12
1557864343,19,21
1557866234,19,29
1557868145,16,24
1557870037,15,33
1557871967,15,40
1557873897,26,26
1557875834,29,14
1557877741,35,16
1557879656,33,20
1557881598,21,18
1557883473,20,21
1557885385,16,23
1557887315,16,27
1557889391,23,22
1557891397,16,24
1557893589,30,41
1557895498,37,33
1557897414,19,33
1557899315,34,33
1557901254,70,28
1557903162,24,52
1557905092,27,55
1557906979,26,43
1557908912,27,21
1557910853,105,39
1557912743,116,27
1557914753,74,36
