DateTime,AddedIPs,RemovedIPs
1556465822,1,0
1556467731,1,1
1556469638,2,0
1556471545,1,0
1556473498,2,2
1556475419,1,0
1556481181,1,0
1556483063,1,0
1556485412,3,0
1556487385,1,1
1556491223,0,1
1556493147,1,0
1556495084,4,3
1556497001,1,0
1556498912,0,1
1556502761,0,1
1556504678,2,0
1556508525,1,1
1556514284,0,1
1556516194,2,0
1556520049,1,0
1556527705,0,1
1556529634,2,0
1556531570,1,0
1556535391,3,1
1556539376,0,1
1556545463,1,0
1556547412,2,2
1556549308,2,2
1556551231,1,0
1556553164,1,1
1556555080,0,2
1556556993,0,1
1556558923,0,3
1556560974,0,1
1556562788,1,0
1556564706,1,0
1556566582,1,1
1556568511,0,1
1556570449,0,2
1556572597,1,0
1556574496,0,1
1556578713,2,1
1556580518,1,5
1556582584,0,1
1556586551,1,0
1556590351,0,1
1556594223,0,2
1556601939,0,1
1556603787,0,1
1556605755,0,1
1556607750,1,0
1556615630,0,2
1556617655,0,1
1556619687,1,0
1556621589,0,2
1556623496,0,1
1556631177,1,1
1556633392,0,3
1556635263,0,2
1556637166,0,1
1556639086,0,1
1556642902,1,0
1556644872,2,0
1556648677,0,1
1556650614,0,2
1556654504,0,1
1556660219,1,1
1556665942,0,3
1556668083,1,0
1556671972,1,0
1556673873,1,1
1556677740,2,0
1556683723,2,0
1556685653,1,0
1556687557,2,0
1556689494,2,0
1556691404,2,0
1556693323,1,1
1556699072,1,0
1556702903,2,0
1556704964,1,1
1556710601,1,0
1556718271,0,1
1556720202,1,0
1556722114,1,0
1556724058,1,0
1556725963,1,0
1556727880,2,0
1556729806,1,2
1556731704,0,1
1556733755,2,0
1556739395,3,0
1556747080,0,1
1556750456,3,0
1556754309,0,1
1556756195,3,0
1556758383,1,1
1556760271,0,1
1556762219,1,0
1556766161,1,0
1556767975,1,0
1556769934,1,1
1556773735,0,1
1556775627,1,1
1556777821,1,1
1556779713,1,1
1556783592,1,1
1556785503,2,1
1556791387,0,1
1556793414,2,0
1556802988,1,0
1556805252,2,1
1556809306,1,1
1556811165,0,2
1556813096,0,1
1556814998,1,1
1556818816,1,0
1556820740,0,2
1556822690,1,0
1556826514,0,3
1556828444,1,0
1556830336,2,2
1556834207,0,1
1556836368,1,1
1556838300,2,2
1556840206,1,0
1556842134,0,2
1556844035,0,2
1556847889,1,2
1556851738,0,1
1556853620,1,2
1556855551,0,1
1556857469,1,1
1556861299,1,0
1556863333,1,2
1556865171,0,1
1556867109,0,1
1556869012,0,1
1556872853,0,2
1556874767,1,0
1556880513,0,1
1556890106,1,1
1556892303,1,1
1556902108,0,1
1556904025,1,1
1556905964,0,1
1556909776,0,1
1556913694,1,0
1556915568,0,2
1556917490,1,0
1556919384,1,0
1556923176,0,1
1556925142,0,2
1556927086,0,1
1556929002,1,0
1556930903,0,1
1556932851,2,1
1556934775,1,0
1556936665,1,0
1556938594,0,1
1556940496,0,1
1556942559,1,0
1556944368,1,1
1556946306,3,0
