DateTime,AddedIPs,RemovedIPs
1556940790,1,3
1556942702,3,2
1556944581,4,3
1556946535,9,0
1556948434,6,8
1556950353,7,8
1556952293,5,6
1556954196,4,5
1556956139,2,5
1556958053,4,4
1556959970,2,2
1556961877,4,3
1556963791,2,9
1556965992,7,4
1556967931,6,5
1556969791,1,4
1556971659,4,6
1556973624,3,8
1556975568,5,5
1556977487,2,6
1556979403,3,2
1556981312,1,5
1556983247,4,10
1556985179,0,5
1556987065,0,6
1556988995,5,4
1556990923,0,3
1556992938,2,1
1556994772,3,2
1556996690,5,0
1556998605,2,5
1557000530,3,5
1557002441,4,1
1557004364,3,5
1557006262,3,4
1557008223,2,3
1557010130,2,2
1557012022,5,4
1557013966,6,3
1557015863,6,3
1557017792,4,7
1557019747,2,2
1557021758,2,7
1557023571,4,3
1557025498,4,5
1557027393,4,1
1557029322,4,3
1557031239,1,5
1557033154,1,8
1557035063,3,8
1557037003,4,6
1557038910,1,4
1557040822,6,4
1557042761,5,4
1557044668,3,2
1557046577,7,3
1557048507,4,3
1557050545,5,3
1557052370,2,6
1557054276,4,6
1557056202,5,1
1557058137,6,4
1557060059,1,3
1557061954,3,5
1557063863,2,2
1557065804,1,3
1557067713,2,1
1557069659,3,4
1557071541,1,0
1557073470,1,0
1557075401,2,5
1557077305,1,0
1557079359,4,2
1557081177,4,3
1557083155,6,5
1557085024,3,2
1557086935,2,3
1557088859,4,5
1557090776,5,3
1557092688,5,3
1557094606,2,2
1557096551,4,2
1557098445,2,5
1557100342,7,6
1557102296,5,6
1557104198,9,4
1557106104,2,2
1557108174,3,2
1557109976,2,4
1557111905,1,4
1557114061,1,4
1557115946,2,4
1557117875,5,1
1557119810,6,1
1557121704,5,4
1557123660,3,3
1557125573,3,3
1557127473,5,6
1557129385,1,3
1557131323,0,4
1557134207,9,10
1557136113,1,4
1557138045,5,3
1557139939,0,4
1557141887,3,5
1557143777,2,5
1557145697,8,1
1557147708,4,3
1557149589,2,3
1557151757,4,1
1557153754,2,2
1557155579,2,2
1557157492,5,2
1557159412,5,0
1557161315,4,2
1557163229,3,2
1557165116,3,3
1557167082,1,3
1557169004,4,6
1557170929,2,5
1557172945,2,2
1557174777,2,4
1557176706,1,3
1557178585,1,6
1557180537,4,3
1557182461,1,3
1557184375,3,2
1557186651,2,8
1557188803,5,6
1557190973,1,8
1557193242,3,2
1557195198,4,3
1557197118,5,2
1557199011,4,1
1557200931,4,2
1557202857,4,1
1557204898,1,7
1557206911,5,4
1557208967,4,6
1557210797,3,2
1557212691,5,3
1557214608,3,6
1557216554,5,0
1557218436,6,4
1557220357,3,4
1557222323,9,2
1557224194,7,5
1557226176,4,0
1557228052,3,3
1557230002,2,2
1557231927,3,6
1557233944,5,6
1557235975,6,2
1557237973,8,4
1557239845,7,2
1557241725,6,1
1557243624,2,5
1557245550,0,5
1557247463,4,5
