DateTime,AddedIPs,RemovedIPs
1556566584,1,0
1556568514,1,0
1556570451,0,1
1556572599,1,0
1556574498,0,1
1556576446,5,1
1556578715,430,0
1556580520,326,1
1556582587,297,0
1556584616,333,0
1556586555,301,0
1556588476,348,0
1556590353,314,0
1556592316,294,1
1556594226,298,0
1556596114,111,0
1556598029,5,0
1556599962,7,0
1556601956,198,1
1556603789,310,0
1556605764,275,0
1556607752,323,0
1556609573,310,1
1556611569,331,0
1556613438,340,1
1556615633,194,0
1556617657,159,1
1556619689,160,0
1556621591,145,0
1556623499,137,0
1556625402,245,0
1556627321,269,0
1556629312,30,0
1556631179,257,0
1556633424,216,0
1556635266,201,0
1556637169,210,0
1556639089,295,1
1556641020,312,0
1556642904,325,0
1556644875,313,0
1556646770,289,0
1556648680,255,1
1556650617,231,0
1556652574,219,0
1556654508,228,0
1556656357,218,0
1556658294,207,2
1556660222,215,0
1556662189,233,1
1556664069,231,69
1556665945,178,95
1556668085,220,104
1556670025,179,74
1556671975,216,89
1556673875,179,81
1556675814,184,87
1556677742,137,101
1556679804,163,109
1556681827,92,117
1556683725,1,180
1556685656,0,175
1556687560,0,170
1556689496,0,172
1556691407,0,140
1556693341,19,159
1556695243,0,153
1556697145,1,276
1556699074,0,300
1556701002,3,200
1556702906,2,133
1556704966,0,143
1556706789,2,137
1556708708,0,115
1556710603,0,128
1556712525,0,257
1556714444,0,137
1556716360,0,93
1556718274,0,225
1556720204,0,130
1556722116,0,185
1556724060,1,164
1556725966,0,221
1556727888,0,219
1556729809,0,286
1556731707,0,195
1556733758,0,308
1556735568,1,221
1556737497,0,298
1556739397,0,342
1556741331,0,422
1556743196,0,415
1556745163,0,390
1556747082,0,381
1556750459,1,743
1556752356,0,394
1556754311,0,423
1556756198,3,335
1556758386,1,483
1556760274,2,384
1556762222,0,414
1556764115,0,334
1556766164,0,367
1556767977,0,225
1556769936,0,1
1556779716,0,19
1556783605,0,1
1556785506,1,0
1556787432,0,2
1556789380,0,2
1556793416,0,2
1556799164,1,0
1556805254,1,0
1556807067,1,0
1556809308,3,0
1556811168,0,1
1556815000,1,0
1556822693,2,1
1556824589,1,1
1556828447,1,0
1556834210,1,1
1556836370,4,0
1556838303,6,1
1556844037,2,2
1556847891,0,2
1556851741,1,0
1556853622,1,0
1556857472,0,1
1556861301,1,0
1556865173,1,0
1556869014,1,0
1556870962,0,1
1556874780,1,0
1556876719,1,0
1556878613,1,0
1556884625,1,0
1556886841,0,1
1556892780,1,1
1556896611,2,2
1556900422,1,1
1556902372,0,1
1556908135,0,1
1556910169,1,2
1556911977,1,0
1556915780,0,1
1556919646,1,0
1556921542,0,1
1556923507,1,10
1556925394,1,0
1556931162,0,1
1556936925,1,0
1556938962,0,2
1556942704,0,1
1556944583,0,1
1556948436,0,1
1556950355,1,0
1556952295,0,1
1556956141,0,1
1556958055,1,0
1556961879,1,2
1556963792,0,1
1556965994,1,1
1556969793,0,1
1556971661,1,0
