DateTime,Entries,UniqueIPs
1556566584,16,16
1556568514,17,17
1556570451,16,16
1556572599,17,17
1556574498,16,16
1556576446,20,20
1556578715,450,450
1556580520,775,775
1556582587,1072,1072
1556584616,1405,1405
1556586555,1706,1706
1556588476,2054,2054
1556590353,2368,2368
1556592316,2661,2661
1556594226,2959,2959
1556596114,3070,3070
1556598029,3075,3075
1556599962,3082,3082
1556601956,3279,3279
1556603789,3589,3589
1556605764,3864,3864
1556607752,4187,4187
1556609573,4496,4496
1556611569,4827,4827
1556613438,5166,5166
1556615633,5360,5360
1556617657,5518,5518
1556619689,5678,5678
1556621591,5823,5823
1556623499,5960,5960
1556625402,6205,6205
1556627321,6474,6474
1556629312,6504,6504
1556631179,6761,6761
1556633424,6977,6977
1556635266,7178,7178
1556637169,7388,7388
1556639089,7682,7682
1556641020,7994,7994
1556642904,8319,8319
1556644875,8632,8632
1556646770,8921,8921
1556648680,9175,9175
1556650617,9406,9406
1556652574,9625,9625
1556654508,9853,9853
1556656357,10071,10071
1556658294,10276,10276
1556660222,10491,10491
1556662189,10723,10723
1556664069,10885,10885
1556665945,10968,10968
1556668085,11084,11084
1556670025,11189,11189
1556671975,11316,11316
1556673875,11414,11414
1556675814,11511,11511
1556677742,11547,11547
1556679804,11601,11601
1556681827,11576,11576
1556683725,11397,11397
1556685656,11222,11222
1556687560,11052,11052
1556689496,10880,10880
1556691407,10740,10740
1556693341,10600,10600
1556695243,10447,10447
1556697145,10172,10172
1556699074,9872,9872
1556701002,9675,9675
1556702906,9544,9544
1556704966,9401,9401
1556706789,9266,9266
1556708708,9151,9151
1556710603,9023,9023
1556712525,8766,8766
1556714444,8629,8629
1556716360,8536,8536
1556718274,8311,8311
1556720204,8181,8181
1556722116,7996,7996
1556724060,7833,7833
1556725966,7612,7612
1556727888,7393,7393
1556729809,7107,7107
1556731707,6912,6912
1556733758,6604,6604
1556735568,6384,6384
1556737497,6086,6086
1556739397,5744,5744
1556741331,5322,5322
1556743196,4907,4907
1556745163,4517,4517
1556747082,4136,4136
1556750459,3394,3394
1556752356,3000,3000
1556754311,2577,2577
1556756198,2245,2245
1556758386,1763,1763
1556760274,1381,1381
1556762222,967,967
1556764115,633,633
1556766164,266,266
1556767977,41,41
1556769936,40,40
1556779716,21,21
1556783605,20,20
1556785506,21,21
1556787432,19,19
1556789380,17,17
1556793416,15,15
1556799164,16,16
1556805254,17,17
1556807067,18,18
1556809308,21,21
1556811168,20,20
1556815000,21,21
1556822693,22,22
1556824589,22,22
1556828447,23,23
1556834210,23,23
1556836370,27,27
1556838303,32,32
1556844037,32,32
1556847891,30,30
1556851741,31,31
1556853622,32,32
1556857472,31,31
1556861301,32,32
1556865173,33,33
1556869014,34,34
1556870962,33,33
1556874780,34,34
1556876719,35,35
1556878613,36,36
1556884625,37,37
1556886841,36,36
1556892780,36,36
1556896611,36,36
1556900422,36,36
1556902372,35,35
1556908135,34,34
1556910169,33,33
1556911977,34,34
1556915780,33,33
1556919646,34,34
1556921542,33,33
1556923507,24,24
1556925394,25,25
1556931162,24,24
1556936925,25,25
1556938962,23,23
1556942704,22,22
1556944583,21,21
1556948436,20,20
1556950355,21,21
1556952295,20,20
1556956141,19,19
1556958055,20,20
1556961879,19,19
1556963792,18,18
1556965994,18,18
1556969793,17,17
1556971661,18,18
1556979404,18,18
1556983248,18,18
1556987066,17,17
1556996691,16,16
1556998606,15,15
1557002443,16,16
1557006264,15,15
1557008224,16,16
1557010131,16,16
1557012023,15,15
1557013967,14,14
1557015864,13,13
1557019748,12,12
1557023572,12,12
1557029323,13,13
1557033170,14,14
1557037004,14,14
1557044669,13,13
1557046578,14,14
1557048509,13,13
1557056204,14,14
1557058139,16,16
1557060060,17,17
1557065805,18,18
1557069660,17,17
1557086937,19,19
1557088861,18,18
1557090778,19,19
1557092690,20,20
1557094608,20,20
1557096553,20,20
1557109978,18,18
1557115948,17,17
1557117877,19,19
1557121706,20,20
1557123662,18,18
1557125575,19,19
1557129387,20,20
1557131325,22,22
1557134209,21,21
1557136115,20,20
1557139941,19,19
1557141889,20,20
1557143779,21,21
