DateTime,AddedIPs,RemovedIPs
1556333328,1,0
1556335252,3,0
1556337156,1,0
1556339068,1,2
1556341005,1,1
1556342938,1,1
1556344960,2,0
1556346768,1,1
1556348744,0,1
1556350584,2,3
1556352520,1,1
1556354460,2,1
1556358279,0,2
1556360097,2,2
1556361905,1,0
1556363792,0,3
1556365717,0,2
1556367663,1,2
1556369568,0,1
1556371476,3,0
1556373395,1,0
1556375326,1,0
1556377348,2,0
1556381128,1,2
1556384903,2,1
1556386864,2,1
1556388754,2,0
1556392616,1,2
1556394543,0,2
1556396435,2,1
1556400279,3,1
1556402200,2,1
1556404125,2,2
1556406135,1,1
1556407974,1,0
1556409911,2,0
1556411797,0,3
1556413716,2,1
1556415648,1,1
1556419471,0,2
1556421390,3,2
1556423315,2,2
1556425251,1,1
1556427164,0,1
1556429075,1,0
1556431033,0,2
1556432944,1,1
1556434982,2,0
1556437003,1,6
1556438920,0,1
1556440856,2,1
1556442766,2,0
1556444682,1,0
1556446600,1,2
1556448532,1,1
1556450447,2,0
1556452364,1,0
1556454289,0,1
1556456215,0,1
1556458150,0,2
1556460172,2,1
1556461979,1,3
1556463923,1,0
1556467750,1,0
1556471550,0,2
1556473503,0,2
1556475424,0,2
1556479256,1,1
1556481186,0,2
1556483082,1,0
1556485473,0,1
1556487390,0,2
1556489320,0,1
1556491229,0,1
1556493152,0,2
1556495089,0,1
1556497007,1,1
1556498917,0,1
1556500851,0,1
1556502766,0,1
1556504683,1,0
1556506582,1,0
1556508531,0,3
1556510558,0,1
1556512382,0,1
1556514322,1,1
1556518117,1,1
1556521948,0,1
1556523907,0,5
1556525819,0,1
1556527710,0,1
1556529639,0,2
1556531583,0,2
1556533466,2,3
1556535396,1,1
1556537308,0,2
1556539390,2,0
1556541652,0,1
1556545469,2,0
1556547425,0,2
1556549314,0,1
1556551245,0,1
1556553170,0,1
1556560981,2,0
1556562794,2,0
1556564721,0,1
1556566587,1,0
1556576459,1,0
1556578728,1,0
1556582590,0,1
1556584632,1,0
1556588478,2,0
1556590356,0,1
1556596116,1,0
1556599964,1,0
1556601972,0,1
1556603791,1,0
1556605780,0,1
1556611572,0,1
1556613451,1,0
1556615635,1,0
1556621594,0,2
1556627324,1,2
1556631182,1,2
1556642907,2,0
1556648682,0,2
1556652577,3,1
1556654527,1,0
1556656360,1,0
1556662218,0,1
1556668088,1,0
1556670028,0,1
1556671978,1,0
1556675816,1,1
1556677749,1,0
1556679817,1,0
1556681830,0,1
1556685658,0,1
1556689499,0,1
1556693344,2,0
1556695246,1,0
1556699077,0,1
1556701005,0,1
1556718277,0,1
1556727892,2,2
1556731710,1,1
1556737499,1,0
1556739400,0,7
1556743200,1,0
1556747085,1,0
1556750463,1,0
1556754316,2,0
1556756201,1,1
1556758389,1,1
1556760276,0,1
1556766167,0,1
1556779718,2,2
1556781784,1,1
1556783620,2,2
1556787435,0,1
1556793420,0,1
1556799167,1,0
1556811173,1,0
1556813102,1,1
1556815002,2,1
1556816909,0,1
1556818822,0,1
1556826521,1,0
1556836372,0,1
1556840212,3,2
1556842150,0,1
1556845944,2,0
1556853624,1,0
1556861303,1,0
1556867313,1,2
1556869252,0,6
1556871153,1,1
1556880793,1,0
1556884627,1,1
1556888685,2,0
1556890588,1,0
1556892783,3,0
1556898524,0,1
1556900425,0,2
1556902375,2,1
1556908139,3,0
1556911980,0,1
1556917728,1,0
1556925396,0,2
1556927310,1,0
1556929237,2,0
1556931165,0,1
1556933071,0,1
1556938965,2,0
1556940795,0,1
1556948439,0,1
1556952298,0,1
1556956144,1,1
1556958057,0,1
1556963795,2,0
1556967935,0,1
1556971663,0,1
1556975572,0,1
1556977491,1,1
1556979407,1,1
1556983251,0,1
1556988999,0,1
1556990926,0,1
1556992942,1,0
1556994776,0,3
1556996715,1,0
1556998608,1,0
1557000534,2,0
1557002445,2,0
1557004368,0,1
1557008227,1,0
1557012026,1,0
1557013970,0,1
1557015867,1,1
1557021764,1,0
1557025503,1,0
1557031242,2,0
