DateTime,AddedIPs,RemovedIPs
1556629316,567,0
1556631183,394,0
1556633440,1,0
1556635269,0,1
1556637172,1,0
1556639099,0,2
1556641024,0,1
1556646773,1,1
1556648683,2,0
1556652578,1,1
1556654532,9,3
1556656361,1,1
1556658298,0,1
1556662219,1,0
1556664074,0,1
1556665948,0,2
1556668089,0,1
1556671978,2,1
1556673879,0,2
1556675817,2,0
1556677750,1,1
1556679818,1,1
1556683729,0,1
1556685659,1,0
1556687563,0,3
1556689500,0,1
1556691411,5,0
1556693344,2,0
1556697148,1,0
1556699078,0,1
1556702910,1,2
1556708712,2,1
1556710608,2,1
1556712528,0,1
1556714447,1,0
1556718277,4,0
1556720208,0,1
1556722120,2,0
1556724064,2,0
1556725969,2,0
1556727893,2,0
1556729813,2,0
1556733761,2,1
1556735572,0,2
1556739401,1,1
1556741334,1,0
1556743201,0,1
1556745167,1,0
1556750463,2,9
1556752360,0,452
1556754316,1,728
1556756201,0,606
1556758389,2,561
1556762225,0,3
1556764118,0,1
1556766167,0,1
1556767980,1,0
1556773756,1,0
1556777827,0,6
1556779719,2,2
1556781785,0,1
1556783621,1,1
1556785510,1,1
1556787435,3,0
1556789383,3,1
1556793420,1,1
1556795307,1,2
1556797252,0,3
1556799168,1,0
1556801097,0,1
1556802993,1,3
1556805267,1,1
1556809317,5,4
1556813102,5,3
1556815002,1,2
1556816909,1,1
1556820745,0,2
1556824592,1,2
1556826521,4,1
1556828451,1,1
1556832282,3,2
1556834213,2,2
1556836373,0,1
1556838305,2,0
1556840212,1,1
1556842166,1,0
1556844039,0,1
1556845945,1,1
1556847895,2,0
1556849796,1,0
1556853625,1,0
1556855558,0,1
1556857475,2,0
1556859408,2,1
1556865402,1,1
1556867314,0,1
1556869253,0,1
1556871154,0,1
1556875006,2,6
1556878883,1,0
1556880794,1,2
1556884628,2,0
1556886843,2,1
1556888686,5,1
1556892783,3,1
1556894668,1,2
1556896613,4,2
1556898524,0,4
1556900425,1,1
1556902376,2,1
1556904269,3,0
1556910173,0,2
1556911981,0,3
1556913881,1,2
1556915784,1,0
1556917728,0,1
1556919649,0,3
1556921546,1,0
1556923511,0,2
1556927310,4,2
1556933071,0,1
1556934993,3,2
1556936928,3,1
1556938965,0,1
1556942709,0,1
1556944587,0,1
1556946540,0,1
1556950358,3,0
1556952299,0,1
1556954201,0,1
1556956144,2,0
1556958057,1,0
1556959974,2,1
1556961882,0,1
1556963795,0,1
1556965996,1,1
1556967935,1,1
1556969796,0,1
1556971663,1,2
1556973628,0,2
1556975572,0,4
1556977491,2,1
1556979407,1,2
1556981316,1,2
1556983251,2,3
1556985183,3,1
1556988999,3,3
1556990927,0,1
1556994776,2,0
1556996716,1,0
1556998609,1,1
1557000534,3,1
1557002446,1,1
1557004368,1,0
1557008227,0,1
1557010134,1,0
1557012026,1,1
1557013970,0,3
1557015867,2,0
1557019751,1,0
1557021764,0,3
1557023575,4,3
1557025503,1,0
1557029325,2,1
1557033173,1,0
1557037007,1,2
1557038914,1,0
1557040826,0,1
1557042765,0,1
1557044672,0,1
1557046581,0,1
1557050549,979,0
1557052374,780,1
1557054283,616,1
1557056207,1,0
1557058142,1,1
1557060063,3,0
1557061958,1,0
1557063868,1,1
1557065809,3,1
1557069664,2,1
1557071546,0,1
1557075406,0,2
1557079366,1,0
1557081183,1,2
1557083173,0,2
1557085030,2,1
1557086941,0,2
1557088865,0,1
1557090781,2,1
1557092713,1,0
1557096566,0,1
1557098450,2,1
1557100348,0,1
1557102311,2,2
1557104204,1,0
1557106110,0,1
1557109982,4,2
1557114068,2,0
1557115952,0,2
1557121710,1,0
1557123675,1,1
1557125579,1,1
1557127479,2,0
1557134213,6,0
1557136128,1,0
1557138051,1,0
1557139945,1,1
1557141901,0,3
1557143784,1,1
1557145703,0,1
1557147717,1,3
1557149595,1,0
1557151773,2,1
1557153760,1,0
1557155585,2,2
1557157506,1,0
1557161331,1,0
1557165123,2,1
1557170934,0,1
1557178591,0,1
1557180552,1,0
1557182467,2,1
1557184381,0,2
1557188809,1,2
1557190980,0,1
1557195203,0,2
1557197123,2,2
1557200936,0,2
1557202863,2,0
1557204903,0,159
1557206916,1,625
1557209024,3,1040
1557210977,0,556
1557212919,1,4
1557214832,1,0
1557218897,0,1
1557220832,0,5
1557222780,1,1
1557224716,0,1
1557226590,1,1
1557228542,1,1
1557232378,2,0
1557234286,2,1
1557236221,1,2
1557238371,1,2
1557240274,1,3
1557242180,1,2
1557244112,0,2
1557247941,0,1
1557249865,276,0
1557251787,1009,2
1557253696,364,0
1557255759,257,0
1557257798,430,0
1557259696,47,0
1557263548,1,0
1557265465,1,1
1557269309,0,2
1557271210,3,0
1557275061,1,1
1557276970,1,0
1557282989,1,1
1557284900,1,1
1557288768,0,2
1557290658,1,0
1557294509,0,2
1557296437,1,1
1557300280,0,1
1557310113,0,1
1557312020,2,0
1557313953,2,1
1557317801,3,0
1557319715,3,2
1557321623,1,0
1557323554,1,1
1557327716,0,2
1557329578,2,0
1557333398,1,0
1557335337,1,0
1557337228,2,0
1557339122,1,0
1557346847,0,1
1557350701,1,0
1557352592,0,1
1557355566,2,1
1557357406,1,0
1557359275,0,2
1557361337,1,1
1557363156,1,0
1557365106,1,1
1557369193,1,1
1557371378,0,1
1557373273,1,0
1557377113,1,1
1557383074,0,1
1557385011,2,0
1557386944,2,0
1557390990,0,86
1557392950,0,423
1557394844,0,711
1557397013,2,1170
1557398947,1,1
1557400857,0,2
1557404675,3,5
1557406613,1,1
1557410742,0,1
1557412599,1,0
1557414538,2,1
1557416450,0,1
1557418617,1,0
1557420512,4,1
1557422492,2,4
1557426513,1,1
1557430383,3,0
1557436149,1,1
1557438059,2,0
1557439954,3,1
1557442400,2,2
1557446192,1,0
1557448130,1,2
1557451955,1,1
1557454152,4,1
1557456035,0,1
1557460170,0,1
1557462049,1,1
1557463965,1,1
1557465871,1,0
1557469734,1,0
1557471789,4,2
1557473777,3,3
1557475734,2,0
1557479554,2,0
1557481470,3,0
1557483400,1,2
1557485314,0,1
1557489183,462,0
1557491094,1064,2
1557493050,684,1
1557496928,2,0
1557500779,1,1
1557504761,2,1
1557506661,0,1
1557508629,1,0
1557510566,0,1
1557512465,0,1
1557514346,2,0
1557516269,1,2
1557518184,1,0
1557520104,1,0
1557522070,2,0
1557524016,1,0
1557525891,1,1
1557528390,1,4
1557530219,2,0
1557532120,0,1
1557534057,1,1
1557535965,2,1
1557539800,0,2
1557541716,3,0
1557551539,0,2
1557553468,1,0
1557555379,0,1
1557557306,1,0
1557559227,1,3
1557561168,0,1
1557563063,1,0
1557564990,1,1
1557567037,0,2
1557568986,2,2
1557574605,1,0
1557576519,3,922
1557578465,0,1169
1557580363,1,138
1557582271,2,0
1557584203,0,3
1557586113,0,1
1557588031,0,1
1557590082,0,1
1557592104,1,1
1557594382,2,1
1557596219,1,0
1557602217,1,1
1557604152,0,2
1557607955,0,2
1557609893,3,0
1557611793,3,1
1557613731,2,2
1557615786,1,2
1557617797,5,1
1557619706,1,0
1557621630,1,1
1557623809,0,1
1557625733,1,0
1557629553,4,3
1557631489,1,0
1557633408,2,0
1557637368,0,1
1557641301,1,0
1557643226,0,1
1557645142,2,1
1557647091,1,0
1557649007,0,1
1557653066,0,1
1557655016,0,2
1557656941,2,0
1557660748,2,0
1557662721,0,4
1557666511,0,1
1557668449,0,3
1557670358,1,0
1557674467,2,0
1557678298,3,1
1557680193,1,2
1557682124,0,1
