DateTime,AddedIPs,RemovedIPs
1556539391,2,1
1556543572,0,3
1556547429,0,1
1556549315,1,0
1556553171,0,5
1556555086,2,2
1556562796,0,1
1556570463,1,0
1556572603,1,1
1556574502,1,1
1556576460,1,1
1556578743,0,1
1556580745,0,1
1556582592,1,1
1556584634,0,1
1556586559,1,0
1556590358,0,1
1556596118,0,1
1556598032,1,1
1556599966,0,4
1556601974,1,1
1556603793,0,1
1556605782,0,2
1556607756,1,0
1556611574,1,0
1556613473,2,1
1556615654,0,1
1556617674,0,1
1556619703,0,2
1556623512,2,1
1556625406,0,2
1556629318,1,0
1556633470,1,0
1556635270,1,1
1556641025,0,2
1556642909,1,0
1556644894,1,0
1556648684,2,0
1556650621,2,0
1556652579,1,0
1556656362,1,1
1556660228,0,2
1556662222,2,1
1556664076,1,0
1556668090,0,1
1556673880,1,1
1556679824,3,0
1556681838,1,0
1556685660,1,1
1556687564,1,1
1556695248,1,1
1556697150,0,1
1556701007,0,2
1556702911,1,0
1556704971,2,0
1556708713,1,2
1556716364,0,1
1556720209,0,1
1556724065,1,0
1556729814,0,1
1556731712,0,1
1556733763,1,0
1556735573,1,3
1556737502,0,2
1556739402,1,1
1556741335,1,1
1556743202,2,0
1556750465,2,3
1556754318,1,0
1556758391,1,0
1556760278,0,1
1556766169,0,2
1556767981,1,1
1556769941,1,0
1556771813,1,1
1556773758,1,2
1556777828,2,0
1556779720,1,0
1556781786,0,1
1556785511,1,0
1556787437,1,0
1556789392,1,1
1556791449,1,2
1556793421,1,0
1556795308,2,1
1556797253,1,0
1556801098,1,0
1556805268,2,0
1556809321,1,0
1556811180,1,1
1556815004,1,0
1556820746,0,1
1556822701,0,1
1556824593,1,1
1556826524,0,1
1556830343,0,2
1556834216,1,0
1556836374,0,2
1556838307,1,0
1556840215,1,1
1556844040,0,1
1556847896,1,0
1556851754,1,0
1556853626,2,0
1556855563,1,1
1556857478,0,1
1556859411,0,1
1556861304,0,1
1556863377,2,2
1556865405,0,1
1556871168,1,1
1556875007,0,2
1556876922,1,1
1556878885,1,1
1556880795,1,1
1556882692,0,2
1556884631,1,0
1556888687,0,1
1556892784,3,2
1556896614,0,1
1556898525,0,1
