DateTime,AddedIPs,RemovedIPs
1556938970,10,8
1556940800,3,10
1556942712,6,22
1556944592,7,10
1556946544,2,11
1556948443,3,6
1556950361,11,8
1556952302,17,2
1556954204,6,8
1556956148,6,7
1556958061,7,6
1556959977,6,7
1556961885,3,5
1556963798,6,2
1556966000,7,2
1556967939,10,3
1556969799,6,1
1556971667,5,6
1556973632,5,6
1556975576,4,5
1556977495,6,4
1556979411,3,6
1556981320,3,9
1556983254,5,0
1556985187,5,0
1556987073,3,3
1556989002,1,2
1556990930,3,1
1556992946,8,3
1556994780,15,4
1556996719,13,5
1556998612,17,3
1557000537,19,2
1557002448,17,6
1557004371,20,3
1557006269,18,7
1557008230,15,8
1557010137,17,6
1557012029,11,7
1557013973,12,7
1557015870,12,3
1557017799,3,3
1557019753,4,6
1557021768,8,4
1557023578,1,7
1557025507,5,7
1557027400,7,5
1557029329,18,8
1557031245,159,7
1557033176,27,1
1557035070,13,6
1557037010,14,10
1557038917,22,12
1557040833,24,6
1557042768,14,64
1557044675,71,5
1557046584,15,3
1557048514,15,2
1557050552,10,3
1557052377,11,8
1557054291,13,7
1557056210,13,4
1557058145,11,4
1557060068,15,5
1557061961,11,3
1557063871,9,2
1557065813,16,1
1557067721,27,2
1557069669,10,6
1557071550,14,3
1557073480,15,3
1557075410,10,2
1557077314,14,3
1557079392,20,7
1557081384,71,13
1557083581,72,21
1557085462,33,11
1557087404,44,19
1557089302,47,18
1557091234,34,22
1557093180,34,16
1557095062,21,13
1557096988,27,19
1557098901,30,6
1557100981,17,13
1557102996,13,7
1557104931,9,1
1557106834,9,7
1557108994,1,6
1557110906,6,3
1557112857,3,3
1557114764,18,11
1557116659,13,30
1557118589,20,82
1557120522,15,28
1557122567,26,12
1557124372,16,16
1557126331,11,19
1557128183,19,14
1557130111,8,14
1557132043,14,12
1557133957,11,16
1557135864,18,4
1557137784,16,12
1557139743,20,10
1557141627,10,12
1557143551,15,12
1557145469,12,10
1557147414,23,9
1557149301,11,10
1557151381,10,7
1557153186,11,28
1557155103,7,11
1557157006,9,12
1557158925,10,8
1557160859,7,13
1557162773,15,9
1557164670,15,9
1557166599,17,35
1557168521,27,61
1557170425,14,46
1557172370,28,38
1557174261,23,45
1557176183,11,55
1557178143,4,41
1557180192,8,32
1557182173,11,17
1557184099,8,29
1557186140,41,24
1557188210,36,14
1557190420,11,7
1557192512,7,8
1557194759,7,5
1557196826,8,4
1557198755,9,1
1557200665,9,21
1557202606,6,29
1557204499,4,24
1557206429,3,17
1557208368,17,27
1557210309,15,23
1557212208,16,16
1557214132,24,20
1557216105,11,146
1557217994,149,15
1557219879,8,13
1557221797,14,16
1557223968,10,19
1557225871,9,13
1557227797,13,8
1557229718,12,12
1557231681,25,13
1557233950,9,21
1557236039,16,12
1557238021,12,11
1557239860,8,8
1557241731,8,6
1557243630,13,9
1557245557,16,6
1557247470,16,11
1557249393,12,15
1557251322,8,20
1557253228,13,17
1557255157,8,20
1557257076,7,20
1557258988,11,27
1557260906,15,21
1557262997,7,13
1557264989,9,1
1557266908,10,4
1557268823,10,13
1557270749,3,7
1557272681,8,46
1557274845,10,37
1557276750,7,8
1557278699,6,6
1557280587,11,3
1557282511,13,6
1557285413,27,6
1557287315,14,10
1557289226,8,6
1557291147,14,6
1557293109,9,8
1557294981,6,14
1557296902,14,14
1557298987,7,20
1557300979,8,16
1557302899,13,21
1557304838,11,18
1557306802,16,9
1557308653,8,11
1557310580,15,4
1557312505,14,14
1557314465,11,11
1557316370,5,12
1557318271,3,17
1557320175,1,6
1557322104,59,8
1557324113,17,17
1557325952,10,9
1557327910,5,10
1557329771,5,13
1557331951,5,10
1557333856,8,14
1557335778,10,15
1557339127,9,23
1557341080,1,13
1557343035,0,12
1557344952,4,16
1557346851,5,15
1557348800,8,12
1557350705,3,8
1557352596,4,10
1557355571,3,20
1557357413,5,10
1557359279,5,12
1557361341,4,12
1557363159,4,12
1557365112,7,12
1557367052,2,15
1557369197,3,18
1557371382,3,23
1557373277,16,18
1557375196,16,17
1557377116,12,17
1557379020,20,18
1557381176,19,20
1557383079,12,15
1557385015,12,17
1557386948,15,13
1557389045,12,15
1557390995,9,15
1557392955,12,19
1557394849,13,16
1557397017,14,20
1557398951,12,20
1557400861,4,13
1557402810,15,7
1557404679,13,2
1557406618,12,2
1557408722,11,53
1557410746,24,20
1557412603,22,6
1557414542,18,4
1557416454,19,2
1557418621,22,7
1557420516,19,8
1557422497,14,10
1557424367,13,1
1557426518,17,2
1557428554,19,2
1557430387,22,2
1557432333,22,4
1557434222,23,6
1557436155,12,6
1557438063,16,1
1557439957,17,3
1557442404,17,6
1557444299,13,4
1557446195,9,3
1557448134,13,6
1557450117,15,6
1557451958,8,4
1557454158,22,4
1557456038,18,5
1557458254,23,3
1557460177,16,12
1557462052,3,7
1557463969,8,15
1557465874,9,13
1557467804,21,14
1557469738,21,14
1557471793,27,11
1557473781,24,17
1557475737,25,13
1557477627,31,10
1557479557,18,7
1557481473,11,8
1557483423,12,8
1557485321,18,9
1557487255,15,3
1557489186,12,13
1557491098,18,10
1557493053,21,11
1557494929,20,9
1557496934,24,19
1557498763,17,21
1557500783,18,17
1557502871,21,12
1557504765,20,16
1557506665,14,16
1557508633,19,7
1557510573,12,10
1557512470,14,17
1557514350,12,12
1557516274,10,18
1557518188,15,12
1557520108,13,23
1557522076,22,16
1557524021,8,14
1557525896,14,19
1557528394,16,26
1557530223,13,18
1557532124,9,10
1557534061,8,11
1557535969,2,17
1557537918,9,10
1557539804,8,10
1557541720,9,15
1557543815,5,30
1557545783,7,20
1557547726,6,12
1557549623,10,8
1557551543,8,16
1557553471,13,8
1557555383,15,20
1557557310,2,20
1557559231,14,16
1557561172,6,27
1557563067,11,27
1557564994,7,24
1557567041,5,7
1557568990,3,11
1557570829,8,7
1557572737,6,19
1557574608,10,12
1557576522,7,10
1557578469,7,12
1557580366,7,16
1557582274,9,18
1557584206,10,20
1557586116,12,9
1557588035,6,20
1557590085,6,20
1557592107,7,20
1557594386,11,18
1557596222,6,16
1557598122,14,15
1557600283,15,25
1557602223,7,17
1557604154,11,17
1557606080,10,17
1557607958,11,25
1557609896,10,21
1557611796,7,18
1557613734,8,27
1557615790,10,22
1557617800,14,17
1557619709,12,17
1557621634,13,9
1557623813,8,17
1557625736,11,9
1557627628,7,15
1557629556,9,11
1557631493,28,9
1557633411,41,7
1557635318,48,8
1557637372,41,13
1557639379,37,12
1557641308,40,18
1557643230,44,3
1557645146,30,12
1557647094,34,7
1557649010,31,7
1557651176,7,7
1557653069,4,8
1557655020,3,2
1557656945,7,8
1557658936,6,6
1557660751,3,7
1557662726,9,5
1557664612,10,6
1557666514,8,5
1557668453,3,6
1557670361,5,10
1557672270,2,9
1557674471,3,7
1557676398,2,5
1557678302,0,4
1557680197,12,7
1557682127,8,9
1557684095,5,8
1557686010,10,7
1557687943,8,8
1557690080,9,9
1557692237,6,5
1557694133,5,10
1557696073,2,6
1557697965,5,7
1557699867,4,7
1557702981,10,12
1557704925,5,13
1557706876,3,14
1557708773,3,10
1557710684,1,12
1557712621,6,10
1557714771,5,10
1557716795,7,13
1557718619,3,15
1557720523,6,45
1557722480,5,38
1557724389,5,36
1557726280,11,37
1557728216,9,42
1557730142,6,50
1557732057,10,217
1557733960,81,226
1557735889,286,42
1557737815,10,2
1557739747,2,4
1557741759,15,5
1557743588,4,5
1557745543,3,8
1557747403,3,2
1557749329,7,15
1557751237,3,11
1557753176,6,7
1557755095,2,9
1557757024,3,6
1557758879,4,8
1557760860,7,6
1557762860,5,4
1557764689,7,4
1557766644,4,12
1557768555,8,8
1557770611,4,9
1557772613,10,9
1557774559,8,9
1557776428,3,9
1557778620,6,9
1557780511,8,5
1557782465,5,4
1557784347,13,5
1557786296,4,5
1557788215,4,9
1557790105,11,5
1557792122,7,7
1557793951,5,1
1557796140,4,3
1557798070,8,5
1557799993,6,4
1557801870,3,6
1557804076,5,8
1557805949,7,6
1557807875,8,4
1557809800,3,4
1557811743,6,8
1557813738,6,6
1557815572,4,5
1557817569,67,4
1557819654,6,8
1557821553,10,2
1557823773,9,8
1557825689,6,2
1557827575,9,4
1557829472,4,9
1557831432,11,7
1557833311,4,3
1557835302,8,8
1557837174,5,3
1557839148,4,4
1557841003,3,4
1557842938,7,5
1557845095,7,5
1557847017,13,5
1557848948,9,7
1557850853,3,8
1557852813,6,3
1557854670,6,7
1557856630,7,5
1557858535,11,6
1557860560,11,6
1557862398,6,5
1557864356,8,7
1557866245,8,3
1557868157,11,1
1557870048,5,7
1557871978,5,9
1557873909,11,0
1557875844,9,7
1557877752,13,5
1557879668,12,4
1557881609,12,4
1557883484,8,4
1557885412,10,8
1557887325,7,4
1557889403,8,10
1557891408,4,5
1557893605,10,9
1557895510,5,6
1557897441,14,9
1557899327,9,3
1557901284,5,4
1557903183,4,6
1557905120,7,36
1557906989,40,68
1557908922,7,8
1557910962,6,5
1557912981,12,5
1557915152,7,9
