DateTime,AddedIPs,RemovedIPs
1557541934,1,2
1557542655,6,10
1557543373,5,4
1557544120,5,5
1557544809,5,4
1557545537,1,4
1557546249,4,8
1557546971,7,3
1557547689,5,5
1557548410,2,1
1557549131,2,0
1557549857,3,3
1557550567,4,3
1557551320,1,6
1557552008,5,0
1557552735,4,2
1557553452,2,2
1557554170,0,2
1557554891,3,4
1557555628,5,0
1557556333,3,2
1557557055,4,4
1557557767,1,3
1557558505,2,4
1557559207,1,3
1557559936,2,4
1557560653,4,3
1557561374,5,3
1557562094,3,0
1557562837,4,6
1557563540,7,3
1557564252,2,2
1557564974,2,3
1557565692,3,2
1557566418,1,1
1557567393,4,6
1557569318,4,6
1557570007,5,6
1557570760,4,4
1557571451,4,1
1557572170,7,4
1557573145,1,4
1557573854,3,0
1557574574,7,4
1557576019,6,2
1557576730,3,0
1557577453,3,7
1557578169,3,0
1557578902,6,4
1557579613,5,0
1557580336,1,2
1557581056,2,3
1557581844,4,0
1557582492,5,3
1557583378,3,1
1557584176,7,4
1557584917,4,2
1557585611,3,0
1557586328,2,3
1557587061,1,0
1557587773,4,5
1557588496,5,0
1557589211,5,2
1557589946,8,1
1557590900,2,0
1557591608,2,7
1557592342,6,3
1557593050,1,2
1557593770,4,1
1557594738,2,2
1557595459,2,7
1557596178,0,5
1557596889,3,3
1557597620,1,3
1557598337,1,4
1557599773,0,2
1557600491,4,4
1557601217,2,5
1557601935,2,7
1557602651,1,9
1557603370,1,4
1557604098,3,2
1557604812,3,1
1557605534,3,3
1557606252,5,1
1557606972,6,3
1557607692,2,1
1557608420,2,4
1557609140,2,6
1557609866,2,6
1557610569,2,4
1557611293,5,0
1557612039,3,3
1557612732,1,9
1557613451,1,0
1557614169,5,6
1557614892,3,0
1557615637,1,2
1557616341,3,3
1557617054,7,3
1557617769,6,2
1557618492,4,4
1557619228,1,6
1557619949,1,5
1557620650,3,8
1557621382,9,2
1557622089,3,3
1557622814,1,6
1557623779,6,2
1557624486,6,3
1557625260,13,7
1557625928,8,9
1557626656,7,12
1557627371,14,6
1557628090,5,1
1557628808,4,5
1557629532,3,8
1557630254,0,9
1557630988,8,7
1557631686,4,3
1557632415,6,8
1557633130,3,4
1557633857,5,2
1557634570,4,6
1557635289,3,1
1557636010,1,4
1557636740,3,2
1557637451,0,1
1557638174,3,3
1557638887,3,1
1557639611,4,1
1557640328,1,11
1557641057,3,2
1557641771,2,1
1557642757,5,3
1557643449,3,2
1557644170,1,1
1557644912,3,12
1557645642,5,3
1557646361,2,3
1557647073,4,2
1557647795,5,1
1557649233,3,9
1557649958,3,0
1557650680,0,6
1557651367,2,0
1557652118,2,4
1557652831,4,1
1557653562,2,1
1557654272,2,0
1557654993,2,3
1557655713,5,0
1557656442,1,5
1557657132,3,0
1557657879,5,5
1557658840,4,2
1557659542,0,2
1557660260,2,2
1557660971,4,2
1557661692,2,3
1557662424,4,5
1557663135,4,4
1557663849,3,3
1557664573,2,3
1557665289,2,3
1557666039,3,0
1557666731,1,4
1557667464,3,2
1557668169,5,3
1557668894,3,4
1557669618,5,0
1557670332,3,3
1557671053,3,2
1557671768,4,3
1557672505,2,5
1557673215,5,0
1557673940,4,3
1557674653,2,1
1557675372,5,6
1557676089,2,1
1557676816,4,0
1557677531,6,6
1557678274,2,5
1557678997,5,0
1557679723,6,6
1557680438,0,1
1557681166,4,5
1557681872,2,0
1557682599,1,5
1557683289,4,0
1557684016,5,3
1557684988,1,5
1557685688,2,2
1557686412,1,6
1557687145,3,3
1557687918,3,5
1557688747,5,7
1557689563,1,2
1557690250,3,5
1557690970,5,2
1557691724,1,0
1557692407,5,4
1557693139,1,2
1557693854,4,4
1557694569,1,4
1557695315,3,1
1557696046,3,0
1557696761,1,1
1557697472,5,2
1557698194,1,5
1557698913,3,4
1557699640,2,0
1557700355,5,0
1557701075,1,7
1557703499,10,9
1557704168,4,0
1557704893,5,4
1557705615,3,6
1557706359,2,0
1557707049,4,2
1557707771,2,3
1557708740,6,9
1557709453,3,4
1557710173,8,3
1557710886,6,8
1557711638,14,7
1557712327,5,13
1557713062,5,12
1557713773,11,6
1557714737,8,4
1557715449,3,5
1557716171,9,3
1557717163,6,11
1557717848,4,0
1557718573,2,10
1557719290,1,0
1557720023,7,3
1557720733,5,3
1557721452,6,4
1557722169,3,5
1557722900,3,0
1557723629,3,3
1557724356,2,1
1557725073,1,2
1557725794,3,3
1557726517,3,3
1557727240,1,2
1557727931,5,3
1557728657,3,0
1557729639,6,4
1557730330,4,1
1557731056,0,3
1557731775,1,2
1557732494,2,1
1557733209,1,5
1557733928,4,0
1557734654,2,2
1557735372,2,2
1557736113,2,3
1557736831,3,2
1557737557,1,0
1557738276,5,3
1557738997,3,4
1557739711,2,1
1557740436,5,1
1557741155,3,1
1557741878,2,1
1557742837,0,6
1557743556,3,2
1557744281,0,1
1557744992,3,2
1557745943,3,3
1557746650,5,1
1557747372,2,1
1557748098,3,2
1557748823,2,1
1557749554,1,4
1557750275,2,4
1557750996,1,2
1557751714,8,2
1557752501,5,3
1557753145,2,3
1557753864,3,1
1557755293,4,2
1557756099,2,5
1557756741,5,2
1557757479,5,4
1557758112,1,4
1557759162,4,4
1557759886,1,3
1557760595,3,3
1557761318,4,1
1557762033,4,5
1557762824,6,2
1557764205,0,5
1557764912,9,2
1557765645,3,13
1557766355,1,1
1557767079,3,0
1557767774,3,4
1557768499,2,1
1557769234,1,7
1557769958,7,3
1557770923,0,3
1557771606,5,4
1557772338,4,0
1557773056,1,2
1557773771,1,1
1557774515,3,3
