DateTime,AddedIPs,RemovedIPs
1556581354,5,4
1556583294,6,1
1556584965,1,1
1556586345,3,1
1556588142,4,0
1556590518,2,0
1556591751,2,0
1556594145,1,2
1556594923,0,1
1556595764,0,1
1556597446,0,1
1556601279,1,0
1556604888,0,1
1556607401,1,0
1556608562,1,0
1556610051,2,1
1556612110,2,0
1556613655,2,0
1556615744,1,0
1556616934,1,0
1556625406,2,1
1556626472,4,1
1556629308,2,1
1556631655,0,1
1556633681,0,1
1556637954,1,0
1556639143,1,6
1556640645,3,2
1556643331,2,0
1556644555,1,1
1556645317,1,0
1556646151,0,1
1556647850,1,1
1556649753,0,3
1556652517,1,0
1556653351,0,1
1556656972,0,2
1556658358,0,1
1556661111,1,0
1556662489,3,0
1556664163,4,20
1556665547,0,3
1556666087,0,1
1556666919,1,0
1556668590,1,9
1556669688,0,5
1556672749,1,9
1556673288,1,0
1556675793,0,1
1556676977,1,3
1556678444,1,1
1556679923,0,1
1556684159,1,1
1556685771,0,1
1556687787,0,1
1556688940,1,1
1556692859,1,1
1556704590,0,1
1556705752,1,0
1556706528,1,0
1556708745,5,1
1556710131,15,0
1556710966,4,1
1556712870,20,2
1556713717,5,0
1556715297,7,1
1556717316,8,0
1556720154,2,0
1556721298,3,0
1556723144,3,1
1556724827,3,10
1556726131,1,0
1556727345,1,0
1556728958,1,3
1556730338,2,3
1556732132,1,0
1556734494,4,1
1556736043,1,1
1556737547,2,4
1556740474,1,0
1556741671,2,0
1556742895,1,0
1556744148,1,0
1556745344,1,2
1556747790,0,1
1556750449,0,15
1556750576,1,4
1556751951,0,2
1556753636,0,5
1556755857,0,3
1556757775,1,3
1556759135,2,0
1556761372,0,4
1556763049,2,0
1556766946,1,0
1556767728,0,2
1556769395,1,3
1556770479,0,1
1556772187,2,1
1556773559,1,0
1556776246,0,1
1556777678,0,2
1556778519,2,1
1556780116,1,1
1556781286,2,1
1556782975,1,5
1556786580,1,2
1556787717,0,5
1556789321,3,2
1556790170,1,1
1556793775,3,0
1556795159,1,1
1556795686,1,0
1556796949,2,4
1556798234,1,2
1556800130,590,0
1556804558,1,0
1556807318,1,0
1556810071,1,1
1556811341,1,9
1556813742,0,2
1556815372,0,3
1556817270,1,2
1556822553,0,1
1556829754,1,1
1556832522,1,1
1556833832,1,1
1556835290,1,3
1556836963,1,1
1556840574,1,0
1556842245,0,1
1556843564,0,1
1556848121,1,2
1556849438,4,2
1556850710,2,2
1556852761,0,1
1556854541,1,2
1556856875,1,1
1556859408,1,0
1556860486,1,0
1556862160,1,2
1556866775,0,1
1556869337,1,0
1556876138,1,0
1556878244,2,3
1556880151,0,13
1556882084,1,13
1556883205,0,6
1556884600,0,2
1556885671,0,1
1556887063,0,6
1556888605,0,1
1556890972,0,1
1556892896,1,0
1556894304,2,2
1556895596,0,1
1556897603,0,2
1556900925,0,2
1556903133,1,2
1556906203,0,2
1556907348,0,2
1556910948,0,2
1556912441,0,2
1556914256,1,2
1556916176,0,1
1556920591,1,0
