DateTime,AddedIPs,RemovedIPs
1556947688,169,74
1556948908,74,145
1556950024,83,87
1556951708,132,118
1556952143,29,53
1556952967,70,0
1556954108,74,75
1556955731,126,151
1556957363,77,81
1556958908,99,84
1556960108,80,26
1556961314,65,78
1556962931,113,120
1556963766,49,0
1556964889,68,78
1556966407,77,79
1556967916,76,103
1556969429,69,694
1556970556,61,42
1556971717,65,91
1556972048,21,0
1556973615,62,93
1556975107,73,163
1556975647,32,0
1556977206,99,161
1556979007,84,170
1556980935,86,187
1556982059,65,157
1556983207,89,0
1556984407,61,143
1556986206,113,116
1556987433,98,125
1556989250,82,146
1556990047,34,1
1556991732,74,205
1556992567,43,1
1556993708,81,66
1556995332,108,134
1556996610,70,78
1556998087,70,0
1556998927,35,116
1557000855,118,115
1557002407,112,102
1557003366,52,2
1557004507,39,95
1557006144,106,145
1557008056,124,69
1557009206,63,105
1557011107,87,99
1557011657,29,2
1557013344,107,140
1557014167,38,0
1557015247,53,68
1557016086,54,0
1557018847,148,216
1557020536,95,129
1557021367,33,1
1557022480,58,92
1557024146,97,140
1557026047,129,55
1557027739,74,178
1557028577,32,1
1557029648,40,84
1557031361,113,164
1557032169,47,0
1557033318,59,110
1557034088,43,0
1557036567,145,218
1557038108,83,100
1557039369,73,39
1557040488,49,100
1557042141,68,126
1557043308,54,69
1557044070,50,2
1557044887,44,0
1557046524,81,161
1557047666,51,115
1557048976,64,129
1557050167,67,40
1557051306,70,104
1557052493,63,132
1557054243,76,140
1557054855,44,0
1557056531,75,174
1557058447,92,96
1557059706,52,91
1557061507,92,250
1557062886,66,0
1557064676,90,373
1557065912,66,101
1557067126,64,99
1557068721,87,175
1557069247,44,1
1557070086,122,0
1557072847,254,339
1557074539,110,211
1557075368,51,0
1557076508,70,80
1557077286,32,0
1557078482,48,238
1557079251,24,103
1557080887,111,0
1557081734,39,196
1557083647,137,137
1557084820,77,135
1557086147,124,0
1557087246,66,140
1557088086,47,0
1557088928,45,113
1557089768,43,0
1557090916,62,113
1557092407,108,77
1557093655,94,118
1557094447,56,0
1557096135,116,210
1557097507,120,55
1557098887,76,0
1557100207,59,171
1557101646,84,92
1557103363,89,145
1557104167,40,0
1557105248,39,82
1557106086,39,0
1557108857,169,241
1557110537,88,173
1557111909,56,83
1557113288,74,1
1557114140,33,150
1557115808,106,86
1557117743,122,206
1557119119,76,87
1557120487,66,1
1557121338,45,177
1557123019,87,114
1557124372,75,114
1557125503,48,43
1557126848,75,44
1557127687,42,0
1557128537,64,125
1557130207,165,76
1557132136,143,170
1557132967,42,0
1557134056,70,89
1557134887,77,0
1557136567,74,145
1557137709,58,76
1557139327,109,73
1557140708,103,115
1557141907,78,1
1557142927,65,86
1557144505,95,72
1557145622,108,0
1557147907,139,220
1557149287,128,1
1557150590,88,106
1557151808,84,84
1557153023,86,126
1557154207,110,27
1557155414,94,81
1557157328,128,142
1557159256,210,78
1557160087,49,0
1557160928,57,93
1557162855,133,91
1557163687,53,0
1557164984,65,147
1557166447,99,89
1557168136,92,106
1557168967,61,2
1557170108,46,75
1557171736,148,177
1557173647,143,67
1557174487,40,1
1557175614,67,81
1557176836,97,112
1557178208,76,122
1557179408,69,0
1557180856,58,96
1557182108,71,109
1557183562,89,93
1557191995,132,415
1557200559,651,547
1557205920,294,320
1557208386,116,150
1557211030,163,1
1557212938,150,99
1557214493,107,84
1557217578,205,278
1557218816,88,0
1557220150,97,28
1557222717,208,151
1557224777,179,127
1557226143,89,254
1557228274,120,1
1557229632,96,19
1557231133,116,245
1557233223,148,121
1557235005,131,1
1557236210,99,0
1557238155,120,103
1557240172,157,131
1557241727,96,98
1557243773,98,421
1557247142,297,106
1557248921,110,202
1557250104,60,0
1557252547,168,238
1557256144,298,131
1557257737,532,0
1557259649,256,116
1557262245,203,290
1557263657,112,1
1557265334,130,231
1557267231,102,0
1557269368,93,230
1557272553,185,197
1557274165,71,54
1557275778,102,0
1557277124,107,93
1557279944,175,91
1557283116,253,117
1557286318,179,178
1557287498,111,44
1557289566,162,162
1557290821,102,80
1557292002,56,216
1557293170,75,0
1557295448,173,200
1557296772,93,1
1557298114,81,122
1557301436,215,275
1557302985,88,93
1557304545,107,1
1557307032,199,179
1557309249,554,36
1557311123,171,87
1557312344,278,304
1557315522,346,1
1557317546,124,126
1557319148,70,132
1557321342,150,160
1557322678,94,94
1557324865,153,316
1557326617,89,138
1557328192,94,95
1557330497,175,0
1557331985,105,103
1557334487,135,341
1557336598,103,2
1557338961,152,319
1557341719,156,165
1557343912,155,88
1557345312,81,152
1557346523,75,104
1557348163,98,127
1557349760,111,63
1557357329,458,278
1557366171,534,162
1557370642,201,370
1557371826,46,242
1557373094,58,0
1557374779,109,205
1557376087,96,0
1557378855,166,181
1557380149,77,0
