DateTime,AddedIPs,RemovedIPs
1557179252,87,14
1557184773,481,69
1557185614,52,14
1557186574,74,16
1557187292,65,15
1557188733,136,21
1557189454,20,17
1557190354,108,19
1557191492,39,24
1557194193,200,64
1557195453,94,23
1557196294,54,19
1557342934,3222,4256
1557344134,16,80
1557344854,7,84
1557346533,20,138
1557347252,2,72
1557347972,0,38
1557348692,8,70
1557349412,6,46
1557350612,64,108
1557351334,10,52
1557352053,6,88
1557353253,13,101
1557353973,7,76
1557356134,21,182
1557356852,4,29
1557358054,20,127
1557359193,12,70
1557360093,15,56
1557360693,7,75
1557362252,0,29256
1557362854,29112,0
1557364534,15,115
1557365493,14,77
1557366213,4,41
1557366933,5,33
1557367893,7,81
1557368613,7,65
1557369333,5,79
1557370053,9,34
1557370773,3,69
1557371734,10,87
1557372453,3,23
1557373172,9,72
1557373893,10,24
1557374613,6,41
1557375573,18,72
1557376292,8,29
1557377013,12,69
1557377733,13,5
1557378453,9,57
1557379174,11,62
1557379893,8,16
1557380613,20,81
1557381332,16,12
1557382053,9,76
1557382773,3,42
1557383972,16,100
1557384693,5,53
1557385414,8,63
1557386134,8,14
1557386853,11,65
1557387573,6,22
1557388294,6,9
1557389252,7,15
1557389973,9,13
1557390693,6,6
1557391413,7,16
1557392132,15,4
1557392852,9,9
1557393573,9,11
1557394293,11,7
1557395013,16,11
1557395733,3,6
1557396452,10,9
1557397173,6,10
1557397893,13,11
1557398612,7,11
1557399332,9,6
1557400053,6,12
1557400772,12,9
1557401973,15,13
1557402692,5,7
1557403412,9,7
1557404133,23,15
1557404852,5,11
1557405573,37,15
1557406292,8,8
1557407013,9,6
1557407733,10,18
1557408453,6,25
1557409173,11,25
1557409893,7,12
1557410613,6,9
1557411332,7,8
1557412053,2,7
1557413013,11,15
1557413732,4,12
1557414452,10,8
1557415173,9,6
1557415893,9,9
1557416613,11,9
1557417333,6,8
1557418052,9,7
1557418773,10,9
1557419493,12,7
1557420212,9,9
1557420933,12,7
1557421652,5,6
1557422373,6,4
1557423092,3,7
1557423812,61,4
1557424533,17,9
1557425253,13,10
1557425973,7,6
1557426693,7,9
1557427412,9,10
1557428132,20,12
1557428852,15,5
1557429573,10,7
1557430293,16,9
1557431012,12,12
1557431732,18,16
1557432693,16,10
1557433413,6,9
1557434133,7,2
1557434853,7,4
1557436053,8,16
1557436772,8,8
1557437493,42,54
1557438212,7,6
1557438933,7,8
1557439652,4,9
1557440373,6,11
1557443013,31,27
1557443732,6,9
1557444453,6,15
1557445172,7,5
1557445893,5,9
1557446612,2,14
1557447333,8,10
1557448054,3,6
1557448774,11,5
1557449493,9,8
1557450212,5,6
1557450933,5,7
1557451653,5,9
1557452372,11,6
1557454052,38,11
1557454773,10,7
1557455493,11,3
1557456212,17,12
1557456933,14,3
1557457652,6,5
1557458613,28,11
1557459333,15,7
1557460054,13,11
1557460772,5,7
1557461493,8,13
1557462213,7,10
1557462933,3,10
1557463653,15,16
1557464853,17,14
1557465573,11,10
1557466772,18,20
1557467492,7,18
1557468213,10,15
1557468932,12,5
1557469653,12,6
1557470373,7,9
1557471093,18,4
1557472053,15,13
1557472772,9,8
1557473493,5,11
1557474213,1,9
1557474932,9,6
1557475652,4,5
1557476373,14,7
1557477092,14,5
1557477812,15,6
1557478533,6,17
1557479253,12,10
1557479973,11,9
1557481174,70,21
1557481892,12,8
1557482613,7,7
1557483333,5,10
1557484053,5,7
1557484773,5,10
1557485492,11,6
1557486212,7,7
1557487173,7,11
1557487893,5,8
1557488613,7,12
1557489333,2,6
1557490053,11,11
1557490773,9,9
1557491492,14,7
1557492213,12,18
1557492933,4,8
1557493653,11,12
1557494373,7,6
1557495333,12,15
1557497013,635,16
1557497732,337,7
1557498453,378,4
1557499173,307,12
1557499893,285,7
1557501572,568,18
1557502292,204,10
1557521733,2787,341
1557644852,2287,5215
1557645573,7,43
1557646294,10,4
1557647012,4,49
1557647733,7,11
1557648453,5,8
1557649173,3,6
1557649892,7,43
1557652053,25,118
1557652772,6,14
1557653493,74,28
1557654213,16,60
1557654934,8,53
1557655653,3,23
1557656853,11,29
1557657573,10,32
1557659734,27,42
1557660453,14,5
1557661172,7,6
1557661893,4,4
1557662674,8,12
1557664052,14,10
1557664773,19,7
1557665493,7,12
1557666214,9,6
1557666933,6,7
1557667652,1,8
1557668372,11,1
1557669093,8,7
1557670534,13,53
1557671252,8,5
1557671972,9,12
1557672693,6,5
1557673412,8,5
1557674372,10,9
1557675093,8,8
1557676293,8,9
1557677013,9,6
1557678214,16,21
1557678934,13,9
1557679652,14,8
1557680373,12,9
1557681093,8,10
1557681814,16,26
1557683014,61,21
1557683733,4,8
1557684513,12,11
1557685172,6,9
1557685892,7,5
1557686613,12,9
1557687873,14,17
1557688714,7,10
1557690453,18,25
1557692613,18,27
1557693333,5,6
1557694053,4,6
1557695253,15,12
1557695973,8,15
1557696693,6,14
1557697412,9,8
1557698133,10,26
1557698853,10,9
1557699572,2,8
1557700293,8,4
1557701013,3,9
1557703893,31,39
1557705093,16,13
1557706774,10,20
1557707494,8,9
1557708213,8,10
1557709653,14,21
1557710373,3,6
1557712054,26,38
1557713493,14,17
1557714214,10,11
1557714934,5,13
1557715652,9,12
1557717573,19,30
1557718293,6,10
1557719493,11,17
1557720212,12,7
1557720933,6,6
1557721652,7,12
1557722373,9,7
1557724294,41,21
1557725012,4,8
1557725733,7,10
1557726452,7,7
1557727653,12,26
1557728372,6,6
1557730053,24,23
1557731973,22,29
1557732692,8,11
1557733654,6,5
1557734853,13,12
1557736053,15,10
1557736773,9,12
1557737494,8,3
1557738213,12,8
1557738932,7,6
1557739653,43,32
1557740373,5,39
1557741094,5,12
1557741813,9,6
1557742773,6,11
1557743493,13,8
1557744693,7,20
1557745413,14,6
1557746132,13,7
1557746852,8,14
1557747573,7,7
1557748293,12,5
1557749493,11,11
1557750213,8,8
1557750934,7,13
1557751654,6,15
1557753332,66,17
