DateTime,Entries,UniqueIPs
1556913629,1360,1421
1556915550,1355,1415
1556917453,1365,1423
1556919366,1359,1415
1556923489,1340,1394
1556925384,1344,1398
1556927296,1347,1403
1556929214,1342,1400
1556931151,1350,1407
1556933055,1364,1419
1556934971,1373,1429
1556936913,1359,1419
1556938839,1370,1431
1556940758,1361,1424
1556942666,1360,1422
1556944573,1353,1418
1556946521,1353,1418
1556948415,1356,1419
1556950336,1356,1419
1556952272,1354,1416
1556954176,1357,1420
1556956115,1362,1428
1556958035,1369,1430
1556959933,1350,1410
1556961853,1342,1400
1556963771,1348,1406
1556965963,1346,1404
1556967875,1339,1397
1556969774,1335,1394
1556971620,1330,1388
1556973607,1334,1392
1556975552,1328,1389
1556977448,1331,1394
1556979380,1357,1421
1556981293,1351,1420
1556983207,1345,1416
1556985163,1329,1402
1556987050,1348,1428
1556988970,1372,1452
1556990906,1368,1451
1556992839,1381,1465
1556994754,1375,1458
1556996658,1384,1463
1556998572,1383,1461
1557000511,1383,1459
1557002426,1390,1467
1557004344,1390,1468
1557008189,1395,1473
1557010091,1396,1474
1557012005,1404,1482
1557013943,1411,1488
1557017765,1403,1479
1557019710,1406,1483
1557021626,1402,1482
1557023555,1409,1488
1557025458,1399,1478
1557027371,1408,1485
1557029292,1405,1486
1557031228,1411,1490
1557033133,1422,1499
1557035052,1431,1509
1557036992,1432,1510
1557038892,1423,1502
1557040805,1420,1498
1557042745,1418,1493
1557044647,1404,1478
1557046565,1411,1485
1557048492,1408,1482
1557050442,1407,1482
1557052358,1437,1513
1557054254,1431,1508
1557056189,1414,1488
1557058102,1410,1483
1557060025,1394,1472
1557061930,1426,1504
1557063848,1429,1508
1557065791,1407,1481
1557067693,1416,1488
1557069626,1423,1494
1557071529,1454,1525
1557073451,1445,1508
1557075386,1447,1510
1557077291,1480,1545
1557079221,1492,1556
1557081156,1469,1531
1557083052,1498,1561
1557084987,1472,1534
1557086918,1471,1534
1557088830,1479,1538
1557090761,1485,1545
1557094590,1483,1542
1557098415,1464,1520
1557100330,1495,1551
1557102272,1492,1548
1557104168,1488,1545
1557106091,1515,1574
1557108041,1499,1556
1557109955,1534,1592
1557111854,1541,1596
1557114039,1513,1569
1557115935,1507,1566
1557117853,1510,1570
1557119793,1510,1570
1557121691,1509,1566
1557123631,1505,1562
1557127449,1473,1526
1557129366,1473,1527
1557131305,1482,1536
1557133217,1479,1532
1557135159,1480,1533
1557137325,1472,1525
1557139213,1468,1521
1557141158,1463,1515
1557143053,1458,1510
1557144976,1464,1515
1557146891,1482,1532
1557148831,1478,1530
1557150750,1485,1534
1557152664,1478,1524
1557154574,1473,1519
1557156513,1481,1527
1557158437,1473,1518
1557160359,1479,1524
1557162277,1474,1520
1557164192,1456,1501
1557166111,1449,1496
1557169933,1418,1463
1557171861,1412,1458
1557173774,1404,1451
1557175693,1396,1451
1557177633,1402,1456
1557179530,1426,1480
1557181475,1427,1480
1557183396,1454,1507
1557185288,1452,1506
1557187356,1456,1510
1557189498,1452,1506
1557191557,1454,1513
1557194240,1457,1516
1557196362,1422,1483
1557198250,1448,1509
1557200169,1457,1518
1557202089,1448,1507
1557204017,1430,1488
1557205936,1418,1478
1557207850,1422,1483
1557209779,1407,1469
1557211936,1417,1479
1557213849,1438,1501
1557215765,1438,1503
