DateTime,AddedIPs,RemovedIPs
1556913629,14,0
1556915550,9,17
1556917453,14,9
1556919366,11,15
1556923489,19,25
1556925384,10,14
1556927296,14,18
1556929214,9,12
1556931151,8,13
1556933055,17,13
1556934971,13,9
1556936913,11,10
1556938839,19,11
1556940758,9,7
1556942666,13,10
1556944573,10,6
1556946521,13,13
1556948415,18,17
1556950336,15,18
1556952272,9,17
1556954176,14,25
1556956115,19,21
1556958035,16,9
1556959933,8,7
1556961853,3,10
1556963771,6,5
1556965963,18,6
1556967875,16,6
1556969774,14,17
1556971620,16,15
1556973607,18,17
1556975552,13,18
1556977448,19,16
1556979380,16,21
1556981293,12,13
1556983207,12,8
1556985163,11,16
1556987050,10,12
1556988970,12,0
1556990906,12,13
1556992839,24,16
1556994754,18,0
1556996658,19,15
1556998572,16,9
1557000511,15,10
1557002426,8,9
1557004344,12,18
1557008189,11,31
1557010091,18,12
1557012005,14,13
1557013943,22,17
1557017765,25,26
1557019710,17,13
1557021626,10,10
1557023555,18,13
1557025458,12,18
1557027371,19,20
1557029292,11,13
1557031228,14,15
1557033133,20,10
1557035052,12,9
1557036992,10,14
1557038892,13,11
1557040805,15,17
1557042745,10,13
1557044647,5,15
1557046565,14,17
1557048492,2,5
1557050442,4,10
1557052358,12,7
1557054254,18,10
1557056189,12,9
1557058102,14,0
1557060025,13,16
1557061930,20,10
1557063848,13,13
1557065791,19,20
1557067693,27,0
1557069626,12,28
1557071529,20,0
1557073451,20,9
1557075386,16,25
1557077291,24,15
1557079221,25,8
1557081156,20,13
1557083052,21,15
1557084987,17,9
1557086918,24,19
1557088830,19,18
1557090761,17,20
1557094590,15,31
1557098415,16,7
1557100330,23,15
1557102272,23,0
1557104168,18,21
1557106091,18,12
1557108041,21,18
1557109955,21,12
1557111854,18,8
1557114039,19,39
1557115935,17,0
1557117853,19,18
1557119793,16,27
1557121691,19,0
1557123631,6,30
1557127449,18,22
1557129366,11,9
1557131305,8,15
1557133217,11,8
1557135159,2,10
1557137325,1,12
1557139213,12,0
1557141158,16,14
1557143053,16,0
1557144976,17,10
1557146891,21,15
1557148831,15,16
1557150750,18,13
1557152664,13,0
1557154574,24,16
1557156513,22,28
1557158437,20,0
1557160359,20,26
1557162277,21,0
1557164192,16,30
1557166111,16,20
1557169933,15,0
1557171861,11,31
1557173774,9,0
1557175693,9,20
1557177633,20,16
1557179530,15,18
1557181475,14,14
1557183396,17,19
1557185288,16,12
1557187356,24,17
1557189498,19,23
1557191557,17,14
1557194240,14,30
1557196362,22,16
1557198250,16,13
1557200169,26,18
1557202089,8,12
1557204017,8,19
1557205936,15,15
1557207850,25,4
1557209779,10,12
1557211936,17,13
1557213849,14,13
1557215765,19,14
1557217685,10,7
1557219622,8,10
1557221531,4,9
1557223462,15,16
1557225373,10,14
1557227289,12,13
1557229211,16,3
1557231141,17,13
1557233048,24,0
1557234970,16,11
1557236890,14,10
1557238824,20,11
1557240731,17,16
1557242652,25,3
1557244569,17,0
1557246488,15,11
1557248434,19,0
1557250362,17,13
1557252257,17,0
1557254170,13,15
1557256097,18,12
1557258011,12,13
1557259934,15,17
1557261852,18,12
1557263771,15,11
1557265694,15,5
1557267609,15,12
1557269535,16,9
1557271451,13,14
1557273370,13,13
1557275397,19,15
1557277231,18,0
1557279136,24,12
1557281060,15,13
1557282971,15,12
1557284892,18,10
1557286810,24,7
1557288733,21,13
1557290648,14,11
1557292570,9,11
1557294490,28,8
1557296426,19,16
1557298343,12,28
1557300251,13,0
1557302169,11,14
1557304089,11,6
1557306023,10,14
1557307938,1,15
1557310103,12,3
1557312010,11,5
1557313931,11,14
1557315850,10,10
1557317777,9,27
1557319694,18,20
1557321611,17,0
1557323533,19,16
1557325448,11,8
1557327368,7,13
1557329287,19,11
1557331253,14,17
1557333131,10,6
1557335058,15,22
1557336967,16,0
1557339400,14,24
1557343208,14,31
1557345132,14,0
1557347051,23,16
1557348969,22,7
1557350905,24,21
1557352838,27,7
1557355728,19,0
1557357643,11,11
1557359538,27,0
1557362265,25,28
1557364123,25,7
1557366012,8,19
1557367957,26,16
1557369849,18,15
1557371802,22,9
1557373694,20,14
1557375640,23,0
1557377547,12,12
1557379452,20,17
1557381389,12,12
1557383290,21,12
1557385225,22,19
1557387136,15,18
1557389321,14,8
1557391213,14,11
1557393133,8,10
1557395071,7,6
1557396980,22,19
1557398893,16,25
1557400830,11,26
1557402758,15,12
1557404654,24,14
1557406570,19,16
1557408660,19,7
1557410674,27,17
1557414511,29,28
1557416406,20,13
1557418580,28,16
1557420491,30,23
1557422443,22,16
1557424326,24,15
1557426492,25,43
1557428416,15,0
1557430353,19,23
1557432256,13,16
1557434190,14,9
1557436125,18,19
1557438013,24,13
1557439935,14,0
1557442607,26,25
1557444513,15,16
1557446433,21,0
1557448338,17,29
1557450277,15,12
1557452175,17,9
1557454122,16,19
1557456014,18,14
1557458184,19,22
1557460122,14,13
1557462023,13,18
1557463932,12,14
1557465855,10,20
1557467770,9,16
1557469711,10,19
1557471655,7,15
1557473557,12,18
1557475457,10,10
1557477378,12,23
1557479313,23,0
1557481236,4,13
1557483137,11,18
1557485057,13,0
1557487234,9,24
1557489157,10,16
1557491052,10,0
1557492993,15,33
1557494890,13,0
1557496815,15,12
1557498735,21,0
1557500685,13,20
1557502610,13,21
1557504526,17,24
1557506439,16,0
1557508334,16,0
1557510251,17,19
1557512176,14,9
1557514093,13,14
1557516024,19,10
1557517957,18,13
1557519852,20,16
1557521820,22,10
1557523691,15,15
1557525625,17,11
1557528784,13,16
1557530682,15,10
1557532597,8,12
1557534492,14,11
1557536442,20,10
1557538361,12,20
1557540267,14,15
1557542202,16,12
1557544117,19,14
1557546019,18,9
1557547949,18,11
1557549854,19,8
1557551779,11,11
1557553695,11,16
1557555624,14,12
1557557535,15,14
1557559458,10,10
1557561370,12,13
1557563294,9,15
1557565232,14,7
1557567389,8,6
1557569314,17,5
1557571236,14,15
1557573142,16,14
1557575063,13,13
1557578898,12,35
1557580701,14,11
1557582738,16,14
1557584655,15,18
1557586577,13,14
1557588493,21,14
1557590460,15,10
1557594268,15,22
1557596174,9,15
1557598097,20,21
1557600258,16,14
1557602179,16,20
1557604095,14,14
1557606026,15,16
1557607933,15,11
1557609862,12,10
1557611773,20,0
1557613695,19,11
1557615634,14,17
1557617542,18,9
1557619463,11,17
1557621378,13,0
1557625257,13,41
1557627145,12,9
1557629059,15,10
1557630977,12,11
1557632898,12,16
1557634817,22,17
1557636735,15,15
