DateTime,AddedIPs,RemovedIPs
1554726518,673,5
1554729382,692,222
1554732758,710,206
1554735872,681,377
1554739712,658,5
1554744030,651,2
1554754826,702,433
1554756992,646,5
1554769240,651,244
1554786524,709,542
1554791557,646,2
1554795875,650,4
1554798756,686,2
1554801633,710,632
1554803784,679,5
1554895460,714,1322
1554899532,675,7
1554906504,682,554
1554910576,670,284
1554913224,628,3
1554916825,652,4
1554919722,624,4
1554923796,661,602
1554925953,660,6
1554928112,680,6
1554931962,642,3
1554935081,691,2
1554976569,692,6
1554980450,653,5
1555001528,656,297
1555003228,645,2
1555006603,668,5
1555009461,666,5
1555012848,682,166
1555017858,674,160
1555021206,664,196
1555024114,663,157
1555027729,632,211
1555044976,662,762
1555066327,727,1554
1555072830,652,1482
1555076429,657,1145
1555080030,648,649
1555097554,674,2662
1555120123,760,4017
1555130658,683,5
1555221629,725,4967
1555290020,711,1341
1555307791,699,1729
1555310190,691,8
1555312329,699,5
1555314737,682,7
1555317155,697,651
1555319559,701,3
1555322922,660,1
1555326508,673,1362
1555330115,712,675
1555333708,702,649
1555336833,756,662
1555340909,688,1378
1555344048,715,7
1555347399,625,678
1555350280,660,691
1555352435,673,6
1555355073,697,5
1555357967,623,2
1555360105,714,740
1555364180,638,649
1555369739,661,7
1555371635,680,1
1555375478,648,669
1555379067,679,4
1555381225,677,9
1555383394,678,7
1555385315,604,8
1555387716,678,6
1555389875,625,9
1555392028,644,640
1555394912,629,6
1555397073,612,665
1555399123,655,1
1555401636,645,654
1555403787,610,708
1555406673,630,750
1555408840,647,748
1555411952,605,5
1555414357,637,7
1555416762,597,16
1555418927,595,8
1555432356,664,8
1555435704,676,7
1555440269,634,11
1555443161,658,5
1555447005,641,12
1555450368,633,8
1555453238,637,8
1555455857,627,4
1555459932,654,8
1555463533,632,8
1555469800,652,10
1555473158,616,6
1555475537,635,7
1555477959,606,10
1555479627,608,5
1555548498,696,7891
1555553319,671,3
1555555457,643,6
1555561707,615,11
1555564592,628,4
1555567732,639,10
1555569883,637,4
1555570821,451,5
1555572510,621,7
1555575394,628,3
1555579959,661,2
1555584507,630,670
1555587858,665,657
1555590738,626,6
1555594353,627,4
1555596761,634,8
1555600595,623,4
1555603940,624,6
1555607314,625,632
1555610460,627,645
1555613313,590,663
1555616443,649,692
1555620757,607,701
1555624357,646,672
1555628441,613,638
1555633468,643,1283
1555637798,589,9
1555660331,632,639
1555665389,657,2
1555669002,629,6
1555674027,613,679
1555677630,654,5
1555683377,654,1307
1555686768,658,673
1555693000,621,4
1555702846,644,672
1555794509,675,1401
1555795455,501,9
1555797875,630,6
1555801021,617,8
1555811300,624,6
1555817291,658,8
1555822594,641,3
1555836272,672,677
1555847050,641,7
1555850436,595,6
1555854040,666,4
1555856918,616,4
1555863636,601,4
1555890763,611,6
1555932018,674,5744
1555965374,503,5319
1555965868,236,1912
1555976696,652,1901
1555980261,611,5
1555984346,655,1267
1555990358,682,1916
1555994194,671,665
1555998749,654,1280
1556001626,686,632
1556005229,651,1261
1556008123,690,637
1556010746,605,606
1556013388,654,618
1556016268,651,645
1556019976,669,1267
1556022763,684,613
1556026119,601,613
1556028999,655,4
1556031888,682,7
1556034774,638,4
1556036925,645,2
1556040494,646,661
1556043134,634,663
1556046735,643,637
1556049881,662,665
1556052039,653,611
1556059740,642,1271
1556063071,641,657
1556065958,623,651
1556069298,600,652
1556072906,592,3
1556076508,624,651
1556079139,600,630
1556083240,615,1258
1556087307,635,680
1556089939,610,2
1556097157,624,5
1556099311,610,4
1556101705,625,3
1556104585,622,3
1556107699,673,6
1556111074,658,4
1556114690,733,5
1556117540,679,6
1556120675,685,4
1556123563,737,3
1556126451,634,8
1556129318,664,7
1556132201,675,6
1556135534,635,5
1556137957,648,2
1556142030,674,3
1556155957,665,614
1556156894,448,4
1556160279,637,1241
1556163868,595,0
1556166751,666,601
1556170355,661,613
1556180918,672,2872
1556184767,649,655
1556187882,685,4
1556190760,649,621
1556192924,657,651
1556196041,676,641
1556198428,681,5
1556202768,690,1263
1556206363,694,647
1556209244,626,631
1556213174,630,641
1556217383,732,628
1556224599,731,1257
1556231942,651,1261
1556234671,647,622
1556239478,619,648
1556252436,611,623
1556253406,560,8
1556256742,633,5
1556261555,626,4
1556264669,652,6
1556270426,645,1295
1556274040,650,633
1556277400,643,4
1556280978,692,635
1556284352,691,668
1556287957,677,1
1556292027,736,1319
1556295631,685,9
1556299697,605,638
1556309806,656,674
1556361165,643,7
1556452345,672,5555
1556455236,683,7
1556459549,658,1269
1556463391,659,650
1556468425,650,7
1556476568,672,626
1556479935,685,7
1556484764,652,4
1556488587,633,6
1556496510,641,631
1556501565,649,8
1556515210,647,6
1556519557,693,1
1556523153,675,6
1556526251,638,4
1556529392,751,5
1556532989,717,2
1556537553,667,593
1556541154,657,9
1556544996,781,6
1556547873,671,2
1556550735,727,7
1556559861,770,12
1556567548,695,6
1556571639,681,662
1556574734,650,4
1556584567,706,613
1556587945,673,606
1556592765,629,633
1556595375,660,647
1556599231,636,634
1556603050,640,5
1556620380,707,3680
1556637618,753,3751
1556651071,958,2463
1556655903,683,1289
1556660914,713,619
1556690188,656,4793
1556694512,669,625
1556753290,703,11050
1556763636,732,1107
1556777312,664,2613
1556781636,703,6
1556785960,751,661
1556791241,689,660
1556796280,702,1335
1556803960,676,2049
1556808735,768,692
1556811867,757,742
1556817153,651,640
