DateTime,AddedIPs,RemovedIPs
1554694109,379,0
1554695055,333,0
1554699400,315,0
1554709963,311,0
1554718595,310,344
1554721244,322,0
1554724121,294,0
1554726518,304,0
1554729382,283,0
1554732758,309,0
1554735872,253,0
1554739712,250,279
1554744030,275,0
1554754826,308,0
1554756992,253,0
1554769240,263,0
1554786524,278,757
1554791557,223,0
1554795875,213,0
1554798756,259,230
1554801633,296,0
1554803784,288,0
1554895460,292,5426
1554899532,411,0
1554906504,374,0
1554910576,326,0
1554913224,303,0
1554916825,294,0
1554919722,278,0
1554923796,259,0
1554925953,318,0
1554928112,274,0
1554931962,274,0
1554935081,269,0
1554976569,295,0
1554980450,282,0
1555001528,276,1280
1555003228,266,270
1555006603,272,245
1555009461,284,0
1555012848,292,533
1555017858,266,283
1555021206,274,285
1555024114,243,304
1555027729,255,0
1555044976,264,0
1555066327,284,276
1555072830,248,266
1555076429,247,0
1555080030,247,0
1555097554,255,1048
1555120123,300,1407
1555130658,310,0
1555221629,334,2677
1555290020,443,0
1555307791,378,0
1555310190,342,382
1555312329,341,0
1555314737,313,0
1555317155,331,0
1555319559,306,0
1555322922,297,0
1555326508,263,0
1555330115,351,0
1555333708,290,0
1555336833,343,0
1555340909,294,0
1555344048,290,0
1555347399,240,0
1555350280,241,0
1555352435,244,0
1555355073,267,0
1555357967,206,0
1555360105,264,0
1555364180,205,0
1555369739,234,0
1555371635,251,0
1555375478,193,0
1555379067,262,219
1555381225,233,0
1555383394,228,0
1555385315,164,0
1555387716,231,0
1555389875,187,0
1555392028,196,0
1555394912,209,206
1555397073,181,196
1555399123,228,220
1555401636,221,210
1555403787,199,249
1555406673,207,249
1555408840,199,0
1555411952,183,230
1555414357,212,198
1555416762,163,240
1555418927,158,0
1555432356,204,1016
1555435704,230,150
1555440269,185,391
1555443161,216,254
1555447005,221,428
1555450368,218,0
1555453238,222,194
1555455857,194,0
1555459932,217,428
1555463533,205,176
1555469800,220,672
1555473158,194,172
1555475537,217,225
1555477959,188,190
1555479627,184,208
1555548498,212,4788
1555553319,301,278
1555555457,275,0
1555561707,274,565
1555564592,270,589
1555567732,304,294
1555569883,293,0
1555570821,318,0
1555572510,263,0
1555575394,250,0
1555579959,275,0
1555584507,254,0
1555587858,262,0
1555590738,260,0
1555594353,234,0
1555596761,238,0
1555600595,240,0
1555603940,223,0
1555607314,213,0
1555610460,225,0
1555613313,193,0
1555616443,206,0
1555620757,198,0
1555624357,211,0
1555628441,199,0
