DateTime,AddedIPs,RemovedIPs
1557350905,21,10
1557351902,134,0
1557352838,22,15
1557355728,165,11
1557357643,11,9
1557359102,137,0
1557359538,78,111
1557362265,19,22
1557362702,129,3326
1557363365,37,0
1557364123,24,15
1557366012,12,11
1557366302,213,0
1557367454,30,33
1557367957,29,18
1557368409,500,3876
1557368670,264,2874
1557369849,22,12
1557369902,153,0
1557370837,780,0
1557371802,17,13
1557373694,164,20
1557375640,21,12
1557377075,821,779
1557377547,197,18
1557379452,20,9
1557380668,837,0
1557380701,195,0
1557381389,12,21
1557383290,24,16
1557384253,867,0
1557384302,187,0
1557385225,24,11
1557387136,15,15
1557387902,167,0
1557388352,807,0
1557389321,12,11
1557391213,15,10
1557391502,192,0
1557392198,811,0
1557393133,6,14
1557395071,8,3
1557395102,180,0
1557396980,19,14
1557397233,775,774
1557398893,170,12
1557400830,12,15
1557402261,781,0
1557402758,223,13
1557404654,19,15
1557405902,186,0
1557406570,17,15
1557408687,880,11
1557409502,219,0
1557410674,24,18
1557412580,796,0
1557413102,198,0
1557414511,21,21
1557415953,766,0
1557416406,17,22
1557416702,213,0
1557418580,26,21
1557419565,724,0
1557420491,240,7
1557422443,14,13
1557423158,753,0
1557423902,192,0
1557424326,19,13
1557426034,707,0
1557426492,16,11
1557427502,180,0
1557428416,10,0
1557429632,715,0
1557430353,16,10
1557431102,139,0
1557432256,14,8
1557432769,773,0
1557434190,12,12
1557434701,110,0
1557435646,755,0
1557436125,18,15
1557438013,21,16
1557438302,135,0
1557438989,769,0
1557439935,14,15
1557442616,865,14
1557444252,52,0
1557444513,13,10
1557445502,173,0
1557445950,714,0
1557446433,18,20
1557448338,13,0
1557449102,154,3754
1557450279,764,12
1557451929,41,80
1557452175,14,18
1557452702,144,0
1557453647,742,0
1557454122,14,10
1557455764,29,63
1557456014,18,19
1557456301,133,0
1557457710,731,1439
1557458184,13,19
1557460122,187,35
1557462023,11,0
1557463710,981,751
1557463932,10,19
1557465855,10,33
1557467102,175,0
1557467770,14,0
1557468284,708,737
1557469711,8,35
1557470702,167,0
1557471655,2,21
1557472330,683,785
1557473557,12,12
1557474302,168,0
1557475457,4,0
1557477378,12,9
1557477879,719,736
1557477902,173,0
1557479313,15,12
1557481236,3,7
1557481502,155,0
1557482681,778,742
1557483137,9,9
1557485057,17,15
1557485101,146,0
1557486741,711,725
1557487234,5,21
1557488702,184,0
1557489157,7,0
1557491052,11,14
1557491574,722,714
1557492302,144,0
1557492993,10,39
1557494907,780,0
1557495902,111,0
1557496815,11,16
1557498735,13,22
1557499235,721,1504
1557499502,148,0
1557500685,15,0
1557502849,751,729
1557503102,147,0
1557504526,13,18
1557506439,14,25
1557506702,198,0
1557507619,674,651
1557508334,9,24
1557510251,16,11
1557510302,152,0
1557511220,697,709
1557512176,13,17
1557514093,176,11
1557515539,749,669
1557516024,16,9
1557517502,291,0
1557517957,16,19
1557519852,15,14
1557521300,919,1470
1557521820,14,13
1557523691,10,16
1557524702,123,0
1557525131,755,762
1557525625,15,21
1557528784,163,16
1557530183,707,1408
1557530682,16,27
1557531902,133,0
1557532597,51,118
1557533536,738,684
1557534492,12,14
1557535502,107,4111
1557536442,56,17
1557538377,710,778
1557539101,177,0
1557540267,39,16
1557542202,15,19
1557542894,842,782
1557544117,25,14
1557546019,16,18
1557546302,131,0
1557546978,675,749
1557547949,18,15
1557549864,785,12
1557549902,140,0
1557551779,10,13
1557553695,167,8
1557553930,709,806
1557555624,19,11
1557557102,154,0
1557557535,11,9
1557558018,712,709
1557559458,10,4
1557560702,144,0
1557561370,16,12
1557562101,724,701
1557563294,9,7
1557564302,271,0
1557565232,12,6
1557566426,671,720
1557567389,9,18
1557569314,204,4
1557570015,779,749
1557571236,14,5
1557572402,149,0
1557573142,12,15
1557574581,759,699
1557575063,14,4
1557576002,167,0
1557578648,704,711
1557578898,13,13
1557579602,227,0
1557580701,16,10
1557582738,15,13
1557583390,694,762
1557584655,161,15
1557586577,11,14
1557587067,794,695
1557588493,23,14
1557590460,10,8
1557593777,813,751
1557594268,167,21
1557596174,8,10
1557596896,688,682
1557597602,116,0
1557598097,10,13
1557599780,674,682
1557600258,17,9
1557601202,108,0
1557602179,12,10
1557602436,760,743
1557604095,15,16
1557604802,117,0
1557605541,652,0
1557606026,14,15
1557607933,10,14
1557608427,737,759
1557609862,121,19
1557611773,16,10
1557612046,692,768
1557613695,115,15
1557614899,748,0
1557615634,15,24
1557617287,810,691
1557617542,63,15
1557619463,122,3710
1557619957,670,716
1557621378,12,10
1557622802,107,0
1557623307,731,0
1557625257,14,22
1557626421,750,686
1557627145,158,146
1557629059,20,9
1557630977,15,23
1557632422,653,697
1557632898,9,11
1557634817,212,17
1557636747,726,1439
1557638656,16,5
1557642248,908,726
1557642754,17,26
1557643502,263,0
