DateTime,AddedIPs,RemovedIPs
1556830833,0,1
1556832037,0,62
1556832619,413,394
1556834413,129,101
1556835618,4,256
1556837421,1,0
1556839229,1,1
1556841170,1,6
1556842877,4,1
1556843426,253,254
1556850013,5,0
1556852157,1,2
1556854294,1033,1038
1556858126,5,1
1556859925,1,0
1556863095,0,3
1556864423,3,0
1556864821,658,650
1556871664,4,0
1556874327,1,2
1556875221,0,15
1556875621,574,568
1556878821,3,0
1556879723,4,0
1556882389,0,766
1556882907,2,0
1556884229,1,1
1556886013,3,0
1556886627,349,341
1556889674,0,1
1556893221,5,1
1556895275,3,2
1556897419,601,587
1556900417,7,0
1556902566,88,77
1556905812,1,0
1556906367,1,1
1556907624,5,0
1556908021,363,373
1556911227,1,0
1556914818,2,0
1556917391,0,2
1556918424,0,26
1556918821,393,399
1556922614,102,118
1556923327,3,0
1556928110,1,2
1556929222,4,0
1556929621,661,679
1556932527,0,256
1556936435,2,0
1556939177,3,1
1556940027,1,0
1556940629,883,882
1556943672,4,1
1556950841,1,0
1556951429,589,596
1556953546,1,0
1556958032,2,0
1556961623,0,22
1556962021,573,590
1556965226,4,0
1556971201,2,4
1556972426,1,1
1556972821,467,467
1556976629,1,3
1556979623,3,0
1556982229,1,1
1556983829,380,388
1556984139,1,0
1556985932,1,0
1556986828,8,1
1556986967,255,0
1556990413,139,134
1556993297,2,1
1556994014,2,0
1556994421,339,341
1556995823,1,0
1556998543,1,0
1556999434,2,0
1557000339,1,0
1557001218,4,0
1557004274,5,2
1557005054,9,9
1557005225,0,34
1557005404,211,208
1557008571,1,500
1557010813,75,103
1557015068,8,0
1557015326,3,2
1557015631,1,0
1557016227,297,302
1557019707,3,3
1557022836,4,0
1557026431,0,1
1557027028,902,902
1557030038,3,1
1557034337,1,1
1557036344,2,0
1557037364,5,2
1557037828,653,669
1557039949,1,0
1557042650,1,0
1557044450,2,0
1557048098,1,16
1557048629,479,487
1557049855,1,0
1557051649,2,0
1557053446,5,0
1557058058,2,3
1557059429,305,303
1557062223,1,2
1557063632,147,142
1557064250,1,0
1557066049,2,1
1557069081,9,4
1557069671,253,0
1557070219,464,464
1557073820,2,0
1557080122,5,1
1557080431,3,0
1557081023,492,487
1557084026,16,0
1557085834,2,0
1557087634,4,0
1557091020,1,3
1557091219,0,17
1557091621,261,260
1557094834,2,0
1557099013,95,127
1557101356,1,1
1557102035,2,0
1557102421,378,375
1557108352,1,0
1557109237,1,0
1557111650,2,0
1557113221,1071,1063
1557116437,3,1
1557122610,0,3
1557123628,4,0
1557124230,689,688
1557130832,4,0
1557134687,0,21
1557134821,593,591
1557138934,1,0
1557143441,15,0
1557144796,1,2
1557145234,2,0
1557145454,7,0
1557145621,508,519
1557149176,1,4
1557151929,151,169
1557152446,10,0
1557155730,5,2
1557156692,465,474
1557159742,6,0
1557166570,2,3
1557166829,5,0
1557167422,438,428
1557168321,0,512
1557169222,246,0
1557174033,4,0
1557174622,505,0
1557177323,2,3
1557178223,443,447
1557181236,1,0
1557182122,1,0
1557183934,1,0
1557185831,789,91
1557187111,2,0
1557188752,2,1
1557189138,385,374
1557196355,3,1
1557197908,2,0
1557199829,991,1018
1557202827,4,0
1557208350,1,2
1557210027,4,0
1557210629,660,663
1557217232,3,1
1557219210,1,0
1557220964,0,17
1557221221,615,594
1557224439,1,0
1557226246,8,0
1557229699,2,1
1557231646,1,0
1557232229,468,448
1557232811,4,4
1557235845,1,1
1557238868,2,0
1557240257,78,88
1557240442,0,1
1557242236,252,0
1557242821,404,414
1557246044,4,1
1557250224,0,1
1557253241,2,0
1557253821,446,428
1557260438,8,1
1557261333,1,1
1557264037,0,25
1557264625,430,420
1557267636,1,0
1557269532,1,1
1557272374,1,2
1557273765,3156,125
1557274844,1,0
1557275221,367,376
1557282038,2,0
1557283831,0,2
1557286285,1006,1002
1557289235,2,1
1557292924,1,1
1557296433,4,0
1557296821,653,653
1557303634,3,3
1557305426,1,0
1557307886,566,574
1557310829,1,0
1557313456,1,1
1557314574,0,2
1557316236,11,0
1557318630,482,468
1557318935,3,0
1557320170,6,4
1557321861,1,1
1557325233,3,0
1557325829,2,2
1557328091,315,346
1557329420,477,491
1557330319,0,256
1557332632,4,1
1557336656,0,2
1557339637,3,0
1557340223,495,484
1557346842,6,1
1557347171,0,254
1557347732,4,0
1557350441,0,22
1557351024,468,463
1557355526,3,0
1557359224,4,1
1557361814,1400,121
1557362129,443,435
1557364126,1,0
1557368435,2,1
1557370312,1,0
1557372628,988,1004
1557375627,3,0
1557381377,0,5
1557382837,2,0
1557383427,660,655
1557390043,6,0
1557392583,0,1
1557393624,0,15
1557394021,518,512
1557397575,4,0
1557399037,7,0
1557402632,2,0
1557403529,2,4
1557404509,4,0
1557405028,483,478
1557406222,1,0
1557407137,2,0
1557407794,4,0
1557408257,1,4
1557411632,1,0
1557413439,1,0
1557414496,0,1
1557415889,412,407
1557416173,82,67
1557418834,2,0
1557418872,0,508
1557425444,2,3
1557426435,4,0
1557426688,373,375
1557429323,255,0
1557431436,2,0
1557433230,3,0
1557435929,1,0
1557436465,1,0
1557437423,367,388
1557440431,6,0
1557442312,0,229
1557447326,1,229
1557447623,5,0
1557448228,350,344
1557450013,95,93
1557451451,0,8
1557454826,1,0
1557457263,0,3
1557459028,925,927
1557460229,2,0
1557462087,1,1
