DateTime,AddedIPs,RemovedIPs
1557376923,1,0
1557378123,6,0
1557379323,17,0
1557379923,3,0
1557380522,8,0
1557381123,5,0
1557381722,3,0
1557382322,1,0
1557384123,3,0
1557385323,17,0
1557385922,7,0
1557386523,2,0
1557387723,1,0
1557388923,17,0
1557389525,9,0
1557390125,2,0
1557391323,4,1
1557391922,8,0
1557392523,3,0
1557393724,3,0
1557394924,3,0
1557396123,1,0
1557396531,1662,468
1557397322,2,0
1557397922,33,0
1557398523,1,0
1557399723,2,0
1557400324,2,0
1557400923,4,0
1557401523,2,0
1557402122,4,0
1557403322,2,0
1557404522,1,0
1557405123,3,0
1557405723,5,1
1557406323,1,0
1557406923,2,0
1557408123,10,1
1557408723,4,0
1557409323,4,0
1557410523,1,0
1557411723,19,0
1557412923,2,0
1557414123,17,0
1557417122,5,1
1557417722,2,0
1557418922,3,0
1557419523,3,0
1557420123,1,0
1557421322,1,0
1557421922,2,0
1557422523,6,0
1557423723,1,0
1557424923,5,0
1557426123,2,0
1557427322,6,0
1557427923,1,0
1557428523,2,0
1557429722,2,0
1557430323,9,0
1557430922,1,0
1557432123,15,0
1557433322,2,0
1557433923,1,0
1557434522,3,0
1557435723,1,0
1557436923,4,1
1557438122,2,0
1557438723,3,0
1557439323,7,0
1557440522,17,0
1557442922,2,0
1557444723,1,0
1557446524,10,0
1557447722,6,0
1557448323,1,0
1557448922,6,0
1557451323,4,0
1557453723,2,0
1557454924,13,0
1557455522,1,0
1557456123,1,0
1557457323,8,0
1557459723,3,0
1557462122,4,0
1557463323,2,0
1557465124,3,0
1557466323,8,0
1557466923,2,0
1557468122,2,0
1557469322,2,0
1557470523,4,0
1557474723,21,0
1557476523,3,0
1557477723,2,0
1557478323,2,0
1557478923,2,0
1557480722,2,0
1557481323,12,0
1557481922,1,0
1557482523,1,0
1557483630,1176,593
1557483723,2,1
1557484923,5,0
1557486122,1,0
1557487323,2,0
1557487922,1,0
1557490323,1,0
1557494522,2,0
1557495722,4,1
1557497524,9,0
1557498122,1,0
1557499923,1,0
1557500524,1,0
1557501123,20,0
1557501723,76,0
1557502922,9,0
1557505323,4,0
1557506523,10,0
1557508922,1,0
1557509522,11,0
1557510123,1,0
1557511323,3,0
1557512523,7,0
1557513723,5,1
1557514322,1,0
1557514923,19,0
1557515524,2,0
1557516123,5,0
1557516723,2,0
1557517923,13,0
1557518523,1,0
1557519123,1,0
1557519723,2,0
1557520922,2,0
1557521523,4,0
1557523323,11,0
1557524522,3,0
1557525846,193,44
1557528723,18,0
1557529923,5,0
1557530522,2,0
1557531722,1,0
1557532923,1,0
1557534123,3,0
1557535324,4,0
1557536523,1,0
1557537123,1,0
1557537722,1,0
1557539523,6,0
1557541923,22,1
1557542523,18,0
1557543723,1,0
1557544323,10,0
1557544922,1,0
1557545522,2,0
1557547322,1,0
1557547923,1,0
1557548523,6,0
1557552123,2,1
1557552722,13,0
1557553322,1,0
1557554523,3,0
1557555723,1,0
1557556922,2,0
1557557522,1,0
1557558123,25,0
1557559324,1,0
1557560523,3,0
1557561723,8,1
1557562323,1,0
1557562923,28,0
1557564123,1,0
1557564722,5,0
1557565323,3,0
1557566522,4,0
1557568925,1,0
1557569522,9,0
1557570122,2,0
1557570753,896,300
1557571322,1,0
1557572523,4,1
1557573722,6,0
1557577923,4,0
1557578523,1,0
1557579722,3,0
1557580923,6,0
1557581523,1,0
1557583323,1,0
1557585723,11,0
1557586923,4,0
1557587523,2,0
1557588122,2,0
1557588723,1,0
1557589322,1,0
1557590523,2,0
1557591723,8,0
1557592323,3,0
1557593522,2,0
1557595322,1,0
1557596523,10,0
1557597124,2,0
1557597722,7,0
1557598923,2,0
1557599522,2,0
1557600122,3,0
1557601322,2,0
1557601923,2,0
1557602523,1,1
1557603123,2,0
1557604322,0,1
1557604923,2,0
1557605523,1,0
1557607323,1,0
1557609722,1,0
1557610923,28,0
1557612124,1,0
1557613323,19,0
1557614523,3,0
1557615722,6,0
1557619924,2,0
1557620523,1,1
1557621722,3,0
1557625322,2,0
1557626522,29,0
1557628324,1,0
1557628923,2,0
1557629522,2,0
1557630122,2,0
1557632522,2,0
1557633723,3,0
1557634323,2,0
1557634923,1,0
1557638523,1,0
1557639722,1,0
1557640923,2,0
1557642124,5,0
1557643323,1,0
1557644523,1,0
1557645723,0,1
1557646922,1,0
1557648123,2,0
1557649323,2,0
1557650523,1,0
1557651122,2,0
1557651724,3,0
1557652923,1,0
1557654122,27,0
1557655323,5,0
1557656523,1,0
1557657874,672,736
1557658322,1,0
1557658922,1,0
1557661323,1,0
1557662523,1,0
1557664923,2,0
1557666123,1,0
1557667322,8,0
1557668522,1,0
1557669723,1,0
1557670923,19,0
1557671523,11,0
1557672122,17,0
1557672722,13,0
1557673323,14,0
1557673922,12,0
1557674522,33,0
1557675722,9,1
1557676322,2,0
1557679322,2,0
1557681723,8,0
1557682323,3,0
1557684123,3,0
1557684723,3,0
1557685323,1,0
1557686522,7,0
1557687722,3,0
1557688323,5,0
1557688922,5,0
1557689523,1,0
1557690123,4,0
1557691323,1,0
1557691922,1,0
1557692523,3,0
1557693723,1,0
1557694922,1,0
1557695523,1,0
1557696122,2,0
1557696722,3,0
1557697323,1,0
1557697922,1,0
1557698525,2,0
1557700922,2,0
1557701522,9,0
1557703455,1,0
1557704522,1,0
1557706922,1,0
1557707522,3,0
1557708722,1,0
1557712923,1,0
1557714124,2,0
1557715322,6,0
1557716524,2,0
1557717123,1,0
1557717722,2,0
1557718923,2,0
1557722523,7,0
1557723123,3,0
1557723723,1,0
1557724923,11,0
1557725523,3,0
1557726123,1,0
1557727322,16,0
1557728522,2,0
1557729123,2,0
1557729722,4,0
1557730322,2,0
1557730924,4,0
1557731523,1,0
1557733322,4,0
1557734523,2,0
1557735123,1,0
1557735723,2,0
1557736322,2,0
1557736923,3,0
1557738123,3,0
1557739323,1,0
1557739923,3,0
1557740522,1,0
1557741723,3,0
1557742923,1,0
1557744122,12,0
1557744987,1249,198
1557745322,6,0
1557746522,3,0
1557747123,1,0
1557748323,3,0
1557748922,1,0
1557750123,2,0
1557753723,17,0
1557754322,1,0
1557756123,1,0
1557756722,6,0
1557757923,19,0
1557758522,1,0
1557759723,2,0
1557760323,4,0
1557760923,3,0
1557762723,24,0
1557764522,1,0
1557765122,1,0
1557765723,1,0
1557767523,1,0
1557768124,5,0
1557770523,1,0
1557771123,1,0
1557772323,17,0
1557772922,1,0
1557774123,1,0
1557774723,3,0
1557775322,4,0
1557777122,3,0
1557777723,2,0
1557778323,3,0
1557778922,1,0
1557779522,1,0
1557780122,2,0
1557780722,1,0
1557781922,1,0
1557782523,8,0
1557783724,5,0
1557784322,1,0
1557784923,3,0
1557785522,2,0
1557786123,1,0
1557786722,1,0
1557787323,2,0
1557788523,6,0
1557789723,3,0
1557790922,3,0
1557793323,2,0
1557794523,5,0
1557795123,6,0
1557796923,1,0
1557798122,2,0
1557799922,3,0
1557800524,1,0
1557801723,3,1
1557802324,4,0
1557802923,3,0
1557803523,1,0
1557805322,2,0
1557806524,1,0
1557808923,0,1
1557810122,3,2
1557811322,1,0
1557812522,0,1
1557813723,2,0
1557814922,7,0
1557816123,1,0
1557817323,2,1
1557819123,2,0
1557819723,3,0
1557820923,1,0
1557821523,2,0
1557822722,8,0
1557823323,2,0
1557823923,4,0
1557824524,1,0
1557826322,2,0
1557826922,3,0
1557829322,4,0
1557831123,1,0
1557831722,3,0
1557832133,890,163
1557832923,1,0
1557834123,5,0
1557835323,1,0
1557836522,2,1
1557837723,2,0
1557838923,1,0
1557840123,1,0
1557840723,3,0
1557841323,1,0
1557841922,2,0
1557843723,1,0
1557844923,24,0
1557846123,17,0
1557847323,5,0
1557847923,4,1
1557848523,7,0
1557849123,7,0
1557849722,1,0
1557850923,7,0
1557851522,2,0
1557852123,2,0
1557854523,5,0
1557855723,16,1
1557856323,4,0
1557856923,5,0
1557859323,5,0
1557860523,10,0
1557861122,1,0
1557861722,1,0
1557862323,4,0
1557862922,6,0
1557863522,23,0
1557864123,2,0
1557865324,2,0
1557866522,3,0
1557867722,2,1
1557868923,9,0
1557869523,1,0
1557870122,2,0
1557871322,21,0
1557871923,2,0
1557873722,2,0
1557876122,1,0
1557877322,1,0
1557877922,1,0
1557878524,12,0
1557879723,3,0
1557880923,46,1
1557882123,15,0
1557883322,6,0
1557883922,1,0
1557885122,1,0
1557885723,2,0
1557886922,1,0
1557887523,7,0
1557888723,1,0
1557889322,2,0
1557889925,3,0
1557891122,2,0
1557892322,4,0
1557892923,7,0
1557894122,1,0
1557894723,5,0
1557895323,5,0
1557895923,4,0
1557896523,2,0
1557897723,1,0
1557898323,9,0
1557898922,3,0
1557899523,3,0
1557900123,4,0
1557900723,5,0
1557901923,1,0
1557903723,1,0
1557904922,3,0
1557906123,2,0
1557907322,2,0
1557907923,1,0
1557908523,5,0
1557909723,5,0
1557910924,16,1
1557912123,5,0
1557913322,10,0
1557914524,3,0
1557915723,6,0
