DateTime,AddedIPs,RemovedIPs
1556944573,30,39
1556946520,24,27
1556948414,15,20
1556950336,16,30
1556952271,36,38
1556954175,36,52
1556956114,29,32
1556958035,29,35
1556959932,15,10
1556961852,17,18
1556963770,16,22
1556965962,18,1329
1556967874,565,0
1556969773,58,24
1556971619,46,24
1556973606,43,22
1556975550,50,24
1556977447,24,27
1556979379,20,18
1556981291,22,16
1556983206,23,22
1556985161,20,25
1556987048,19,19
1556988968,24,23
1556990904,19,19
1556992837,36,20
1556994752,36,18
1556996656,29,26
1556998570,30,34
1557000509,24,19
1557002424,37,28
1557004342,42,21
1557006245,17,14
1557008187,28,58
1557010091,16,43
1557012005,508,0
1557013943,24,21
1557015847,29,20
1557017765,27,21
1557019709,42,16
1557021625,45,27
1557023554,34,13
1557025457,31,19
1557027370,29,18
1557029292,22,20
1557031227,23,22
1557033132,25,13
1557035051,14,17
1557036991,34,27
1557038890,22,15
1557040804,17,27
1557042744,20,19
1557044646,20,23
1557046564,19,24
1557048491,18,18
1557050440,14,1211
1557052357,36,26
1557054253,510,0
1557056187,49,23
1557058100,40,17
1557060023,35,17
1557061928,20,15
1557063846,50,15
1557065789,39,12
1557067691,31,12
1557069625,43,19
1557071527,21,12
1557073448,38,19
1557075384,38,22
1557077289,30,16
1557079219,30,18
1557081154,20,31
1557083049,27,30
1557084985,17,45
1557086915,25,27
1557088827,45,23
1557090758,27,19
1557092650,33,13
1557094588,27,15
1557096495,13,29
1557098415,430,0
1557100330,26,22
1557102271,28,14
1557104167,34,13
1557106090,20,15
1557108041,22,6
1557109955,15,12
1557111854,14,10
1557114039,35,19
1557115934,37,12
1557117852,38,22
1557119792,56,16
1557121690,35,13
1557123630,41,30
1557125559,29,30
1557127449,40,37
1557129365,35,28
1557131303,52,27
1557133216,44,18
1557135157,28,15
1557137324,38,1283
1557139212,59,49
1557141157,657,0
1557143052,42,21
1557144974,50,27
1557146890,45,25
1557148829,50,42
1557150748,54,47
1557152662,37,26
1557154573,64,52
1557156511,36,20
1557158435,44,26
1557160357,32,17
1557162275,39,21
1557164190,42,23
1557166109,41,26
1557168035,50,26
1557169931,33,20
1557171859,33,17
1557173772,39,23
1557175690,32,14
1557177631,14,29
1557179528,24,16
