DateTime,AddedIPs,RemovedIPs
1557463531,872,1230
1557464423,937,1350
1557465325,922,939
1557466223,835,879
1557467129,856,966
1557468025,933,828
1557468924,990,703
1557469824,1042,969
1557470724,919,895
1557471625,922,832
1557472523,1087,938
1557473426,1009,963
1557474324,997,1041
1557475216,977,1221
1557476126,1198,1212
1557477027,1087,1197
1557477928,958,1257
1557478824,1050,1297
1557479729,1372,1216
1557480629,1232,1294
1557481516,1242,1331
1557482419,1181,859
1557483321,1408,983
1557484221,1821,1204
1557485118,1708,1258
1557486024,1612,1079
1557486922,1488,1394
1557487820,1500,1253
1557488717,1422,1286
1557489622,1419,1469
1557490527,1300,1433
1557491416,1378,1456
1557492320,1337,1128
1557493218,1248,867
1557494129,1298,1130
1557495020,1288,1707
1557495924,1176,1701
1557496823,1206,1263
1557497724,1197,1232
1557498624,1147,1246
1557499521,1071,1383
1557500426,1152,1396
1557501326,1228,901
1557502223,1231,925
1557503126,1165,840
1557504029,1142,1276
1557504919,1037,1181
1557505816,1083,1295
1557506723,1073,1531
1557507620,1034,1434
1557508520,993,1249
1557509427,1040,1134
1557510318,1105,1133
1557511219,1067,1330
1557512122,1076,1295
1557513016,963,1050
1557513923,996,1114
1557514822,957,941
1557515730,917,1154
1557516621,1038,832
1557517518,912,830
1557518418,927,670
1557519320,793,672
1557520215,702,598
1557521121,622,634
1557522020,704,776
1557522921,745,1029
1557523818,637,1101
1557524718,679,1076
1557525623,677,1112
1557526522,772,796
1557528319,1666,1543
1557529218,947,850
1557530123,850,625
1557531018,788,519
1557531916,922,565
1557532817,860,598
1557533716,937,767
1557534619,946,785
1557535521,1030,956
1557536421,922,848
1557537322,790,792
1557538214,878,963
1557539121,839,992
1557540021,797,980
1557540962,780,666
1557541817,962,1080
1557542721,764,832
1557543623,808,1097
1557544519,663,787
1557545420,689,798
1557546318,725,830
1557547219,835,711
1557548117,773,837
1557549014,877,839
1557549918,727,742
1557550816,757,816
1557551717,664,597
1557552617,725,679
1557553516,663,679
1557554413,748,734
1557555316,596,828
1557556213,660,813
1557557116,916,972
1557558017,802,811
1557558914,656,778
1557559816,661,789
1557560719,578,586
1557561612,522,749
1557562520,606,680
1557563416,689,801
1557564315,896,1116
1557565216,695,674
1557566117,645,609
1557567022,796,700
1557568820,1473,1284
1557569715,646,498
1557570614,861,720
1557571513,727,655
1557572421,812,600
1557573318,902,628
1557574216,867,577
1557575118,837,772
1557576018,766,552
1557576914,928,539
1557577812,889,616
1557578715,912,819
1557579612,955,674
1557580513,796,826
1557581413,827,928
1557582313,854,969
1557583218,1022,849
1557584116,903,819
1557585012,821,953
1557585916,839,999
1557586814,841,1101
1557587715,868,1063
1557588616,917,894
1557589521,920,1051
1557590415,863,1094
1557591321,818,880
1557592221,829,819
1557593115,870,757
1557594019,730,916
1557594920,902,823
1557595824,835,926
1557596713,852,762
1557597615,799,670
1557598515,733,887
1557599414,716,737
1557600322,746,830
1557601220,814,681
1557602115,847,529
1557603012,806,724
1557603914,734,644
1557604816,861,807
1557605712,701,656
1557606613,706,573
1557607518,792,761
1557608415,876,630
1557609316,924,579
1557610212,835,738
1557611114,778,850
1557612014,792,785
1557612915,706,623
1557613813,652,816
1557614712,826,816
1557615620,723,665
1557616516,724,650
1557617413,856,859
1557618313,775,955
1557619211,738,885
1557620113,715,772
1557621018,881,900
1557621913,752,847
1557622814,798,770
1557623719,847,879
1557624616,799,799
1557625511,753,907
1557626419,747,836
1557627351,756,676
1557628213,783,857
1557629115,769,730
1557630014,731,752
1557630914,767,689
1557631816,774,730
1557632715,837,762
1557633613,757,880
1557634513,788,814
1557635418,777,1040
1557636312,724,796
1557637215,872,860
1557638116,793,860
1557639012,799,969
1557639911,757,763
1557640814,674,858
1557641712,749,714
1557642614,742,752
1557643513,708,725
1557644413,848,699
1557645312,692,851
1557646212,862,803
1557647114,1049,731
1557648014,856,866
1557648914,755,878
1557649813,772,747
1557650715,664,677
1557651612,748,794
1557652513,778,646
1557653413,834,667
1557654312,759,815
1557655213,815,1081
1557656114,846,878
1557657015,848,607
1557657917,762,734
1557658814,741,744
1557659713,666,860
1557660613,713,870
1557661512,949,931
1557662412,868,782
1557663314,749,780
1557664215,794,969
1557665113,664,870
1557666016,818,750
1557666914,691,807
1557667815,631,682
1557668719,698,874
1557669613,711,915
1557670516,720,772
1557671415,737,961
1557672313,678,678
1557673214,771,707
1557674115,739,683
1557675014,866,632
1557675916,789,646
1557676813,771,557
1557677714,815,777
1557678614,806,504
1557679513,746,491
1557680413,1059,717
1557681316,1068,901
1557682214,1066,831
1557683114,1081,825
1557684015,1043,809
1557684920,1103,867
1557685813,1082,1065
1557686713,1029,941
1557687619,964,952
1557688515,1098,927
1557689415,1367,1218
1557690313,1105,1138
1557691217,970,1070
1557692117,954,927
1557693013,956,977
1557693912,876,803
1557694815,966,977
1557695715,968,976
1557696618,926,1058
1557697516,974,980
1557698412,891,893
1557699314,896,1144
1557700212,816,1257
1557701114,883,1007
1557702914,1738,1682
1557703812,889,844
1557704716,839,1021
1557705615,834,927
1557706516,798,888
1557707417,922,1039
1557708317,821,731
1557709214,886,834
1557710113,846,1093
1557711018,783,1044
1557711917,835,829
1557712813,774,784
1557713754,694,666
1557714615,750,968
1557715515,721,632
1557716413,803,768
1557717314,691,987
1557718217,661,799
1557719116,708,724
1557720013,739,787
1557720919,774,924
1557721813,715,881
1557722714,772,749
1557723615,712,865
1557724513,708,807
1557725417,795,601
1557726312,740,722
1557727214,833,816
1557728113,815,814
1557729016,834,767
1557729912,746,806
1557730812,842,644
1557731714,770,664
1557732616,914,672
1557733515,708,757
1557734414,1886,869
1557735314,1182,984
1557736214,844,872
1557737112,757,663
1557738014,792,738
1557738915,795,635
1557739812,729,873
1557740716,708,856
1557741614,805,1104
1557742512,647,1413
1557743413,779,906
1557744314,697,759
1557745214,733,639
1557746114,642,752
1557747014,718,838
1557747914,701,620
1557748814,646,650
1557749712,592,676
1557750611,735,691
1557751514,626,562
1557752415,769,581
1557753313,646,648
1557754213,701,672
1557755117,544,669
1557756014,526,541
1557756914,553,675
1557757813,555,691
1557758715,626,556
1557759613,573,558
1557760515,644,637
1557761412,638,669
1557762313,592,718
1557763213,726,658
1557764113,600,655
1557765014,675,668
1557765912,613,807
1557766813,769,756
1557767713,591,876
1557768614,602,712
1557769513,566,829
1557770414,561,814
1557771314,565,803
1557772213,670,672
1557773111,608,611
1557774013,600,504
1557774913,614,777
1557775813,575,580
1557776712,357,651
1557777614,381,564
1557778513,1713,725
1557779415,2507,1165
1557780314,1995,780
1557781219,1522,764
1557782115,1230,594
1557783018,1060,422
1557783913,989,1174
1557784812,878,1369
1557785714,827,1619
1557786612,966,1733
1557787516,1144,1347
1557788412,1193,1145
1557789313,1115,883
1557790214,1137,872
1557791114,996,1125
1557792012,1108,816
1557792913,1012,808
1557793814,938,965
1557794713,1036,1017
