DateTime,Entries,UniqueIPs
1557463531,7277,7277
1557464423,6864,6864
1557465325,6847,6847
1557466223,6803,6803
1557467129,6693,6693
1557468025,6798,6798
1557468924,7085,7085
1557469824,7158,7158
1557470724,7182,7182
1557471625,7272,7272
1557472523,7421,7421
1557473426,7467,7467
1557474324,7423,7423
1557475216,7179,7179
1557476126,7165,7165
1557477027,7055,7055
1557477928,6756,6756
1557478824,6509,6509
1557479729,6665,6665
1557480629,6603,6603
1557481516,6514,6514
1557482419,6836,6836
1557483321,7261,7261
1557484221,7878,7878
1557485118,8328,8328
1557486024,8861,8861
1557486922,8955,8955
1557487820,9202,9202
1557488717,9338,9338
1557489622,9288,9288
1557490527,9155,9155
1557491416,9077,9077
1557492320,9286,9286
1557493218,9667,9667
1557494129,9835,9835
1557495020,9416,9416
1557495924,8891,8891
1557496823,8834,8834
1557497724,8799,8799
1557498624,8700,8700
1557499521,8388,8388
1557500426,8144,8144
1557501326,8471,8471
1557502223,8777,8777
1557503126,9102,9102
1557504029,8968,8968
1557504919,8824,8824
1557505816,8612,8612
1557506723,8154,8154
1557507620,7754,7754
1557508520,7498,7498
1557509427,7404,7404
1557510318,7376,7376
1557511219,7113,7113
1557512122,6894,6894
1557513016,6807,6807
1557513923,6689,6689
1557514822,6705,6705
1557515730,6468,6468
1557516621,6674,6674
1557517518,6756,6756
1557518418,7013,7013
1557519320,7134,7134
1557520215,7238,7238
1557521121,7226,7226
1557522020,7154,7154
1557522921,6870,6870
1557523818,6406,6406
1557524718,6009,6009
1557525623,5574,5574
1557526522,5550,5550
1557528319,5673,5673
1557529218,5770,5770
1557530123,5995,5995
1557531018,6264,6264
1557531916,6621,6621
1557532817,6883,6883
1557533716,7053,7053
1557534619,7214,7214
1557535521,7288,7288
1557536421,7362,7362
1557537322,7360,7360
1557538214,7275,7275
1557539121,7122,7122
1557540021,6939,6939
1557540962,7053,7053
1557541817,6935,6935
1557542721,6867,6867
1557543623,6578,6578
1557544519,6454,6454
1557545420,6345,6345
1557546318,6240,6240
1557547219,6364,6364
1557548117,6300,6300
1557549014,6338,6338
1557549918,6323,6323
1557550816,6264,6264
1557551717,6331,6331
1557552617,6377,6377
1557553516,6361,6361
1557554413,6375,6375
1557555316,6143,6143
