DateTime,AddedIPs,RemovedIPs
1557204244,9,7
1557204873,8,7
1557205224,5,9
1557205572,10,4
1557205928,4,5
1557206406,5,7
1557206884,7,5
1557207364,6,9
1557207844,8,7
1557208326,10,9
1557208811,6,8
1557209289,11,12
1557209766,8,9
1557210247,16,13
1557210729,11,9
1557211205,11,9
1557211928,9,9
1557212424,10,10
1557212886,6,5
1557213369,8,11
1557213844,9,7
1557214324,7,7
1557214805,5,8
1557215525,6,7
1557216019,13,9
1557216486,5,4
1557216966,4,7
1557217445,8,6
1557217927,3,0
1557218884,1,1
1557219847,1,1
1557231363,0,1
1557231848,1,0
1557260885,1,1
1557262324,1,1
1557277686,3,12
1557278165,11,12
1557278645,10,5
1557279126,6,8
1557279605,10,9
1557280088,9,8
1557280565,7,12
1557281047,10,8
1557281524,13,11
1557282007,7,5
1557282485,6,5
1557282965,4,8
1557283445,10,9
1557283929,13,9
1557284409,8,8
1557284885,8,7
1557285364,5,9
1557285845,11,13
1557286325,9,7
1557286805,10,7
1557287287,6,7
1557287765,7,9
1557288489,10,6
1557288965,6,9
1557289444,7,6
1557289925,9,6
1557290404,6,10
1557290884,11,7
1557291365,5,7
1557291845,9,7
1557292325,7,6
1557292807,6,8
1557293285,9,6
1557293765,6,5
1557294247,5,8
1557294725,11,5
1557295221,3,8
1557295686,8,13
1557296165,13,11
1557296645,14,16
1557297125,10,5
1557297609,4,9
1557298085,7,5
1557298564,7,7
1557299288,9,9
1557299765,5,7
1557300245,8,7
1557300724,5,9
1557301206,9,6
1557301684,7,6
1557302167,7,9
1557302645,8,8
1557303127,5,8
1557303605,8,5
1557304086,4,0
1557305048,1,1
1557306487,1,1
1557323528,1,1
1557324024,1,1
1557334811,0,1
1557335286,1,0
1557363626,1,1
1557364087,3,10
1557364564,7,5
1557365045,5,8
1557365527,8,11
1557366005,14,6
1557366486,7,12
1557366966,11,8
1557367449,9,7
1557367925,7,7
1557368405,12,11
1557369127,9,8
1557369605,5,6
1557370084,8,8
1557370565,9,9
1557371290,7,5
1557371767,6,6
1557372245,4,6
1557372728,9,8
1557373205,6,6
1557373685,9,11
1557374166,9,9
1557374645,9,9
1557375127,11,10
1557375608,8,5
1557376085,5,6
1557376564,5,7
1557377047,8,9
1557377528,10,6
1557378010,5,7
1557378486,12,9
1557378967,7,8
1557379446,9,7
1557379926,6,5
1557380404,7,8
1557381130,7,4
1557381622,5,12
1557382085,11,9
1557382565,9,10
1557383045,13,11
1557383525,7,5
1557384004,7,10
1557384728,9,7
1557385216,9,10
1557385686,10,7
1557386164,13,14
1557386645,9,5
1557387125,4,5
1557387605,4,6
1557388084,10,11
1557388888,11,8
1557389288,6,4
1557389765,4,4
1557390245,6,5
1557390729,4,0
1557450245,0,5
1557450728,8,8
1557451204,8,8
1557451685,8,10
1557452166,8,7
1557452646,14,11
1557453127,6,8
1557453617,10,13
1557454090,9,4
1557454570,5,7
1557455044,5,7
1557455525,8,9
1557456007,10,9
1557456485,9,12
1557456965,14,9
1557457444,7,6
1557458166,7,11
1557458648,8,8
1557459125,8,10
1557459605,10,7
1557460085,7,7
1557460569,5,9
1557461045,10,11
1557461525,13,9
1557462005,6,5
1557462487,5,8
1557462964,8,10
1557463445,9,6
1557463925,7,7
1557464425,8,6
1557464887,5,7
1557465365,6,10
1557465847,5,5
1557466339,5,7
1557466805,7,4
1557467285,3,7
1557467765,10,12
1557468245,11,4
1557468727,9,10
1557469204,7,7
1557469688,9,9
1557470166,7,5
1557470644,4,8
1557471125,9,9
1557471615,8,8
1557472089,9,9
1557472566,8,9
1557473047,9,5
1557473527,5,6
1557474007,6,5
1557474484,7,8
1557474965,7,7
1557475445,7,7
1557475927,6,4
1557476405,7,8
1557476888,6,1
1557512166,0,1
1557512646,1,0
1557536885,2,9
1557537364,7,6
1557537844,9,11
1557538329,11,9
1557538804,9,8
1557539285,13,7
1557539765,4,12
1557540251,13,7
1557540724,8,14
1557541206,11,9
1557541684,8,7
1557542166,10,5
1557542646,3,6
1557543124,6,5
1557543609,7,9
1557544090,7,5
1557544565,5,7
1557545046,8,12
1557545524,12,10
1557546011,8,5
1557546484,6,7
1557546967,5,8
1557547448,8,6
1557547929,7,6
1557548405,4,5
1557548887,5,14
1557549365,15,5
1557549847,5,5
1557550326,4,7
1557550816,8,5
1557551289,5,7
1557551767,8,7
1557552245,5,6
1557552724,6,6
1557553205,7,9
1557553686,10,9
1557554166,14,6
1557554643,4,2
1557555125,10,16
1557555609,11,9
1557556085,9,7
1557556565,7,9
1557557048,10,11
1557557528,11,11
1557558013,9,4
1557558490,6,12
1557558964,11,7
1557559447,4,8
1557559925,8,8
1557560406,9,5
1557560884,6,7
1557561366,5,8
1557561679,8,4
1557562086,3,5
1557562566,4,7
1557563044,7,2
1557563524,1,0
1557564005,0,1
1557599284,1,1
1557600247,1,1
1557623288,4,10
1557623765,8,7
1557624246,7,8
1557624725,10,12
1557625208,11,9
1557625685,9,10
1557626166,8,6
1557626645,8,7
1557627132,5,7
1557627604,6,8
1557628085,10,10
1557628565,9,6
1557629048,8,12
1557629525,11,5
1557630024,5,10
1557630494,11,6
1557630966,7,9
1557631445,9,8
1557631924,7,9
1557632408,10,10
1557632887,10,5
1557633367,6,5
1557633845,5,10
1557634326,13,9
1557634807,7,5
1557635285,6,8
1557635765,8,6
1557636247,4,10
1557636728,10,5
1557637217,6,6
1557637686,4,5
1557638165,5,8
1557638647,8,6
1557639126,6,9
1557639604,8,7
1557640085,7,8
1557640569,7,4
1557641047,4,6
1557641526,5,10
1557642004,11,8
1557642728,9,10
1557643204,9,7
1557643685,5,4
1557644166,5,7
1557644648,8,6
1557645125,7,9
1557645605,7,6
1557646084,5,4
1557646809,4,6
1557647284,4,6
1557647766,7,8
1557648248,9,8
1557648729,5,5
1557649204,5,5
1557649685,5,0
1557650164,1,0
1557650646,1,0
1557709687,2,9
1557710165,9,4
1557710646,3,8
1557711127,9,8
1557711608,7,8
1557712085,7,6
1557712565,13,15
1557713047,11,9
1557713525,12,7
1557714005,4,4
1557714725,5,9
1557715204,9,4
1557715685,8,6
1557716165,8,8
1557716646,7,6
1557717129,7,7
1557717608,4,6
1557718084,10,12
1557718566,10,8
1557719046,10,9
1557719527,4,9
1557720015,9,7
1557720489,9,7
1557720966,3,5
1557721444,6,8
1557721924,7,6
1557722405,7,12
1557722887,10,7
1557723367,10,9
1557723847,11,8
1557724325,8,8
1557724806,7,7
1557725285,8,10
1557725764,10,6
1557726245,7,5
1557726726,7,9
1557727220,5,7
1557727685,5,7
1557728165,10,10
1557728645,5,9
1557729128,9,10
1557729606,6,8
1557730084,10,6
1557730567,8,9
1557731045,9,10
1557731528,10,8
1557732004,8,7
1557732486,5,7
1557732966,9,7
1557733686,5,5
1557734166,7,9
1557734645,8,8
1557735124,9,5
1557735606,6,6
1557736085,4,1
1557736568,1,0
1557787925,0,1
1557788415,1,0
1557796087,3,10
1557796565,9,10
1557797047,7,8
1557797526,10,8
1557798006,6,9
1557798484,12,15
1557798965,13,14
1557799445,10,6
1557799927,10,12
1557800405,9,8
1557800887,6,5
1557801365,5,9
1557801846,12,12
1557802323,10,10
1557802812,8,9
1557803286,7,5
1557804012,11,11
1557804486,9,8
1557804964,10,9
1557805445,5,4
