DateTime,AddedIPs,RemovedIPs
1557502922,54,85
1557503524,34,39
1557504124,31,47
1557505323,51,89
1557506523,41,44
1557507723,38,80
1557508922,42,77
1557509522,55,0
1557510123,40,52
1557511323,43,44
1557512523,47,0
1557513723,47,40
1557514322,49,45
1557514923,65,76
1557515524,43,0
1557516123,41,0
1557517323,35,129
1557517923,49,0
1557518523,41,0
1557519723,41,79
1557520322,52,40
1557520922,39,0
1557521523,49,82
1557522123,45,0
1557523323,42,37
1557524522,51,106
1557525723,37,0
1557528723,70,161
1557529324,42,46
1557529923,53,38
1557530522,38,0
1557531122,39,81
1557531722,37,0
1557532923,49,127
1557534123,41,0
1557535324,48,134
1557536523,36,0
1557537123,32,40
1557537722,41,46
1557538923,35,0
1557539523,37,45
1557540123,36,0
1557541322,51,86
1557541923,68,45
1557542523,70,45
1557543723,50,93
1557544323,65,0
1557544922,45,35
1557545522,39,51
1557546122,40,54
1557547322,48,44
1557547923,47,0
1557548523,40,0
1557549723,34,127
1557550923,50,49
1557552123,43,100
1557552722,51,48
1557553322,37,44
1557553923,46,44
1557554523,46,0
1557555723,40,134
1557556922,46,80
1557557522,45,0
1557558123,76,36
1557559324,47,0
1557560523,44,94
1557561723,52,58
1557562323,40,89
1557562923,60,45
1557563522,42,0
1557564123,37,0
1557564722,43,55
1557565323,45,82
1557566522,40,103
1557567123,37,42
1557568925,52,139
1557569522,43,0
1557570122,45,55
1557571322,40,0
1557572523,48,76
1557573722,41,0
1557574322,48,86
1557574923,36,54
1557575523,44,0
1557576124,46,33
1557576722,34,0
1557577322,48,49
1557577923,55,0
1557578523,51,41
1557579722,34,29
1557580323,39,73
1557580923,49,44
1557581523,43,44
1557582123,42,0
1557583323,42,124
1557584523,33,107
1557585723,67,0
1557586923,44,95
1557587523,44,37
1557588122,41,113
1557588723,60,0
1557589322,46,0
1557590523,36,78
1557591123,47,33
1557591723,50,0
1557592323,44,33
1557592923,45,48
1557593522,47,0
1557594122,47,0
1557595322,46,41
1557596523,49,116
1557597124,38,0
1557597722,38,0
1557598923,52,40
1557599522,47,39
1557600122,38,42
1557600723,44,43
1557601322,47,0
1557601923,52,108
1557602523,45,38
1557603123,41,0
1557603723,42,0
1557604322,30,56
1557604923,38,95
1557605523,47,0
1557606122,41,0
1557607323,39,124
1557608523,37,93
1557609124,40,0
1557609722,32,45
1557610923,51,0
1557611523,57,43
1557612124,33,40
1557612723,49,0
