DateTime,AddedIPs,RemovedIPs
1557348123,0,8
1557349322,2,12
1557350522,1,2
1557351722,2,2
1557352922,21,6
1557355322,8,7
1557357723,0,6
1557358922,1,25
1557360125,2,6
1557361922,5,2
1557363123,0,2
1557363723,1,3
1557364923,2,3
1557366123,1,3
1557366722,1,3
1557368522,1,1
1557369722,14,0
1557370923,3,4
1557371523,6,0
1557372122,9,0
1557373322,5,1
1557374523,3,0
1557375722,0,1
1557376922,1,9
1557378123,6,0
1557379322,5,4
1557380522,2,1
1557381722,6,3
1557382322,1,2
1557382922,1,2
1557384123,3,2
1557385323,3,0
1557385922,1,4
1557386523,3,6
1557387723,2,0
1557388923,10,6
1557389524,1,0
1557390125,2,0
1557391323,3,5
1557392523,2,2
1557393723,3,0
1557394923,0,5
1557396122,2,1
1557396723,1,8
1557397322,1,1
1557398522,1,2
1557400923,1,5
1557402122,4,0
1557403322,2,0
1557404522,0,3
1557405723,2,3
1557406923,5,0
1557408122,12,4
1557408723,0,4
1557409323,3,1
1557410523,1,3
1557411723,3,0
1557412922,3,2
1557414123,4,0
1557415322,0,10
1557417122,3,2
1557417722,0,1
1557419523,1,0
1557420122,0,2
1557422523,8,4
1557423722,3,2
1557424922,2,4
1557427322,7,4
1557429722,3,8
1557430323,8,0
1557432123,8,5
1557433322,0,4
1557434522,1,2
1557435722,0,3
1557436322,0,3
1557436923,5,2
1557438122,0,1
1557438723,4,7
1557439323,0,2
1557442322,2,4
1557442922,0,1
1557445322,0,6
1557446524,25,0
1557447722,8,6
1557448922,6,0
1557450123,1,0
1557451323,2,2
1557452523,0,7
1557454924,3,1
1557455522,2,3
1557456123,2,4
1557457323,9,0
1557457922,2,2
1557458523,1,5
1557459723,4,0
1557460322,1,2
1557462122,0,2
1557463323,5,0
1557464522,1,4
1557465722,2,5
1557466322,17,0
1557466923,1,0
1557468122,4,5
1557468723,3,0
1557470523,2,2
1557471723,2,0
1557472922,0,2
1557474122,0,4
1557474722,0,5
1557476523,3,2
1557477723,1,2
1557478922,3,0
1557480122,2,0
1557480722,1,3
1557481322,2,0
1557482522,1,2
1557483723,1,2
1557484322,0,2
1557484922,1,0
1557486722,1,0
1557488522,0,3
1557490323,2,0
1557492123,1,0
1557492723,1,4
1557493322,2,0
1557494522,2,4
1557495122,1,6
1557495722,3,6
1557496323,1,0
1557496923,2,0
1557498122,1,2
1557499325,2,2
1557499923,1,0
1557500524,2,0
1557501722,76,0
1557502922,4,20
1557504123,0,2
1557505323,6,5
1557506523,18,3
1557510123,0,2
1557511323,1,0
1557512522,7,8
1557513723,7,20
1557514922,3,8
1557516122,5,0
1557516723,2,0
1557517322,0,4
1557518523,0,3
1557519123,8,0
1557519723,8,0
1557520922,2,0
1557521522,0,1
1557523323,15,11
1557524522,6,4
1557525723,3,1
1557528722,4,11
1557529323,0,4
1557530522,1,1
1557531722,1,7
1557532923,4,0
1557534123,0,3
1557535323,2,8
1557536523,1,0
1557537722,2,3
1557538923,1,1
1557540123,0,2
1557541922,24,2
1557542523,4,6
1557543123,1,0
1557543723,2,4
1557544323,2,0
1557544922,0,3
1557546122,1,3
1557547322,1,6
1557547923,0,2
1557549722,0,2
1557551523,0,5
1557552123,4,15
1557553322,2,0
1557554523,3,6
1557558123,0,4
1557559323,0,1
1557560522,7,7
1557561723,30,0
1557562322,3,6
1557562923,2,2
1557564122,3,0
1557565323,1,5
1557566522,0,1
1557568924,2,2
1557569522,4,0
1557570122,3,1
1557571322,3,0
1557572522,0,5
1557574922,2,0
1557576123,3,0
1557576722,1,0
1557577322,0,2
1557579722,1,12
1557580922,1,0
1557581522,2,0
1557582122,1,0
1557585722,1,1
1557586922,4,4
1557588122,3,0
1557588722,1,0
1557589322,2,5
1557590523,2,1
1557591722,15,1
1557592322,4,1
1557592922,1,0
1557594122,0,1
1557595322,2,0
1557596523,11,3
1557597123,1,3
1557597722,3,4
1557598324,0,3
1557599522,0,4
1557600122,7,6
1557601322,2,0
1557601922,2,1
1557602523,0,15
1557603723,1,0
1557604922,6,8
1557605523,1,0
1557606122,1,0
1557607322,0,2
1557609124,1,0
1557609722,0,3
1557610922,27,3
1557612123,6,0
1557613322,7,12
1557614522,3,3
1557615722,0,2
1557616922,0,2
1557618122,0,1
1557619924,1,5
1557620523,3,19
1557621722,1,22
1557622923,0,1
1557623522,0,1
1557625322,0,1
1557626522,0,2
1557628324,2,1
1557628923,2,1
1557629522,11,0
1557630122,2,0
1557630723,2,2
1557631322,0,4
1557632522,4,0
1557633723,1,0
1557636122,0,3
1557637322,2,0
1557638523,3,2
1557639722,6,0
1557640922,0,5
1557642124,4,0
1557644523,1,1
1557645723,4,1
1557646922,0,1
1557648123,1,3
1557648723,0,4
1557649322,3,1
1557650523,1,6
1557651723,3,0
1557652923,2,3
1557654122,1,0
1557655322,2,2
1557656523,1,0
1557657723,1,8
1557658322,2,0
1557658922,0,4
1557661322,0,1
1557662522,3,4
1557664322,0,3
1557664923,0,4
1557666123,5,0
1557667322,9,5
1557669723,1,0
1557670922,2,0
1557673323,1,0
1557674522,14,7
1557675722,6,19
1557676322,6,0
1557678122,1,2
1557679322,1,2
1557680523,1,2
1557681123,1,4
1557681723,6,0
1557682323,6,14
1557682923,0,1
1557684123,5,0
1557684723,4,3
1557685323,0,3
1557686522,13,0
1557687122,1,1
1557687722,3,1
1557688323,7,0
1557688922,6,0
1557690123,7,0
1557690722,1,0
1557691322,2,0
1557691922,2,0
1557692523,1,0
1557693722,1,0
1557694322,0,1
1557694922,2,0
1557695523,1,1
1557696122,2,0
1557697323,3,0
1557698524,3,0
1557699723,2,1
1557703322,1,4
1557704522,1,0
1557705724,1,0
1557706922,1,0
1557707522,2,0
1557708722,1,1
1557711722,0,2
1557712922,0,3
1557714124,4,0
1557715322,8,0
1557716523,4,1
1557717123,2,0
1557717722,2,0
1557718923,3,0
1557722523,1,0
1557723123,5,4
1557723723,1,6
1557724923,34,0
1557725522,2,0
1557726123,1,2
1557727923,1,0
1557728522,2,0
1557729123,1,0
1557730924,1,0
1557731522,1,5
1557732122,1,0
1557732723,0,1
1557733322,0,8
1557734523,1,1
1557735723,9,0
1557736322,1,0
1557736923,4,0
1557738122,7,7
1557739323,6,2
1557739923,1,0
1557740522,1,0
1557741723,4,0
1557744122,1,0
1557745322,1,0
1557748323,2,0
1557750122,0,1
1557752522,0,3
1557753722,16,0
1557754922,1,0
1557756123,3,0
1557756722,3,0
1557758522,2,0
1557759723,4,4
1557760322,4,16
1557762122,2,12
1557762722,25,0
1557763322,1,0
1557764522,2,8
1557765722,2,3
1557766923,2,1
1557768123,1,0
1557769323,1,2
1557770523,0,2
1557771722,1,5
1557772922,10,0
1557774123,4,3
1557774723,4,0
1557775322,2,0
1557776523,0,12
1557777722,2,0
1557778323,2,0
1557778922,1,0
1557781323,0,12
1557782523,12,3
1557783724,6,12
1557784322,7,0
1557784922,6,6
1557785522,1,0
1557786122,1,0
1557786722,3,7
1557787323,3,3
1557788523,5,0
1557789722,2,4
1557790922,2,0
1557792124,2,1
1557793322,3,0
1557794523,6,0
1557795722,2,1
1557796923,1,0
1557799922,3,0
1557801723,3,3
1557802324,16,0
1557802922,2,0
1557805322,1,0
1557805922,1,0
1557807122,0,2
1557807722,0,1
1557808923,1,1
1557810122,4,2
1557811322,1,0
1557812522,5,1
1557813723,1,1
1557814922,3,5
1557816122,1,4
1557817323,5,18
1557817922,1,0
1557819723,0,10
1557820923,0,13
1557822123,7,0
1557823323,2,2
1557823922,3,0
1557824523,2,2
1557825722,3,0
1557826922,1,3
1557828123,0,3
1557829322,2,2
1557829922,0,5
1557830522,0,4
1557831722,1,0
1557832922,2,6
1557834123,1,0
1557836522,0,3
1557837723,1,0
1557838923,1,6
1557840122,3,19
1557841322,1,5
1557842522,3,0
1557846123,3,0
1557847323,6,7
1557848523,1,5
1557849123,8,0
1557850322,0,3
1557850923,4,2
1557851522,3,0
1557852122,1,1
1557852722,1,0
1557854523,3,8
1557855723,5,7
1557856922,3,0
1557858122,0,2
1557859323,7,0
1557860523,7,22
1557861122,2,0
1557861722,2,3
1557862922,6,2
1557864122,2,3
1557865323,1,0
1557866522,3,0
1557867722,0,1
1557868923,9,0
1557870122,2,0
1557871322,8,16
1557872522,0,2
1557873123,4,0
1557873722,1,11
1557876122,2,4
1557877322,1,0
1557878524,24,2
1557879723,4,0
1557880922,46,12
1557882123,15,0
1557883322,6,3
1557886922,2,1
1557887523,6,0
1557888122,2,0
1557889322,2,1
1557889925,1,6
1557890522,2,4
1557891122,2,3
1557891722,0,3
1557892922,0,1
1557895323,3,2
1557895923,4,0
1557896522,1,0
1557897723,1,0
1557898323,27,2
1557898922,1,0
1557899522,1,7
1557900122,4,0
1557900723,1,10
1557901323,1,0
1557901923,1,0
1557903723,3,0
1557904922,10,0
1557906123,2,0
1557907322,2,17
1557908523,11,0
1557909723,4,2
1557910322,2,0
1557910923,1,1
1557912123,4,1
1557914523,2,9
1557915722,1,4
