DateTime,AddedIPs,RemovedIPs
1555581799,0,1
1555585398,22,1
1555588939,3,3
1555592598,2,2
1555596199,0,1
1555599739,0,1
1555603400,1,1
1555606939,0,1
1555614199,6,6
1555617799,3,0
1555621399,4,0
1555624939,6,1
1555628599,1,0
1555639340,1,1
1555643000,1,2
1555646599,5,5
1555650199,2,2
1555653800,4,6
1555657399,3,1
1555660999,1,0
1555664540,0,1
1555668199,2,1
1555675399,4,4
1555679002,3,1
1555682543,1,1
1555686199,1,2
1555689739,1,1
1555693341,3,3
1555697001,1,3
1555704199,4,2
1555707801,1,7
1555711400,0,3
1555718601,1,4
1555725800,3,2
1555729400,1,3
1555733001,5,5
1555736540,2,0
1555740201,2,2
1555743801,1,1
1555747401,2,1
1555751000,4,2
1555754601,2,10
1555758201,4,3
1555765341,2,1
1555768941,1,2
1555772601,1,3
1555776141,2,3
1555779741,1,2
1555783341,0,1
1555787000,2,1
1555790601,4,3
1555794141,1,2
1555797801,1,0
1555801342,1,0
1555808601,3,4
1555812142,3,1
1555815801,1,4
1555819401,5,8
1555823001,2,3
1555826602,4,1
1555830201,2,0
1555830814,1,0
1555837401,1,3
1555841002,0,1
1555844602,1,1
1555848202,0,1
1555851801,1,2
1555855401,4,1
1555859002,2,2
1555866142,0,3
1555869801,2,0
1555873403,1,1
1555877002,4,1
1555880601,0,1
1555884201,1,0
1555887801,0,1
1555891342,1,0
1555894942,1,2
1555895571,1,1
1555902142,2,1
1555905742,4,4
1555909402,2,8
1555912942,2,3
1555916542,1,0
1555920202,2,4
1555923802,2,2
1555927402,2,2
1555931002,3,1
1555934542,20,0
1555938202,1,2
1555941802,1,3
1555945342,2,0
1555949002,0,1
1555952602,1,2
1555956202,1,1
1555959802,4,1
1555963342,3,1
1555967002,0,2
1555969283,1,0
1555974144,1,1
1555977803,0,2
1555981343,2,3
1555984943,1,1
1555988603,0,1
1555992204,7,8
1555995804,0,2
1555999403,1,1
1556003003,3,2
1556006545,3,3
1556010143,6,3
1556013743,1,2
1556017403,2,9
1556021003,5,3
1556024543,2,3
1556028203,3,2
1556035344,1,0
1556038946,2,3
1556042544,2,1
1556046143,2,1
1556049743,4,2
1556053344,3,1
1556057005,3,2
1556060604,3,3
1556064143,2,1
1556067804,1,2
1556071404,1,0
1556074944,3,3
1556078544,3,5
1556082144,1,1
1556087243,1,1
1556089403,1,1
1556092944,5,2
1556096543,4,2
1556100204,1,1
1556103744,2,1
1556107403,1,1
1556110943,2,2
1556114543,1,0
1556118204,2,2
1556121746,2,3
1556125404,3,2
1556129007,2,6
1556132604,2,4
1556136144,1,2
1556143404,1,1
1556150604,4,2
1556154204,1,1
1556157804,1,4
1556161404,4,5
1556164946,4,4
1556168544,3,4
1556172204,2,3
1556175804,2,3
1556179404,2,2
1556183004,1,2
1556190144,1,1
1556193808,1,2
1556197404,0,2
1556200945,1,1
1556639016,7,885
1556639407,158,0
1556639583,70,0
1556639967,151,0
1556640463,201,0
1556640770,129,0
1556641137,117,0
1556643739,3,0
1556647399,6,0
1556650999,3,0
1556654599,3,0
1556658139,2,1
1556661799,1,1
1556665339,5,2
1556668999,8,3
1556672598,2,0
1556676198,8,0
1556679798,1,2
1556683398,3,2
1556686998,1,0
1556690598,3,2
1556694138,1,1
1556697798,1,3
1556701339,1,0
1556704999,6,1
1556707699,3,0
1556712204,7,1
1556715800,2,0
1556719400,4,2
1556722999,4,1
1556726599,3,6
1556730142,2,1
1556733799,2,2
1556737399,1,1
1556740947,1,4
1556744599,2,3
1556748139,2,0
1556751806,3,2
1556755402,2,2
1556758999,1,2
1556762599,2,4
1556766142,4,3
1556769800,3,5
1556773399,2,3
1556777007,3,3
1556780601,2,2
1556784140,4,0
1556787800,1,2
1556791401,1,0
1556794941,2,3
1556798600,3,2
1556802200,3,2
1556805801,1,4
1556809401,0,2
1556812940,3,4
1556816540,4,3
1556820200,1,3
1556823740,1,1
1556827400,1,1
1556831000,1,1
1556834600,1,6
1556838200,4,0
1556845401,0,1
1556849000,5,4
1556852600,1,1
1556856200,3,3
1556859740,0,2
1556863400,3,2
1556866940,2,4
1556870542,2,3
1556874141,2,2
1556877740,1,0
1556881401,2,1
1556885002,4,0
1556888607,2,2
1556892142,3,2
1556895801,3,2
1556899405,3,4
1556903001,2,1
1556906601,2,1
1556910204,2,4
1556913801,2,1
1556917341,3,1
1556921001,1,2
1556924541,3,2
1556928202,3,5
1556931801,0,5
1556935341,4,2
1556939001,3,2
1556942606,2,2
1556946202,1,2
1556949741,2,0
1556953404,0,3
1556956941,3,3
1556960607,0,4
1556964204,3,2
1556967743,2,0
1556975003,1,1
1556978607,1,5
1556982202,4,3
1556985803,6,1
1556989402,1,2
1556993002,2,2
1556996602,0,1
1557000202,3,2
1557003802,1,1
1557007402,1,0
1557011003,1,3
1557014546,0,1
1557018142,2,2
1557021743,2,4
1557025402,1,2
1557029002,2,2
1557032605,1,4
1557036205,2,2
1557039743,1,1
1557043403,1,0
1557050602,2,0
1557054142,1,2
1557057802,3,1
1557061402,1,0
1557065002,1,2
1557068542,1,4
1557072204,1,3
1557075743,0,2
1557079343,4,2
1557086607,4,3
1557090204,1,3
1557093804,1,0
1557097404,1,2
1557104606,2,2
1557108143,1,0
1557111804,1,0
1557115403,2,2
1557118943,2,2
1557122604,2,2
1557126205,2,3
1557129803,2,1
1557133404,0,3
1557136944,1,0
1557144204,2,2
1557147804,4,2
1557151405,7,2
1557155003,4,0
1557158604,2,2
1557162207,2,1
1557165805,4,2
1557172944,5,3
1557176544,3,2
1557183744,1,0
1557187346,1,2
1557190945,1,0
1557194605,4,2
1557198148,2,2
1557201744,2,3
1557205405,2,4
1557208944,1,2
1557212605,1,3
1557216205,2,4
1557219805,0,1
1557223405,1,1
1557226945,1,1
1557230604,1,2
1557234144,1,1
1557237745,1,2
1557241405,1,2
1557245004,3,2
1557248606,1,1
1557252206,0,1
1557255805,1,1
1557259405,1,3
1557266608,1,0
1557270205,1,1
1557273809,1,1
1557280945,1,1
1557284606,1,2
1557288206,3,3
1557291806,2,0
1557295408,2,2
1557299006,1,1
1557302606,2,2
1557309806,0,1
1557313405,1,4
1557317005,3,2
1557320546,2,1
1557324205,2,3
1557327806,1,0
1557331347,3,3
1557335006,1,2
1557338546,2,2
1557342207,4,3
1557345746,5,2
1557349346,1,0
1557353007,2,0
1557356606,1,0
1557360147,3,1
1557363807,0,2
1557367406,2,2
1557370946,1,1
1557374547,2,5
1557381806,2,0
1557385347,1,2
1557389007,4,4
1557392606,2,2
1557396146,2,2
1557399746,2,3
1557403347,0,3
1557407006,0,1
1557410546,2,0
1557414207,2,0
1557417807,1,3
1557421406,1,0
1557425007,3,2
1557428607,2,2
1557432147,1,1
1557435747,2,3
1557439407,4,2
1557443007,1,2
1557446547,3,1
1557453747,1,1
1557457407,1,2
1557460947,1,1
1557468148,1,2
1557471747,0,1
1557475408,3,2
1557478947,0,1
1557486207,1,3
1557489807,1,0
1557493407,2,1
1557496947,2,2
1557500547,3,2
1557504207,3,4
1557504508,1,0
1557511407,3,1
1557515008,3,4
1557518608,3,3
1557522149,1,2
1557525749,2,0
1557529408,4,3
1557533128,1,2
1557536549,2,2
1557540149,1,3
1557543748,1,1
1557547409,5,7
1557551009,0,1
1557554548,1,0
1557558208,1,3
1557561749,3,1
1557565348,2,3
1557569009,0,1
1557576210,1,3
1557579809,2,2
1557583349,1,1
1557587008,0,2
1557590549,3,1
1557594149,1,2
1557597749,1,5
1557601350,2,2
1557604949,2,3
1557608609,3,3
1557612209,2,1
1557615809,2,5
1557619409,2,1
1557623009,0,2
1557626610,0,2
1557630150,2,3
1557633749,3,2
1557637410,0,3
1557641010,1,0
1557644549,4,1
1557648149,2,4
1557651810,2,1
1557655410,3,2
1557659009,0,1
1557662609,1,1
1557666210,1,2
1557669810,0,2
1557673351,1,1
1557676950,3,1
1557680550,1,1
1557684150,2,1
1557687750,1,2
1557688353,3,1
1557691350,0,1
1557698550,4,1
1557698970,0,1
1557705750,2,1
1557709411,1,3
1557713010,2,2
1557716551,5,7
1557720211,3,2
1557723750,4,0
1557727350,1,1
1557731011,1,4
1557734611,5,1
1557738150,1,0
1557741751,1,0
1557745412,0,1
1557749014,2,2
1557756151,1,0
1557759751,1,5
1557763351,3,1
1557766951,3,3
1557770550,3,2
1557774151,0,1
1557777751,4,1
1557785011,0,1
1557788551,1,0
1557792155,1,4
1557799351,1,4
1557802951,1,5
1557806612,1,2
1557810212,0,5
1557813752,1,1
1557817352,3,2
1557820951,13,3
1557824551,1,3
1557831753,2,2
1557835351,0,3
1557839014,1,3
1557842552,2,2
1557846213,2,1
1557849752,2,5
1557853356,3,3
1557857011,2,1
1557860615,1,3
1557864152,2,4
1557867752,3,0
1557871012,3,0
1557871371,5,0
1557874972,7,1
1557878571,2,1
1557882231,15,2
1557885771,1,2
1557889431,3,1
1557893032,3,1
1557896572,5,0
1557900171,1,1
1557903772,1,2
1557907372,3,3
1557914632,0,1
